,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Saburtalo,$,Vazisubani,Varketili,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
70,70,14-05-2020 11:52:54,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8658,228650,20794,625446,,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
71,71,14-05-2020 11:52:54,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0185,5380,489,14716,,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
72,72,14-05-2020 11:52:54,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0204,5380,489,14716,,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
73,73,14-05-2020 11:52:54,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0255,6725,612,18395,,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
74,74,14-05-2020 11:52:54,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5417,403500,36695,1103729,,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
75,75,14-05-2020 11:59:55,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2235,59180,5382,161880,,2200.0,,,,,,,True,,,[100g] SPAIN HASH
76,76,14-05-2020 11:59:55,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1561,51992,3757,112990,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
77,77,14-05-2020 11:59:55,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2471,82321,5948,178900,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
78,78,14-05-2020 11:59:55,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0092,2690,245,7358,,100.0,,,,,,,True,,,kur'er v Batumi
79,79,14-05-2020 11:59:55,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0231,6725,612,18395,,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
80,80,14-05-2020 11:59:55,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0231,6725,612,18395,,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
81,81,14-05-2020 11:59:55,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5377,403500,36695,1103729,,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
82,82,14-05-2020 11:59:55,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0508,13450,1223,36791,,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
83,83,14-05-2020 12:06:48,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0209,5649,514,15452,,210.0,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
84,84,14-05-2020 12:06:48,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0487,13047,1186,35687,,485.0,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
85,85,14-05-2020 12:06:48,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,8,нет,Кутаиси,3 гр,0.0315,8339,758,22810,,310.0,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
86,86,14-05-2020 12:06:48,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0203,5380,489,14716,,200.0,,,,,,,,,True,Rabota na marki (kur'er)
