,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Gldani,Varketili,€,Old Tbilisi (Старый город),Авлобари,Vake,Батуми,Центр,desc_en
38,38,23-07-2020 17:15:48,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,1,4,Тбилиси,5 гр,0.0247,17031,6756,573,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
39,39,23-07-2020 17:15:48,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0288,19870,7882,668,280.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
40,40,23-07-2020 17:15:48,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0278,19160,7601,644,270.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
41,41,23-07-2020 17:15:48,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0205,15541,6165,522,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
42,42,23-07-2020 17:15:48,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",True,нет,7,Тбилиси,5 гр,0.0242,16676,6615,561,235.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
43,43,23-07-2020 17:15:48,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",True,нет,1,Тбилиси,5 гр,0.0225,17031,6756,573,240.0,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
44,44,23-07-2020 17:15:48,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0278,19160,7601,644,270.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
45,45,23-07-2020 17:15:48,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2506,190000,87429,6398,,,,,,,,,,,,reagent 25i nbome. 5gr
46,46,23-07-2020 17:15:48,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2808,212889,84450,7156,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
47,47,23-07-2020 17:15:48,Tbilisi,ccc85b93d8,🍬🍬🍬Ex Masserati Red 465 mg 5pc🍬🍬🍬,True,нет,2,Тбилиси,5 гр,0.0257,17741,7038,596,250.0,,,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 5pc🍬🍬🍬
48,48,23-07-2020 17:15:48,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,True,нет,2,Тбилиси,5 гр,0.0241,16438,6510,550,,,,,,200.0,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
49,49,23-07-2020 17:15:48,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0927,63867,25335,2147,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
50,50,23-07-2020 17:15:48,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0566,39030,15483,1312,550.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
51,51,23-07-2020 17:15:48,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0721,49674,19705,1670,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
52,52,23-07-2020 17:15:48,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0432,29804,11823,1002,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
53,53,23-07-2020 17:15:48,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0824,56770,22520,1908,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
54,54,23-07-2020 17:15:48,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",True,нет,8,Тбилиси,10 гр,0.0432,29804,11823,1002,420.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
55,55,23-07-2020 17:15:48,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 10gram,True,1,10,Тбилиси,10 гр,0.0356,26966,10697,906,380.0,,,,,,,,,,,Northern Lights Regular [budsonly] 10gram
56,56,23-07-2020 17:15:48,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2291,157893,62634,5308,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
57,57,23-07-2020 17:15:48,Tbilisi,ccc85b93d8,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬,True,нет,1,Тбилиси,10 гр,0.0422,29095,11542,978,410.0,,,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬
58,58,23-07-2020 17:15:48,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,True,нет,5,Тбилиси,10 гр,0.0529,36163,14322,1210,,,,,,440.0,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
59,59,23-07-2020 17:15:48,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,11 гр,0.0469,32054,12695,1072,,,,,,390.0,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
60,60,23-07-2020 17:15:48,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0608,46126,18298,1551,650.0,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
61,61,23-07-2020 17:15:48,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2471,170311,67560,5725,2400.0,,,,,,,,,,,100 gr marijuana buds
62,62,23-07-2020 17:15:49,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2574,177408,70375,5964,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
63,63,23-07-2020 17:15:49,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,,нет,2,Тбилиси,100 гр,0.036000000000000004,24837,9853,835,350.0,,,,,,True,True,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
64,64,23-07-2020 17:15:49,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6074,418682,166085,14074,5900.0,,,,,,,,,,,180 gr marihuana persoalno
65,65,23-07-2020 17:15:49,Tbilisi,16be2c8499,500 шт. марки 25i nbome. готовый клад в Тбилиси.,,нет,4,Тбилиси,500 гр,0.1029,70963,28150,2385,1000.0,True,,,True,,True,True,,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
66,66,23-07-2020 17:15:49,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.875,603186,239275,20276,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
67,67,23-07-2020 17:15:49,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0187,14193,5630,477,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
68,68,23-07-2020 17:15:49,Tbilisi,e771f4c371,Работа курьер в Тбилиси 15 лари на клад толка марихуана,,1,нет,Тбилиси,1 гр,0.0154,10644,4223,358,150.0,True,,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
69,69,23-07-2020 17:15:49,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0257,17741,7038,596,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
70,70,23-07-2020 17:16:49,Tbilisi,f374062dcd,Курьер Фасовщик залог обязательно 400$ 5гр,True,1,нет,Тбилиси,5 гр,0.0375,28385,11260,954,400.0,,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 400$ 5gr
71,71,23-07-2020 17:16:49,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0206,14193,5630,477,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
72,72,23-07-2020 17:16:49,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0258,17741,7038,596,250.0,,,,,,,,,,,Rabota na marki (kur'er)
73,73,23-07-2020 17:16:49,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0515,35482,14075,1193,500.0,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
74,74,23-07-2020 17:16:49,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5593,1064445,422250,35781,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
75,75,23-07-2020 17:16:49,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0515,35482,14075,1193,500.0,,,,True,,True,,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
76,76,23-07-2020 17:19:02,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,10,нет,Батуми,2 гр,0.0043,2980,1182,100,42.0,,,,,,,,,True,,Melkie shishki (Indica) 2g
77,77,23-07-2020 17:19:02,Batumi,3c9bc6f8e9,Gelato Grinded Moonrocks (измельченные мунроки) Эксклюзив. 5гр,,1,нет,Батуми,5 гр,0.0253,19160,7601,644,270.0,,,,,,,,,True,,Gelato Grinded Moonrocks (izmel'chennye munroki) Ekskljuziv. 5gr
78,78,23-07-2020 17:19:02,Batumi,3b3ba4f5a5,Мощные шишки Y-Griega (Sativa) 5г,,1,нет,Батуми,5 гр,0.0361,24837,9853,835,350.0,,,,,,,,,True,,Moschnye shishki Y-Griega (Sativa) 5g
79,79,23-07-2020 17:19:02,Batumi,3c4662c591,Super Critical 10G,,1,нет,Батуми,10 гр,0.0464,31933,12668,1073,450.0,,,,,,,,,,True,Super Critical 10G
80,80,23-07-2020 17:19:02,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0373,25479,10091,852,,,,,,310.0,,,,True,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
