,time_stamp,region,sell_code,sell_name,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Тбилиси,Didube,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
32,01-04-2020 14:24:30,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,,2,нет,Тбилиси,6 гр,0.0105,6219,2244,207,80,True,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
33,01-04-2020 14:24:30,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,,1,нет,Тбилиси,10 гр,0.0346,18578,6704,618,239,True,,,,,,,,,10 gr marijuana buds. -indica-
34,01-04-2020 14:24:57,Tbilisi,5ZOKU,AGROHUUB,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0577,31015,11192,1032,399,True,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
35,01-04-2020 14:24:57,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0528,28372,10238,944,365,,,True,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
36,01-04-2020 14:24:57,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0386,20755,7489,690,267,,True,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
37,01-04-2020 14:24:57,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,10 гр,0.0112,6607,2384,220,85,,True,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
38,01-04-2020 14:24:57,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0555,31093,11220,1034,400,,True,,,,,,,,gashish evro 10g
39,01-04-2020 14:24:57,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.1078,60398,21795,2009,777,,True,,,,,,,,Gashish Evro 20gr
40,01-04-2020 14:24:57,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2629,155465,56100,5171,2000,,True,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
41,01-04-2020 14:24:57,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,100 гр,0.0526,31093,11220,1034,400,,,,,True,,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
42,01-04-2020 14:24:57,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 0.25 G.,,нет,15,Тбилиси,0.25 гр,0.0365,19433,7013,646,250,,True,,,,,,,,METADON - 0.25 G.
43,01-04-2020 14:24:57,Tbilisi,A3I9,Joookerrr,MDMA 1 гр,,нет,5,Тбилиси,1 гр,0.0145,8574,3080,284,,,True,,100,,,,,,MDMA 1 gr
44,01-04-2020 14:24:57,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1.5 G (SALE),,нет,15,Тбилиси,1.5 гр,0.1095,58299,21038,1939,750,,True,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.5 G (SALE)
45,01-04-2020 14:24:57,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,,1,2,Тбилиси,2 гр,0.0292,15547,5610,517,200,,True,,,,,,,,✨✨2gram. MDMA✨✨
46,01-04-2020 14:24:57,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,нет,3,Тбилиси,2 гр,0.0539,28683,10350,954,369,,True,,,,,,,,❄❄2g HQ COCAINE❄❄
47,01-04-2020 14:24:57,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0862,45862,16550,1526,590,,True,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
48,01-04-2020 14:24:57,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0578,31093,11220,1034,400,,True,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
49,01-04-2020 14:24:57,Tbilisi,JVZTQ,partyshop,5 Amnesia Haze марихуана шишки тгк 25%,,нет,4,Тбилиси,5 гр,0.0231,12437,4488,414,160,,True,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
50,01-04-2020 14:24:57,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0795,42753,15428,1422,550,,True,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
51,01-04-2020 14:24:57,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,1,Тбилиси,5 гр,0.0244,13137,4740,437,169,,True,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
52,01-04-2020 14:24:57,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,,нет,8,Тбилиси,5 гр,0.0246,13215,4769,440,170,,True,,,,,,,,5 gr Shishki “OG KUSH VHQ”
53,01-04-2020 14:24:57,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,1,Тбилиси,5 гр,0.0288,15469,5582,515,199,,True,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
54,01-04-2020 14:24:57,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,10,Тбилиси,5 гр,0.0288,15469,5582,515,199,,True,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
55,01-04-2020 14:24:57,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,9,Тбилиси,5 гр,0.0288,15469,5582,515,199,,True,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
56,01-04-2020 14:24:57,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0288,17023,6143,566,219,,True,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
57,01-04-2020 14:24:57,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 5 G. (SHISHKI) (SALE),,нет,5,Тбилиси,5 гр,0.0438,23320,8415,776,300,,True,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
58,01-04-2020 14:24:57,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 5 G.,,нет,15,Тбилиси,5 гр,0.2191,116599,42075,3878,1500,,True,,,,,,,,METADON - 5 G.
59,01-04-2020 14:24:57,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,7,Тбилиси,5 гр,0.0288,15469,5582,515,199,,True,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
60,01-04-2020 14:24:57,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,12,Тбилиси,5 гр,0.0263,15547,5610,517,200,,True,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
