,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Дигоми,Vake,Tbilisis Zgva,€,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,desc_en
44,44,28-07-2020 07:22:05,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.21899999999999997,190000,87429,6344,,,,,,,,,,,,,reagent 25i nbome. 5gr
45,45,28-07-2020 07:22:05,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2475,214755,83700,7167,3000.0,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
46,46,28-07-2020 07:22:05,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,True,нет,2,Тбилиси,5 гр,0.0214,16755,6540,559,,,,,,,200.0,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
47,47,28-07-2020 07:22:05,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0817,64427,25110,2150,900.0,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
48,48,28-07-2020 07:22:05,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0499,39372,15345,1314,550.0,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
49,49,28-07-2020 07:22:05,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0635,50110,19530,1672,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
50,50,28-07-2020 07:22:05,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0381,30066,11718,1003,420.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
51,51,28-07-2020 07:22:05,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0726,57268,22320,1911,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
52,52,28-07-2020 07:22:05,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",True,нет,8,Тбилиси,10 гр,0.0381,30066,11718,1003,420.0,,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
53,53,28-07-2020 07:22:05,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.20199999999999999,159277,62078,5315,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
54,54,28-07-2020 07:22:05,Tbilisi,ccc85b93d8,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬,True,нет,1,Тбилиси,10 гр,0.0372,29350,11439,979,410.0,,,,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬
55,55,28-07-2020 07:22:05,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,True,нет,5,Тбилиси,10 гр,0.0472,36861,14388,1230,,,,,,,440.0,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
56,56,28-07-2020 07:22:05,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,11 гр,0.0418,32673,12753,1090,,,,,,,390.0,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
57,57,28-07-2020 07:22:05,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0536,46530,18135,1553,650.0,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
58,58,28-07-2020 07:22:05,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2178,171804,66960,5733,2400.0,,,,,,,,,,,,100 gr marijuana buds
59,59,28-07-2020 07:22:05,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2269,178963,69750,5972,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
60,60,28-07-2020 07:22:05,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5355,422352,164610,14095,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
61,61,28-07-2020 07:22:05,Tbilisi,16be2c8499,500 шт. марки 25i nbome. готовый клад в Тбилиси.,,нет,3,Тбилиси,500 гр,0.0908,71585,27900,2389,1000.0,True,,,,,,,True,True,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
62,62,28-07-2020 07:22:05,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7715,608473,237150,20306,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
63,63,28-07-2020 07:22:05,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0165,14317,5580,478,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
64,64,28-07-2020 07:22:05,Tbilisi,e771f4c371,Работа курьер в Тбилиси 15 лари на клад толка марихуана,,1,нет,Тбилиси,1 гр,0.0091,7159,2790,239,100.0,True,,,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
65,65,28-07-2020 07:22:05,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0227,17896,6975,597,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
66,66,28-07-2020 07:22:05,Tbilisi,f374062dcd,Курьер Фасовщик залог обязательно 600$ 5гр,True,1,нет,Тбилиси,5 гр,0.0495,42951,16740,1433,600.0,,,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 600$ 5gr
67,67,28-07-2020 07:22:05,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0182,14317,5580,478,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
68,68,28-07-2020 07:22:05,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0227,17896,6975,597,250.0,,,,,,,,,,,,Rabota na marki (kur'er)
69,69,28-07-2020 07:23:06,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0454,35793,13950,1194,500.0,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
70,70,28-07-2020 07:23:06,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.3738,1073775,418500,35834,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
71,71,28-07-2020 07:23:06,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0454,35793,13950,1194,500.0,,,,True,,,True,,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
72,72,28-07-2020 07:25:18,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,1,нет,Батуми,2 гр,0.0039,3007,1172,100,42.0,,,,,,,,,,True,,Melkie shishki (Indica) 2g
73,73,28-07-2020 07:25:18,Batumi,3c4662c591,Super Critical 10G,,1,нет,Батуми,10 гр,0.0414,32213,12555,1075,450.0,,,,,,,,,,,True,Super Critical 10G
74,74,28-07-2020 07:25:18,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0337,25971,10137,866,,,,,,,310.0,,,,True,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
75,75,28-07-2020 07:25:18,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0478,36861,14388,1230,,,,,,,440.0,,,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
76,76,28-07-2020 07:25:18,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,4,Батуми,11 гр,0.0424,32673,12753,1090,,,,,,,390.0,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
77,77,28-07-2020 07:25:18,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,1,Батуми,11 гр,0.0433,33427,13047,1115,,,,,,,399.0,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
78,78,28-07-2020 07:25:18,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0084,7159,2790,239,100.0,,,,,,,,,,True,,kur'er v Batumi
79,79,28-07-2020 07:25:18,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0209,17896,6975,597,250.0,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
80,80,28-07-2020 07:25:18,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0209,17896,6975,597,250.0,,,,,,,,,,True,,Ischu kur'era v Gruzii!
81,81,28-07-2020 07:25:18,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0184,14317,5580,478,200.0,,,,,,,,,,True,,Kur'er Batumi na marihuanu
82,82,28-07-2020 07:25:18,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.3921,1073775,418500,35834,15000.0,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
83,83,28-07-2020 07:25:18,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.046,35793,13950,1194,500.0,,,,,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
