,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,€,Дигоми,Varketili,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
40,13-02-2020 05:55:21,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,1,нет,Тбилиси,2 гр,0.0355,24273,9486,844,385,,,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
41,13-02-2020 05:55:21,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 2 pieces",True,2,нет,Тбилиси,2 гр,0.0067,4413,1725,153,70,,,,,,,,,,,,"LSD - 250 ug, 2 pieces"
42,13-02-2020 05:55:21,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 2г мука,True,8,нет,Тбилиси,2 гр,0.0197,14501,5667,504,230,,,,,,,,,,,,NZT-52 mind storm limited 2g muka
43,13-02-2020 05:55:21,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,True,1,нет,Тбилиси,2 гр,0.0343,23895,9339,831,379,,,,,,,,,,,,Kokain HQ 2g.
44,13-02-2020 05:55:21,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 2g,,5,нет,Тбилиси,2 гр,0.0376,25156,9831,875,399,,,,,,True,,,,,,Kokain KOLUMBIA 2g
45,13-02-2020 05:55:21,Tbilisi,C7LQ,Scandal,"3 Grm Mdma , Purity A +++",True,3,нет,Тбилиси,3 гр,0.0188,13870,5421,482,220,,,,,,,,,,,,"3 Grm Mdma , Purity A +++"
46,13-02-2020 05:55:21,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,3,нет,Тбилиси,3 гр,0.01,6620,2587,230,105,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
47,13-02-2020 05:55:21,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.0283,20806,8131,723,330,,,,,,,,,,,,NZT-52 mind storm limited 3g muka
48,13-02-2020 05:55:21,Tbilisi,9VLN,AlienShop,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈,True,2,нет,Тбилиси,3 гр,0.0113,7503,2932,261,119,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈
49,13-02-2020 05:55:21,Tbilisi,UJP9,420Inc,"VHQ Cx Columbia Import 3+0.3G High Quality ""Btc -10% Sale""",True,1,нет,Тбилиси,3.3 гр,0.0385,28371,11088,986,450,,,,,,,,,,,,"VHQ Cx Columbia Import 3+0.3G High Quality ""Btc -10% Sale"""
50,13-02-2020 05:55:21,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,2,нет,Тбилиси,5 гр,0.0151,10024,3918,349,159,,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
51,13-02-2020 05:55:21,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,2,нет,Тбилиси,5 гр,0.0148,9772,3819,340,155,,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
52,13-02-2020 05:55:21,Tbilisi,6ZR,Geogrowers,*new* Cocaine peru HQ 5 gr BTC -10 %,True,1,нет,Тбилиси,5 гр,0.083,61080,23878,2124,,,,888,,,,,,,,,*new* Cocaine peru HQ 5 gr BTC -10 %
53,13-02-2020 05:55:21,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0274,20175,7885,701,320,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
54,13-02-2020 05:55:21,Tbilisi,LYHBG,Playboy,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!,True,1,нет,Тбилиси,5 гр,0.0809,53590,20944,1863,850,,,,,,,,,,,,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!
55,13-02-2020 05:55:21,Tbilisi,LYHBG,Playboy,NEW !!! 5G OG KusH !!! NEW,True,2,нет,Тбилиси,5 гр,0.0151,10024,3918,349,159,,,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
56,13-02-2020 05:55:21,Tbilisi,LYHBG,Playboy,NEW !!! 5G White Widow !!! NEW,True,2,нет,Тбилиси,5 гр,0.0147,9709,3795,338,154,,,,,,,,,,,,NEW !!! 5G White Widow !!! NEW
57,13-02-2020 05:55:21,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.0736,54157,21166,1883,859,,,,,,,,,,,,VHQ BEST Cocaine 5g.
58,13-02-2020 05:55:21,Tbilisi,SM7B,SWEETWEED,гашиш евро 5г,True,2,нет,Тбилиси,5 гр,0.019,13240,5174,460,210,,,,,,,,,,,,gashish evro 5g
59,13-02-2020 05:55:21,Tbilisi,UJP9,420Inc,"VHQ Cx Columbia Import 5G+1G High Quality ""Btc -10% Sale""",True,1,нет,Тбилиси,6 гр,0.0738,50438,19712,1754,800,,,,,,,,,,,,"VHQ Cx Columbia Import 5G+1G High Quality ""Btc -10% Sale"""
60,13-02-2020 05:55:21,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0362,25219,9856,877,400,,,,,,,,,,,,gashish evro 10g
61,13-02-2020 05:55:21,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (10шт)",True,23,нет,Тбилиси,10 гр,0.0086,6305,2464,219,100,,,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
62,13-02-2020 05:55:21,Tbilisi,6ZR,Geogrowers,* SALE * COCAINE Peru 11 gr BTC -50 %,True,2,нет,Тбилиси,11 гр,0.0865,114595,44799,3986,,,,1666,,,,,,,,,* SALE * COCAINE Peru 11 gr BTC -50 %
63,13-02-2020 05:55:21,Tbilisi,ITJ,seazon,weed leaves 13gr +,True,3,нет,Тбилиси,13 гр,0.0057,4161,1626,145,66,,,,,,,,,,,,weed leaves 13gr +
64,13-02-2020 05:55:21,Tbilisi,ITJ,seazon,georgian weed 15 gr salee !!!,True,1,нет,Тбилиси,15 гр,0.0117,8637,3376,300,137,,,,,,,,,,,,georgian weed 15 gr salee !!!
65,13-02-2020 05:55:21,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0702,48988,19145,1703,777,,,,,,,,,,,,Gashish Evro 20gr
66,13-02-2020 05:55:21,Tbilisi,6ZR,Geogrowers,* SALE *COCAINE Peru 20+2 gr BTC-50%,True,2,нет,Тбилиси,22 гр,0.1442,191014,74674,6643,,,,2777,,,,,,,,,* SALE *COCAINE Peru 20+2 gr BTC-50%
67,13-02-2020 05:55:21,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,4,Тбилиси,0.27 гр,0.0238,15762,6160,548,250,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
