,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Vazisubani,Saburtalo,Vake,Didube,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
56,18-06-2020 17:43:36,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2467,167083,64560,5715,,True,2400,,,,,,,,,,,100 gr marijuana buds
57,18-06-2020 17:43:36,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2056,139236,53800,4762,,True,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
58,18-06-2020 17:43:36,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.257,174045,67250,5953,,True,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
59,18-06-2020 17:43:36,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6065,410746,158710,14049,,True,5900,,,,,,,,,,,180 gr marihuana persoalno
60,18-06-2020 17:43:36,Tbilisi,8B31,GEOWEEDSHOP,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,4,Тбилиси,200 гр,0.4409,295877,114325,10120,,True,4250,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
61,18-06-2020 17:43:36,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4729,320243,123740,10954,,True,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
62,18-06-2020 17:43:36,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.771,522135,201750,17859,,True,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
63,18-06-2020 17:43:36,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8738,591753,228650,20240,,True,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
64,18-06-2020 17:43:36,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0187,13924,5380,476,,True,200,,,,,,,,,,,KURYER..500RUB.+BONUS
65,18-06-2020 17:43:36,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0206,13924,5380,476,,True,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
