,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Дигоми,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
10,11-04-2020 23:42:26,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,5,нет,Тбилиси,1 гр,0.0078,4204,1562,141,57,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
11,11-04-2020 23:42:26,Tbilisi,3Y9,HIGHTHC,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,4,нет,Тбилиси,1 гр,0.0078,4204,1562,141,57,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
12,11-04-2020 23:42:26,Tbilisi,SF03,CRAZYFROG,1 гр листя плус галовки марихуана,True,2,нет,Тбилиси,1 гр,0.0028,1475,548,50,20,,,,,,,,,,,1 gr listja plus galovki marihuana
13,11-04-2020 23:42:26,Tbilisi,BB6E,WEEDSH0P,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,7,нет,Тбилиси,1 гр,0.0076,4056,1507,136,55,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
14,11-04-2020 23:42:26,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.0256,14308,5316,480,194,,,,,,,,,,,Cocaine Pure VHQ 1g
15,11-04-2020 23:42:26,Tbilisi,V4T,COCAcoLA,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,,5,нет,Тбилиси,1 гр,0.0825,44251,16440,1485,600,True,,,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
16,11-04-2020 23:42:26,Tbilisi,U26MW,Skyhigh,Super Quality Mango Haze Hybrid 1 Gram,,1,нет,Тбилиси,1 гр,0.0074,3983,1480,134,54,True,,,,,,,,,,Super Quality Mango Haze Hybrid 1 Gram
17,11-04-2020 23:42:26,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,3,нет,Тбилиси,1 гр,0.0277,15488,5754,520,210,,,,,,,,,,,VHQ BEST Cocaine 1g.
18,11-04-2020 23:42:26,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 1 штука!!!!,True,11,нет,Тбилиси,1 гр,0.0029,1696,630,57,23,,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 1 shtuka!!!!
19,11-04-2020 23:42:26,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1125,66376,24660,2228,900,,,,,,,,,,,Metadon 1gr
