,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Didube,Gldani,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Дигоми,Vazisubani,Nadzaladevi,Tbilisis Zgva,€,Батуми,Центр,Кутаиси,desc_en
24,24,24-04-2020 00:36:19,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0774,44326,16078,1472,590.0,,,,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
25,25,24-04-2020 00:36:19,Tbilisi,54915c4374,"""JoKer Express"" - Марки н боом 4 штуки!",True,нет,39,Тбилиси,4 гр,0.006999999999999999,4463,1623,149,,True,True,True,True,True,True,True,True,True,True,True,55.0,,,,"""JoKer Express"" - Marki n boom 4 shtuki!"
26,26,24-04-2020 00:36:19,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.052000000000000005,30052,10900,998,400.0,,,,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
27,27,24-04-2020 00:36:19,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0714,41321,14988,1372,550.0,,,,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
28,28,24-04-2020 00:36:19,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.0221,12772,4633,424,170.0,,,,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
29,29,24-04-2020 00:36:19,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0258,14951,5423,496,199.0,,,,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
30,30,24-04-2020 00:36:19,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0258,14951,5423,496,199.0,,,,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
31,31,24-04-2020 00:36:19,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0259,16453,5968,546,219.0,,,,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
32,32,24-04-2020 00:36:19,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0258,14951,5423,496,199.0,,,,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
33,33,24-04-2020 00:37:09,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2991,190000,87429,6167,,,,,,,,,,,,,,,,,reagent 25i nbome. 5gr
34,34,24-04-2020 00:37:09,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3548,225387,81750,7485,3000.0,,,,,,True,True,,,,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
35,35,24-04-2020 00:37:09,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,10,Тбилиси,5 гр,0.1142,65287,23680,2168,869.0,,,,,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
36,36,24-04-2020 00:37:09,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.0248,14199,5150,472,189.0,,,,,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
37,37,24-04-2020 00:37:09,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.025,14275,5178,474,190.0,,,,,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
38,38,24-04-2020 00:37:09,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0642,36738,13325,1220,489.0,,,,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
39,39,24-04-2020 00:37:09,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0248,14199,5150,472,189.0,,,,,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
40,40,24-04-2020 00:37:09,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1171,67616,24525,2245,900.0,,,,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
41,41,24-04-2020 00:37:09,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0911,52590,19075,1746,700.0,,,,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
42,42,24-04-2020 00:37:09,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0416,24041,8720,798,320.0,,,,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
43,43,24-04-2020 00:37:09,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.1041,60103,21800,1996,800.0,,,,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
44,44,24-04-2020 00:37:09,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2894,167162,60631,5551,2225.0,,,,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
45,45,24-04-2020 00:37:09,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.1904,108862,39485,3615,1449.0,,,,,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
46,46,24-04-2020 00:37:09,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0485,27723,10055,921,369.0,,,,,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
47,47,24-04-2020 00:37:09,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0393,22464,8148,746,299.0,,,,,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
48,48,24-04-2020 00:37:09,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,нет,1,Тбилиси,20 гр,0.0527,30427,11036,1010,405.0,,,,,,,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
49,49,24-04-2020 00:37:09,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0787,45002,16323,1494,599.0,,,,,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
50,50,24-04-2020 00:37:09,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1431,82642,29975,2744,1100.0,,,,,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
51,51,24-04-2020 00:37:09,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3122,180310,65400,5988,2400.0,,,,,,,,,,,,,,,,100 gr marijuana buds
52,52,24-04-2020 00:37:09,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2602,150258,54500,4990,2000.0,,,,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
53,53,24-04-2020 00:37:09,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3252,187823,68125,6237,2500.0,,,,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
54,54,24-04-2020 00:37:09,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.7675,443261,160775,14720,5900.0,,,,,,,,,,,,,,,,180 gr marihuana persoalno
55,55,24-04-2020 00:37:09,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,1,Тбилиси,200 гр,0.4098,236656,85838,7859,3150.0,,,,,,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
56,56,24-04-2020 00:37:09,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5984,345593,125350,11477,4600.0,,,,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
57,57,24-04-2020 00:37:09,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.9756,563468,204375,18712,7500.0,,,,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
58,58,24-04-2020 00:37:09,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1057,638597,231625,21207,8500.0,,,,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
59,59,24-04-2020 00:37:09,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0237,15026,5450,499,200.0,,,,,,,,,,,,,,,,KURYER..500RUB.+BONUS
60,60,24-04-2020 00:37:09,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.026000000000000002,15026,5450,499,200.0,,,,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
61,61,24-04-2020 00:37:09,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0325,18782,6813,624,250.0,,,,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
62,62,24-04-2020 00:37:09,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.026000000000000002,15026,5450,499,200.0,,,,,,,,,,,,,,,,Rabota na marki (kur'er)
63,63,24-04-2020 00:37:09,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.9689,1126935,408750,37424,15000.0,,,,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
64,64,24-04-2020 00:38:41,Batumi,54915c4374,Батуми н-бооом 1 штука,,1,нет,Батуми,1 гр,0.0023,1461,531,49,,,,,,,,,,,,,18.0,True,,,Batumi n-booom 1 shtuka
65,65,24-04-2020 00:38:41,Batumi,54915c4374,Батуми н-бооом 2 штуки,,3,нет,Батуми,2 гр,0.0045,2597,944,86,,,,,,,,,,,,,32.0,True,,,Batumi n-booom 2 shtuki
66,66,24-04-2020 00:38:41,Batumi,54915c4374,Батуми н-бооом 4 штуки,,4,нет,Батуми,4 гр,0.006999999999999999,4463,1623,149,,,,,,,,,,,,,55.0,True,True,,Batumi n-booom 4 shtuki
67,67,24-04-2020 00:38:41,Batumi,54915c4374,Батуми н-бооом 5 штук,,4,нет,Батуми,5 гр,0.0077,4869,1770,162,,,,,,,,,,,,,60.0,True,,,Batumi n-booom 5 shtuk
68,68,24-04-2020 00:38:41,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2858,165284,59950,5489,2200.0,,,,,,,,,,,,,True,,,[100g] SPAIN HASH
69,69,24-04-2020 00:38:41,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0118,7513,2725,249,100.0,,,,,,,,,,,,,True,,,kur'er v Batumi
70,70,24-04-2020 00:38:41,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0295,18782,6813,624,250.0,,,,,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
71,71,24-04-2020 00:38:41,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0295,18782,6813,624,250.0,,,,,,,,,,,,,True,,,Ischu kur'era v Gruzii!
72,72,24-04-2020 00:38:41,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.966,1126935,408750,37424,15000.0,,,,,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
73,73,24-04-2020 00:38:41,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0649,37565,13625,1247,500.0,,,,,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
74,74,24-04-2020 00:39:40,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0243,14199,5150,472,189.0,,,,,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
75,75,24-04-2020 00:39:40,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0577,33357,12099,1108,444.0,,,,,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
76,76,24-04-2020 00:39:40,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0403,23290,8448,773,310.0,,,,,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
77,77,24-04-2020 00:39:40,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.026000000000000002,15026,5450,499,200.0,,,,,,,,,,,,,,,True,Rabota na marki (kur'er)
