,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
67,16-02-2020 07:49:08,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0233,15229,5914,528,240,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
68,16-02-2020 07:49:08,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0243,15863,6160,550,250,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
69,16-02-2020 07:49:08,Tbilisi,7B8EQ,w1ld1nd1an,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.1324,95180,36960,3298,1500,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
70,16-02-2020 07:49:08,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0243,15863,6160,550,250,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
71,16-02-2020 07:49:08,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0243,15863,6160,550,250,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
72,16-02-2020 07:49:08,Tbilisi,SF03,CRAZYFROG,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0193,12627,4903,438,199,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
73,16-02-2020 07:49:08,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0243,15863,6160,550,250,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
74,16-02-2020 07:49:08,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0193,13896,5396,482,219,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
75,16-02-2020 07:49:08,Tbilisi,V4QM9,PotHero420,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,5 гр,0.0184,13262,5150,460,209,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
76,16-02-2020 07:49:08,Tbilisi,V4QM9,PotHero420,"NEW! O.G. Kush - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,4,Тбилиси,5 гр,0.0184,13262,5150,460,209,,,,,,,,,"NEW! O.G. Kush - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
77,16-02-2020 07:49:08,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0243,15863,6160,550,250,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
78,16-02-2020 07:49:08,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,19,Тбилиси,5 гр,0.0177,12691,4928,440,200,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
79,16-02-2020 07:49:08,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.1947,140000,64421,4851,,,,,,,,,,reagent 25i nbome. 5gr
80,16-02-2020 07:49:08,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2648,190361,73920,6596,3000,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
81,16-02-2020 07:49:08,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,1,Тбилиси,5 гр,0.0479,31029,12049,1075,489,,,,,,,,,💘✨5g. MDMA ✨💘
82,16-02-2020 07:49:08,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0796,52000,23928,1802,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
83,16-02-2020 07:49:08,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0387,25318,9831,877,399,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
84,16-02-2020 07:49:08,Tbilisi,7B8EQ,w1ld1nd1an,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,4,Тбилиси,10 гр,0.1765,126907,49280,4397,2000,,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
85,16-02-2020 07:49:08,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0777,50763,19712,1759,800,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
