,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Vake,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
24,24,02-03-2020 03:36:29,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),,нет,5,Тбилиси,0.27 гр,0.0305,18088,6669,605,270.0,True,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
25,25,02-03-2020 03:36:29,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),,нет,5,Тбилиси,0.35 гр,0.0339,20097,7410,672,300.0,True,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
26,26,02-03-2020 03:36:29,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),,1,5,Тбилиси,1.1 гр,0.0678,40195,14820,1343,600.0,True,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
27,27,02-03-2020 03:36:29,Tbilisi,cb721d4bca,2 гр Afghan Mazar-i-Sharif Hash топ товар !!! Оплата BITCOIN -10% Скидка,,нет,5,Тбилиси,2 гр,0.0187,11187,4125,374,167.0,True,,,,,,,,,2 gr Afghan Mazar-i-Sharif Hash top tovar !!! Oplata BITCOIN -10% Skidka
28,28,02-03-2020 03:36:29,Tbilisi,cb721d4bca,"2gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",,нет,3,Тбилиси,2 гр,0.0183,12164,4473,407,,True,165.0,,,,,,,,"2gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
29,29,02-03-2020 03:36:29,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,4,Тбилиси,3 гр,0.0666,39525,14573,1321,590.0,True,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
30,30,02-03-2020 03:36:29,Tbilisi,dd631c4acf,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃,,нет,4,Тбилиси,3 гр,0.0192,12661,4668,423,189.0,True,,,,,,,,,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃
31,31,02-03-2020 03:36:29,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0447,26796,9880,896,400.0,True,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
32,32,02-03-2020 03:36:29,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0615,36845,13585,1232,550.0,True,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
33,33,02-03-2020 03:36:29,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,,нет,8,Тбилиси,5 гр,0.0268,16078,5928,537,240.0,True,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
34,34,02-03-2020 03:36:29,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,10,Тбилиси,5 гр,0.027999999999999997,16748,6175,560,250.0,True,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
35,35,02-03-2020 03:37:22,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,,нет,2,Тбилиси,5 гр,0.027999999999999997,16748,6175,560,250.0,True,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
36,36,02-03-2020 03:37:22,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,10,Тбилиси,5 гр,0.027999999999999997,16748,6175,560,250.0,True,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
37,37,02-03-2020 03:37:22,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",,нет,2,Тбилиси,5 гр,0.0223,13331,4915,446,199.0,True,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
38,38,02-03-2020 03:37:22,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,4,Тбилиси,5 гр,0.027999999999999997,16748,6175,560,250.0,True,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
39,39,02-03-2020 03:37:22,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0223,14671,5409,490,219.0,True,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
40,40,02-03-2020 03:37:22,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),,нет,5,Тбилиси,5 гр,0.0339,20097,7410,672,300.0,True,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
41,41,02-03-2020 03:37:22,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,,нет,10,Тбилиси,5 гр,0.027999999999999997,16748,6175,560,250.0,True,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
42,42,02-03-2020 03:37:22,Tbilisi,3814ba5701,Weed from Gali 5g.,,нет,1,Тбилиси,5 гр,0.0258,16078,5928,537,240.0,True,,,,,,,,,Weed from Gali 5g.
43,43,02-03-2020 03:37:22,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,17,Тбилиси,5 гр,0.0203,13398,4940,448,200.0,True,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
44,44,02-03-2020 03:37:22,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2883,190000,87429,6347,,True,,,,,,,,,reagent 25i nbome. 5gr
45,45,02-03-2020 03:37:22,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.305,200973,74100,6717,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
46,46,02-03-2020 03:37:22,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,4,Тбилиси,5 гр,0.09699999999999999,57545,21217,1923,859.0,True,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
47,47,02-03-2020 03:37:22,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0209,12393,4570,414,185.0,True,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
48,48,02-03-2020 03:37:22,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0552,32759,12078,1095,489.0,True,,,,,,,,,💘✨5g. MDMA ✨💘
49,49,02-03-2020 03:37:22,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,,нет,5,Тбилиси,5 гр,0.0372,22040,8126,737,329.0,True,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
50,50,02-03-2020 03:37:22,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,3,Тбилиси,5 гр,0.0203,12058,4446,403,180.0,True,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
51,51,02-03-2020 03:37:22,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1006,60292,22230,2015,900.0,True,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
52,52,02-03-2020 03:37:22,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.0783,46894,17290,1567,700.0,True,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
53,53,02-03-2020 03:37:22,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,8,Тбилиси,10 гр,0.0446,26729,9855,893,399.0,True,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
54,54,02-03-2020 03:37:23,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,,нет,5,Тбилиси,10 гр,0.0395,23447,8645,784,350.0,True,,,,,,,,,10x Extasy Duracell 223mg MDMA.
55,55,02-03-2020 03:37:23,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.0895,53593,19760,1791,800.0,True,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
56,56,02-03-2020 03:37:23,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,10,Тбилиси,10 гр,0.1636,97070,35790,3244,1449.0,True,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
57,57,02-03-2020 03:37:23,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0417,24720,9114,826,369.0,True,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
58,58,02-03-2020 03:37:23,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,4,Тбилиси,10 гр,0.0338,20030,7385,670,299.0,True,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
59,59,02-03-2020 03:37:23,Tbilisi,c9a56b2b4a,20x Extasy Duracell 223mg MDMA.,,нет,5,Тбилиси,20 гр,0.0791,46894,17290,1567,700.0,True,,,,,,,,,20x Extasy Duracell 223mg MDMA.
60,60,02-03-2020 03:37:23,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0677,40128,14795,1341,599.0,True,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
61,61,02-03-2020 03:37:23,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,,нет,2,Тбилиси,25 гр,0.0751,46894,17290,1567,700.0,True,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
62,62,02-03-2020 03:37:23,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,,нет,1,Тбилиси,50 гр,0.122,80389,29640,2687,1200.0,True,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
63,63,02-03-2020 03:37:23,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,,нет,1,Тбилиси,50 гр,0.1072,66924,24675,2237,999.0,True,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
64,64,02-03-2020 03:37:23,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2236,133982,49400,4478,2000.0,True,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
65,65,02-03-2020 03:37:23,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.2259,133982,49400,4478,2000.0,True,,,,,,,,,SUBOXIN - HQ - 100 G.
66,66,02-03-2020 03:37:23,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2796,167477,61750,5598,2500.0,True,,,,,,,,,Marihuana [Shishki] [Gali] 100G
67,67,02-03-2020 03:37:23,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.1694,100486,37050,3359,1500.0,True,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
68,68,02-03-2020 03:37:23,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.5144,308158,113620,10300,4600.0,True,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
69,69,02-03-2020 03:37:23,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.8387,502432,185250,16793,7500.0,True,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
70,70,02-03-2020 03:37:46,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.8365,502432,185250,16793,7500.0,True,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
71,71,02-03-2020 03:37:46,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.948,569423,209950,19032,8500.0,True,,,,,,,,,10000sht marki 25i-nbome. predoplata
72,72,02-03-2020 03:37:46,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,1,нет,Тбилиси,1 гр,0.0203,13398,4940,448,200.0,True,,,,,,,,,KURYER..500RUB.+BONUS
73,73,02-03-2020 03:37:46,Tbilisi,8528108b62,Требуется Курьер,,1,нет,Тбилиси,1 гр,0.0203,13398,4940,448,200.0,True,,,,,,,,,Trebuetsja Kur'er
74,74,02-03-2020 03:37:46,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0223,13398,4940,448,200.0,True,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
75,75,02-03-2020 03:37:46,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0279,16748,6175,560,250.0,True,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
76,76,02-03-2020 03:37:46,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.6882,1004864,370500,33587,15000.0,True,,,,,,,,,Vakansija optovogo kur'era na mef
77,77,02-03-2020 03:39:15,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.1673,100486,37050,3359,1500.0,,,,,,,True,,,Skunk! 50 gr.
78,78,02-03-2020 03:39:15,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,4,5,Батуми,0.27 гр,0.0304,18088,6669,605,270.0,,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
79,79,02-03-2020 03:39:15,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,1,17,Батуми,5 гр,0.0203,13398,4940,448,200.0,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
80,80,02-03-2020 03:39:15,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2253,133982,49400,4478,2000.0,,,,,,,True,,,SUBOXIN - HQ - 100 G.
81,81,02-03-2020 03:39:15,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.16899999999999998,100486,37050,3359,1500.0,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
82,82,02-03-2020 03:39:15,Batumi,d4df7908c3,"Ищу курьера (кладчик, кладмен)",,1,нет,Батуми,1 гр,0.0113,6699,2470,224,100.0,,,,,,,True,,,"Ischu kur'era (kladchik, kladmen)"
83,83,02-03-2020 03:39:15,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0051,3350,1235,112,50.0,,,,,,,True,,,kur'er v Batumi
84,84,02-03-2020 03:39:15,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,3 гр,0.0051,3350,1235,112,50.0,,,,,,,True,,,Vakansija Kur'era v Batumi
85,85,02-03-2020 03:39:15,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,5 гр,0.0076,5000,2301,167,,,,,,,,True,,,Vakansija Kur'era v Batumi
86,86,02-03-2020 03:39:15,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0253,16748,6175,560,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
87,87,02-03-2020 03:39:15,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0253,16748,6175,560,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
88,88,02-03-2020 03:39:15,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6882,1004864,370500,33587,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
89,89,02-03-2020 03:39:15,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0558,33495,12350,1120,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
90,90,02-03-2020 03:40:37,Kutaisi,d4df7908c3,Шишки / weeds Afghan Kush - 2г,,1,нет,Кутаиси,2 гр,0.0083,4957,1828,166,74.0,,,,,,,,,True,Shishki / weeds Afghan Kush - 2g
91,91,02-03-2020 03:40:37,Kutaisi,d4df7908c3,"Шишки / Weed Afghan Kush, 3g",,1,3,Кутаиси,3 гр,0.0122,7235,2668,242,108.0,,,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
92,92,02-03-2020 03:40:37,Kutaisi,d4df7908c3,"Ищу курьера (кладчик, кладмен)",,1,нет,Кутаиси,1 гр,0.0113,6699,2470,224,100.0,,,,,,,,,True,"Ischu kur'era (kladchik, kladmen)"
