,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Дигоми,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Батуми,Центр,desc_en
13,13,24-07-2020 11:26:11,Tbilisi,f25c0d6c5c,Шишка добрая 1 g,,24,нет,Тбилиси,1 гр,0.0052,3600,1657,121,,True,,,,,,,,,Shishka dobraja 1 g
14,14,24-07-2020 11:26:11,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,4,нет,Тбилиси,2 гр,0.0103,7025,2777,236,,,99.0,True,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
15,15,24-07-2020 11:26:11,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,4,нет,Тбилиси,2 гр,0.0114,7735,3057,260,,,109.0,True,,,,,,,2 G Hybrid Marijuana Buds
16,16,24-07-2020 11:26:11,Tbilisi,bb1791277e,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",,3,нет,Тбилиси,2 гр,0.0115,7806,3086,262,,True,110.0,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
17,17,24-07-2020 11:26:11,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,5,нет,Тбилиси,2 гр,0.0125,8516,3366,286,,True,120.0,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
18,18,24-07-2020 11:26:11,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,2,нет,Тбилиси,2 гр,0.0125,8516,3366,286,,True,120.0,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
19,19,24-07-2020 11:26:11,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,,2,нет,Тбилиси,2 гр,0.0115,7806,3086,262,,True,110.0,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
20,20,24-07-2020 11:26:11,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,2,нет,Тбилиси,2 гр,0.0104,7096,2805,239,,True,100.0,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
21,21,24-07-2020 11:26:11,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,4,нет,Тбилиси,2 гр,0.0125,8516,3366,286,,True,120.0,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
22,22,24-07-2020 11:26:11,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",,1,нет,Тбилиси,2 гр,0.0104,7806,3086,262,,True,110.0,,,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
23,23,24-07-2020 11:26:11,Tbilisi,d04eeb6525,Hybrid Bomba 2 г. TOP BUDS Very Strong,,1,нет,Тбилиси,2 гр,0.0103,7735,3057,260,,True,109.0,,,,,,,,Hybrid Bomba 2 g. TOP BUDS Very Strong
