,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,Varketili,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
54,54,27-03-2020 00:40:04,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.055999999999999994,31489,11440,1032,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
55,55,27-03-2020 00:40:04,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,4,Тбилиси,5 гр,0.0278,15666,5691,513,199.0,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
56,56,27-03-2020 00:40:04,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0769,43297,15730,1418,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
57,57,27-03-2020 00:40:04,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,1,Тбилиси,5 гр,0.0278,15666,5691,513,199.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
58,58,27-03-2020 00:40:04,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,9,Тбилиси,5 гр,0.0278,15666,5691,513,199.0,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
59,59,27-03-2020 00:40:04,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,1,Тбилиси,5 гр,0.0278,15666,5691,513,199.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
60,60,27-03-2020 00:40:04,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0278,15666,5691,513,199.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
61,61,27-03-2020 00:40:04,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0278,15666,5691,513,199.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
62,62,27-03-2020 00:40:04,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0278,17240,6263,565,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
63,63,27-03-2020 00:40:04,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0424,23617,8580,774,300.0,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
64,64,27-03-2020 00:40:04,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0278,15666,5691,513,199.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
65,65,27-03-2020 00:40:04,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 5 G,True,нет,5,Тбилиси,5 гр,0.2119,118083,42900,3868,1500.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 5 G
66,66,27-03-2020 00:40:58,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,14,Тбилиси,5 гр,0.0254,15744,5720,516,200.0,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
67,67,27-03-2020 00:40:58,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3069,190000,87429,6316,,,,,,,,,,,,reagent 25i nbome. 5gr
68,68,27-03-2020 00:40:58,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3815,236167,85800,7737,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
69,69,27-03-2020 00:40:58,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,2,Тбилиси,5 гр,0.1228,68410,24853,2241,869.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
70,70,27-03-2020 00:40:58,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0268,14957,5434,490,190.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
71,71,27-03-2020 00:40:58,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0691,38495,13985,1261,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
72,72,27-03-2020 00:40:58,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,7,Тбилиси,5 гр,0.0267,14879,5405,487,189.0,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
73,73,27-03-2020 00:40:58,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1259,70850,25740,2321,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
74,74,27-03-2020 00:40:58,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0979,55106,20020,1805,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
75,75,27-03-2020 00:40:58,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,6,Тбилиси,10 гр,0.0448,25191,9152,825,320.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
76,76,27-03-2020 00:40:58,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1119,62978,22880,2063,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
77,77,27-03-2020 00:40:58,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3112,175157,63635,5738,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
78,78,27-03-2020 00:40:58,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2047,114069,41441,3737,1449.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
79,79,27-03-2020 00:40:58,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0521,29049,10553,952,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
80,80,27-03-2020 00:40:58,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,2,Тбилиси,10 гр,0.0422,23538,8551,771,299.0,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
81,81,27-03-2020 00:40:58,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0846,47155,17131,1545,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
82,82,27-03-2020 00:40:58,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1526,94467,34320,3095,1200.0,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
83,83,27-03-2020 00:40:58,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1539,86595,31460,2837,1100.0,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
84,84,27-03-2020 00:40:58,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2798,157445,57200,5158,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
85,85,27-03-2020 00:40:58,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2826,157445,57200,5158,2000.0,,,,,,,,,,,SUBOXIN - HQ - 100 G.
86,86,27-03-2020 00:40:58,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3497,196806,71500,6447,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
87,87,27-03-2020 00:40:58,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2119,118083,42900,3868,1500.0,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
88,88,27-03-2020 00:40:58,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6434,362123,131560,11863,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
89,89,27-03-2020 00:40:58,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0491,590417,214500,19342,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
90,90,27-03-2020 00:40:58,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1889,669140,243100,21921,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
91,91,27-03-2020 00:40:58,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0254,15744,5720,516,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
92,92,27-03-2020 00:40:58,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",True,1,нет,Тбилиси,1 гр,0.027999999999999997,15744,5720,516,200.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
93,93,27-03-2020 00:40:58,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,50 гр,0.0347,21491,7813,698,,,,,,250.0,,,,,,Rabota na marki (kur'er)
94,94,27-03-2020 00:40:58,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.027999999999999997,15744,5720,516,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
95,95,27-03-2020 00:40:58,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.035,19681,7150,645,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
96,96,27-03-2020 00:40:58,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.1172,1180835,429000,38684,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
97,97,27-03-2020 00:42:24,Batumi,99accec7c7,METHADONE 0.25 THE BEST QUALITY VHQ,,9,нет,Батуми,0.25 гр,0.027999999999999997,15744,5720,516,200.0,,,,,,,,True,,,METHADONE 0.25 THE BEST QUALITY VHQ
98,98,27-03-2020 00:42:24,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 грамм",,3,нет,Батуми,0.7 гр,0.0167,10316,3750,335,,,,,,120.0,,,,True,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gramm"
99,99,27-03-2020 00:42:24,Batumi,c72111ac1a,NZT-52 limited 1 г мука,,7,нет,Батуми,1 гр,0.0242,14957,5434,490,190.0,,,,,,,,,True,,NZT-52 limited 1 g muka
100,100,27-03-2020 00:42:24,Batumi,c72111ac1a,NZT-52 limited 2г мука,,4,нет,Батуми,2 гр,0.0432,26766,9724,877,340.0,,,,,,,,,True,,NZT-52 limited 2g muka
101,101,27-03-2020 00:42:24,Batumi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,22,нет,Батуми,2 гр,0.0057,3543,1287,116,45.0,,,,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
102,102,27-03-2020 00:42:24,Batumi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 4 штуки!!!,,4,нет,Батуми,4 гр,0.0089,5511,2002,181,70.0,,,,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 4 shtuki!!!
