,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Nadzaladevi,Дигоми,€,Didube,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
13,13,14-07-2020 03:03:46,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,3,нет,Тбилиси,1 гр,0.0063,4245,1635,145,60.0,,,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
14,14,14-07-2020 03:03:46,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 1 гр. Спокойно, Надёжно, Качественно.",True,1,нет,Тбилиси,1 гр,0.0052,3891,1499,133,55.0,,,,,,,,,,,,,"Amnesia Haze (photoperiod, regular) 1 gr. Spokojno, Nadezhno, Kachestvenno."
15,15,14-07-2020 03:03:46,Tbilisi,ebadfc162f,Gorilla Glue 1G Super strong weed LIMITED,,3,нет,Тбилиси,1 гр,0.0063,4245,1635,145,60.0,,True,,,,,,,,,,,Gorilla Glue 1G Super strong weed LIMITED
16,16,14-07-2020 03:03:46,Tbilisi,ae784bef73,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !,True,2,нет,Тбилиси,1 гр,0.0061,4103,1581,140,58.0,,,,,,,,,,,,,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !
17,17,14-07-2020 03:03:46,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! BUDS ! 1G,True,1,нет,Тбилиси,1 гр,0.0057,3891,1499,133,55.0,,,,,,,,,,,,,NEW ! Super Critical ! NEW ! BUDS ! 1G
18,18,14-07-2020 03:03:46,Tbilisi,0cd3c52bb8,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,True,1,нет,Тбилиси,1 гр,0.0052,3891,1499,133,55.0,,,,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
19,19,14-07-2020 03:03:46,Tbilisi,fccfd69694,Бошки OG Kush 1g.,True,1,нет,Тбилиси,1 гр,0.0042,2830,1090,97,40.0,,,,,,,,,,,,,Boshki OG Kush 1g.
20,20,14-07-2020 03:03:46,Tbilisi,ccc85b93d8,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 1G🍭🍭🍭,True,1,нет,Тбилиси,1 гр,0.012,8136,3134,278,115.0,,,,,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 1G🍭🍭🍭
21,21,14-07-2020 03:03:46,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️,True,4,нет,Тбилиси,1 гр,0.0072,4806,1852,164,,,,60.0,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️
22,22,14-07-2020 03:03:46,Tbilisi,bb1791277e,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",True,1,нет,Тбилиси,2 гр,0.0115,7782,2998,266,110.0,,,,,,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
23,23,14-07-2020 03:03:46,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,8,нет,Тбилиси,2 гр,0.0125,8490,3270,290,120.0,,,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
24,24,14-07-2020 03:03:46,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,2,нет,Тбилиси,2 гр,0.0125,8490,3270,290,120.0,,,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
25,25,14-07-2020 03:03:46,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,3,нет,Тбилиси,2 гр,0.0125,8490,3270,290,120.0,,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
26,26,14-07-2020 03:03:46,Tbilisi,69672fee0d,2 г Skunk #1 марихуана шишки тгк 29% VHQ,True,2,нет,Тбилиси,2 гр,0.0104,7075,2725,242,100.0,,,,,,,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
27,27,14-07-2020 03:03:46,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,1,нет,Тбилиси,2 гр,0.0092,6226,2398,213,88.0,,,,,,,,,,,,,2gr HYBRID buds
28,28,14-07-2020 03:03:46,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",,7,нет,Тбилиси,2 гр,0.0104,7782,2998,266,110.0,,True,,True,,,,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
29,29,14-07-2020 03:03:46,Tbilisi,bb1791277e,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,True,3,нет,Тбилиси,2 гр,0.0125,8490,3270,290,120.0,,,,,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
30,30,14-07-2020 03:03:46,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",True,3,нет,Тбилиси,2 гр,0.0104,7782,2998,266,110.0,,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
31,31,14-07-2020 03:03:46,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 2gram,True,2,нет,Тбилиси,2 гр,0.009000000000000001,6721,2589,230,95.0,,,,,,,,,,,,,Northern Lights Regular [budsonly] 2gram
32,32,14-07-2020 03:03:46,Tbilisi,e771f4c371,2.2G Peppermint Kush ( 26% ^THC^VHQ) FROM EUROPE,,2,нет,Тбилиси,2.2 гр,0.0112,7570,2916,259,107.0,,,,,True,,,,,,,,2.2G Peppermint Kush ( 26% ^THC^VHQ) FROM EUROPE
33,33,14-07-2020 03:03:46,Tbilisi,8528108b62,3g. марихуана шишки Critical,True,1,нет,Тбилиси,3 гр,0.0123,9197,3543,314,130.0,,,,,,,,,,,,,3g. marihuana shishki Critical
34,34,14-07-2020 03:03:46,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,46,нет,Тбилиси,3 гр,0.0058,3891,1499,133,55.0,,,,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
35,35,14-07-2020 03:04:39,Tbilisi,7c395c455d,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,2,нет,Тбилиси,5 гр,0.0282,19102,7358,653,270.0,,,,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
36,36,14-07-2020 03:04:39,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,2,нет,Тбилиси,5 гр,0.0185,13796,5314,472,195.0,,,,,,,,,,,,,5g. marihuana shishki Critical
37,37,14-07-2020 03:04:39,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",,1,нет,Тбилиси,5 гр,0.0228,16980,6540,580,240.0,,True,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
38,38,14-07-2020 03:04:39,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,3,нет,Тбилиси,5 гр,0.0209,14150,5450,484,200.0,,,,,,True,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
39,39,14-07-2020 03:04:39,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,5 гр,0.0052,3891,1499,133,55.0,,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
40,40,14-07-2020 03:04:39,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,2,нет,Тбилиси,10 гр,0.0455,31837,12263,1088,450.0,,,,,,,,,,,,,Gashish Evro 10gr
41,41,14-07-2020 03:04:39,Tbilisi,8528108b62,12g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0313,23347,8993,798,330.0,,,,,,,,,,,,,12g. marihuana shishki Critical
42,42,14-07-2020 03:04:39,Tbilisi,ae784bef73,Silver haze leaves листья 15гр sale,True,8,нет,Тбилиси,15 гр,0.0068,4599,1771,157,65.0,,,,,,,,,,,,,Silver haze leaves list'ja 15gr sale
43,43,14-07-2020 03:04:39,Tbilisi,9610a68a0a,GABAGAMA 40 SHTUK,True,1,нет,Тбилиси,40 гр,0.0052,3537,1363,121,50.0,,,,,,,,,,,,,GABAGAMA 40 SHTUK
44,44,14-07-2020 03:04:39,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2106,141496,54500,4837,2000.0,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
45,45,14-07-2020 03:04:39,Tbilisi,54915c4374,То ли алфа пвп то ли апвп (но ооочень сильные кристаллы) 0.3,True,нет,2,Тбилиси,0.3 гр,0.0109,8136,3134,278,115.0,,,,,,,,,,,,,To li alfa pvp to li apvp (no ooochen' sil'nye kristally) 0.3
46,46,14-07-2020 03:04:39,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",True,нет,4,Тбилиси,1 гр,0.037000000000000005,24829,9570,849,,,,310.0,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
47,47,14-07-2020 03:04:39,Tbilisi,ccc85b93d8,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 2G🍭🍭🍭,True,нет,10,Тбилиси,2 гр,0.023,15565,5995,532,220.0,,,,,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 2G🍭🍭🍭
48,48,14-07-2020 03:04:39,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gram,True,нет,10,Тбилиси,3 гр,0.0142,10612,4088,363,150.0,,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gram
49,49,14-07-2020 03:04:39,Tbilisi,f374062dcd,Кристаллы Синие мощные 3гр,True,нет,2,Тбилиси,3 гр,0.0626,46694,17985,1596,660.0,,,,,,,,,,,,,Kristally Sinie moschnye 3gr
50,50,14-07-2020 03:04:39,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,2,Тбилиси,4 гр,0.0417,28299,10900,967,400.0,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
51,51,14-07-2020 03:04:39,Tbilisi,7f1273da70,марихуана пудра высокое качество 4грам,True,нет,10,Тбилиси,4 гр,0.0062,4599,1771,157,65.0,,,,,,,,,,,,,marihuana pudra vysokoe kachestvo 4gram
52,52,14-07-2020 03:04:39,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0261,17687,6813,605,250.0,,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
53,53,14-07-2020 03:04:39,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,4,Тбилиси,5 гр,0.0574,38911,14988,1330,550.0,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
54,54,14-07-2020 03:04:39,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,2,6,Тбилиси,5 гр,0.0282,19102,7358,653,270.0,,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
55,55,14-07-2020 03:04:39,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,2,5,Тбилиси,5 гр,0.0292,19809,7630,677,280.0,,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
56,56,14-07-2020 03:04:39,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0287,19456,7494,665,275.0,,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
57,57,14-07-2020 03:04:39,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,1,4,Тбилиси,5 гр,0.025,16980,6540,580,240.0,,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
58,58,14-07-2020 03:04:39,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,7,Тбилиси,5 гр,0.0292,19809,7630,677,280.0,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
59,59,14-07-2020 03:04:39,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0282,19102,7358,653,270.0,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
60,60,14-07-2020 03:04:39,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0208,15494,5968,530,219.0,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
61,61,14-07-2020 03:04:39,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 5G On Iron Magnet,True,нет,2,Тбилиси,5 гр,0.1566,106122,40875,3628,1500.0,,,,,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 5G On Iron Magnet
62,62,14-07-2020 03:04:39,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0282,19102,7358,653,270.0,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
63,63,14-07-2020 03:04:39,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2548,190000,87429,6493,,,,,,,,,,,,,,reagent 25i nbome. 5gr
64,64,14-07-2020 03:04:39,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2846,212244,81750,7256,3000.0,,,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
65,65,14-07-2020 03:04:39,Tbilisi,ccc85b93d8,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 5G🍭🍭🍭,True,нет,5,Тбилиси,5 гр,0.0522,35374,13625,1209,500.0,,,,,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 5G🍭🍭🍭
66,66,14-07-2020 03:04:39,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,True,нет,3,Тбилиси,5 гр,0.0238,16019,6174,547,,,,200.0,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
67,67,14-07-2020 03:04:39,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0939,63673,24525,2177,900.0,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
68,68,14-07-2020 03:04:39,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0574,38911,14988,1330,550.0,,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
69,69,14-07-2020 03:04:39,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0731,49524,19075,1693,700.0,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
70,70,14-07-2020 03:05:30,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0574,38911,14988,1330,550.0,,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
71,71,14-07-2020 03:05:30,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0731,49524,19075,1693,700.0,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
72,72,14-07-2020 03:05:30,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0438,29714,11445,1016,420.0,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
73,73,14-07-2020 03:05:30,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0835,56598,21800,1935,800.0,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
74,74,14-07-2020 03:05:30,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2323,157414,60631,5381,2225.0,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
75,75,14-07-2020 03:05:30,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,True,нет,5,Тбилиси,10 гр,0.0525,35241,13583,1204,,,,440.0,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
76,76,14-07-2020 03:05:30,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,11 гр,0.0465,31237,12039,1068,,,,390.0,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
77,77,14-07-2020 03:05:30,Tbilisi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",True,нет,3,Тбилиси,11 гр,0.0476,31957,12317,1092,,,,399.0,,,,,,,,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
78,78,14-07-2020 03:05:30,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0617,45986,17713,1572,650.0,,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
79,79,14-07-2020 03:05:30,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2505,169795,65400,5804,2400.0,,,,,,,,,,,,,100 gr marijuana buds
80,80,14-07-2020 03:05:30,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.261,176870,68125,6046,2500.0,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
81,81,14-07-2020 03:05:30,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6159,417413,160775,14269,5900.0,,,,,,,,,,,,,180 gr marihuana persoalno
82,82,14-07-2020 03:05:30,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8873,601357,231625,20557,8500.0,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
83,83,14-07-2020 03:05:30,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.019,14150,5450,484,200.0,,,,,,,,,,,,,KURYER..500RUB.+BONUS
84,84,14-07-2020 03:05:30,Tbilisi,83f3d55917,Ишем куриера в тбилиси!! срочно!! толко марихуана!!,True,1,нет,Тбилиси,1 гр,0.0157,10612,4088,363,150.0,,,,,,,,,,,,,Ishem kuriera v tbilisi!! srochno!! tolko marihuana!!
85,85,14-07-2020 03:05:30,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0261,17687,6813,605,250.0,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
86,86,14-07-2020 03:05:30,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0209,14150,5450,484,200.0,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
87,87,14-07-2020 03:05:30,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0261,17687,6813,605,250.0,,,,,,,,,,,,,Rabota na marki (kur'er)
88,88,14-07-2020 03:05:30,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0522,35374,13625,1209,500.0,,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
89,89,14-07-2020 03:05:30,Tbilisi,ae784bef73,Работа курьером,True,нет,1,Тбилиси,10 гр,0.019,14150,5450,484,200.0,,,,,,,,,,,,,Rabota kur'erom
90,90,14-07-2020 03:05:30,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.58,1061219,408750,36278,15000.0,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
91,91,14-07-2020 03:05:30,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.0522,35374,13625,1209,500.0,,,,,,True,True,,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
92,92,14-07-2020 03:07:45,Batumi,f8a875c191,METADON - 0.30 - SALE,,7,5,Батуми,0.3 гр,0.0316,21224,8175,726,300.0,,,,,,,,,,True,,,METADON - 0.30 - SALE
93,93,14-07-2020 03:07:45,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,13,нет,Батуми,2 гр,0.0044,2971,1145,102,42.0,,,,,,,,,,True,,,Melkie shishki (Indica) 2g
94,94,14-07-2020 03:07:45,Batumi,75738ec358,ASTRAL 3g,,2,нет,Батуми,3 гр,0.0256,19102,7358,653,270.0,,,,,,,,,,True,,,ASTRAL 3g
95,95,14-07-2020 03:07:45,Batumi,3b3ba4f5a5,Мощные шишки Y-Griega (Sativa) 5г,,1,нет,Батуми,5 гр,0.0365,24762,9538,846,350.0,,,,,,,,,,True,,,Moschnye shishki Y-Griega (Sativa) 5g
96,96,14-07-2020 03:07:45,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.037000000000000005,24829,9570,849,,,,310.0,,,,,,,True,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
