,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Saburtalo,$,Vazisubani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
71,71,14-05-2020 16:32:20,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2223,59180,5382,162646,,2200.0,,,,,True,,,[100g] SPAIN HASH
72,72,14-05-2020 16:32:20,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1544,51992,3757,112990,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
73,73,14-05-2020 16:32:20,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2445,82321,5948,178900,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
74,74,14-05-2020 16:32:20,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0092,2690,245,7393,,100.0,,,,,True,,,kur'er v Batumi
75,75,14-05-2020 16:32:20,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.023,6725,612,18482,,250.0,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
76,76,14-05-2020 16:32:20,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.023,6725,612,18482,,250.0,,,,,True,,,Ischu kur'era v Gruzii!
77,77,14-05-2020 16:32:20,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5291,403500,36695,1108947,,15000.0,,,,,True,,,Vakansija optovogo kur'era na mef
78,78,14-05-2020 16:32:20,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0505,13450,1223,36965,,500.0,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
79,79,14-05-2020 16:33:57,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,1,нет,Кутаиси,1.5 гр,0.0172,4573,416,12568,,170.0,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
80,80,14-05-2020 16:33:57,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0485,13047,1186,35856,,485.0,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
81,81,14-05-2020 16:33:57,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,8,нет,Кутаиси,3 гр,0.0313,8339,758,22918,,310.0,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
82,82,14-05-2020 16:33:57,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0202,5380,489,14786,,200.0,,,,,,,True,Rabota na marki (kur'er)
