,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Дигоми,Vazisubani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
34,30-05-2020 13:07:50,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.1013,67851,25941,2311,959,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
35,30-05-2020 13:07:50,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,9,Тбилиси,5 гр,0.0201,13443,5140,458,190,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
36,30-05-2020 13:07:50,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,3,Тбилиси,5 гр,0.0517,34598,13227,1178,489,,,,,,,,,,,💘✨5g. MDMA ✨💘
37,30-05-2020 13:07:50,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0942,63677,24345,2169,900,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
38,30-05-2020 13:07:50,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0418,28301,10820,964,400,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
39,30-05-2020 13:07:50,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0732,49526,18935,1687,700,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
40,30-05-2020 13:07:50,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0439,29716,11361,1012,420,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
41,30-05-2020 13:07:50,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0837,56602,21640,1928,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
42,30-05-2020 13:07:50,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2328,157423,60186,5362,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
43,30-05-2020 13:07:50,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,2,Тбилиси,10 гр,0.1647,110302,42171,3757,1559,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
