,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Дигоми,Vake,Old Tbilisi (Старый город),Vazisubani,€,Авлобари,Батуми,Центр,desc_en
10,10,21-06-2020 06:25:52,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,1 гр,0.006,4105,1587,140,59.0,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
11,11,21-06-2020 06:25:52,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,1,нет,Тбилиси,1 гр,0.006,4105,1587,140,59.0,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
12,12,21-06-2020 06:25:52,Tbilisi,4a91350669,1 шишки Girl Scout Cookies тгк thc 28%,,6,нет,Тбилиси,1 гр,0.0061,4174,1614,143,60.0,,,True,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
13,13,21-06-2020 06:25:52,Tbilisi,16a8841259,Ak - 47 1г,True,2,нет,Тбилиси,1 гр,0.0056,3826,1480,131,55.0,,,,,,,,,,,Ak - 47 1g
14,14,21-06-2020 06:25:52,Tbilisi,ebadfc162f,Bubba Kush 1G Super strong indica dominant weed 100%шишки!,,4,нет,Тбилиси,1 гр,0.005,3409,1318,116,49.0,True,,,True,,,,,,,Bubba Kush 1G Super strong indica dominant weed 100%shishki!
15,15,21-06-2020 06:25:52,Tbilisi,ae784bef73,NEW ! White Shark ! BUDS ! 1G,,3,нет,Тбилиси,1 гр,0.0046,3131,1211,107,45.0,,True,,,True,,,,,,NEW ! White Shark ! BUDS ! 1G
16,16,21-06-2020 06:25:52,Tbilisi,0cd3c52bb8,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,True,2,нет,Тбилиси,1 гр,0.0051,3826,1480,131,55.0,,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
17,17,21-06-2020 06:25:52,Tbilisi,54915c4374,Марки н-боооом!!! 1 шт.,,5,нет,Тбилиси,1 гр,0.0018,1252,484,43,18.0,True,,,,,,,,,,Marki n-boooom!!! 1 sht.
18,18,21-06-2020 06:25:52,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,True,1,нет,Тбилиси,1 гр,0.0246,16628,6429,568,239.0,,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
19,19,21-06-2020 06:25:52,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,14,нет,Тбилиси,2 гр,0.0121,8279,3201,283,119.0,,,True,,,,,,,,2 G Hybrid Marijuana Buds
20,20,21-06-2020 06:25:52,Tbilisi,bb1791277e,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",,1,нет,Тбилиси,2 гр,0.0122,8349,3228,285,120.0,,,True,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
21,21,21-06-2020 06:25:52,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,,5,нет,Тбилиси,2 гр,0.0122,8349,3228,285,120.0,True,,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
22,22,21-06-2020 06:25:52,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,5,нет,Тбилиси,2 гр,0.009000000000000001,6122,2367,209,88.0,,,,,,,,,,,2gr HYBRID buds
23,23,21-06-2020 06:25:52,Tbilisi,ebadfc162f,Bubba Kush 2G Super strong indica dominant weed 100%шишки!,,5,нет,Тбилиси,2 гр,0.009000000000000001,6122,2367,209,88.0,,,True,,,,,,,,Bubba Kush 2G Super strong indica dominant weed 100%shishki!
24,24,21-06-2020 06:25:52,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,True,3,нет,Тбилиси,2 гр,0.0479,32630,12616,1114,469.0,,,,,,,,,,,Cocaine Pure VHQ 2 g
25,25,21-06-2020 06:25:52,Tbilisi,54915c4374,марки н-боом 2 шт.,,3,нет,Тбилиси,2 гр,0.0036,2435,942,83,35.0,True,,,,,,,,,,marki n-boom 2 sht.
26,26,21-06-2020 06:25:52,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,3,нет,Тбилиси,2 гр,0.0087,5914,2287,202,85.0,,,,True,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
27,27,21-06-2020 06:25:52,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,True,25,нет,Тбилиси,3 гр,0.0089,6053,2340,207,87.0,,,,,,,,,,,3 gr georgian weed. Package on magnet
28,28,21-06-2020 06:25:52,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,True,11,нет,Тбилиси,3 гр,0.006999999999999999,4801,1856,164,69.0,,,,,,True,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
29,29,21-06-2020 06:25:52,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,3,нет,Тбилиси,4 гр,0.0143,9740,3766,333,140.0,,,True,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
30,30,21-06-2020 06:25:52,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,True,1,нет,Тбилиси,5 гр,0.0132,8975,3470,306,129.0,,,,,,,,,,,5 gr georgian weed. Package on magnet
31,31,21-06-2020 06:25:52,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,2,нет,Тбилиси,5 гр,0.0223,16697,6456,570,240.0,,,,,,,,,,,5g. marihuana shishki Critical
32,32,21-06-2020 06:25:52,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,11,нет,Тбилиси,5 гр,0.018000000000000002,12175,4708,416,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
33,33,21-06-2020 06:25:52,Tbilisi,d04eeb6525,5г. GEO Марихуана бошки,True,2,нет,Тбилиси,5 гр,0.0138,10366,4008,354,149.0,,,,,,,,,,,5g. GEO Marihuana boshki
34,34,21-06-2020 06:25:52,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,3,нет,Тбилиси,5 гр,0.11699999999999999,81400,31473,2780,1170.0,,,,,,,,,,,VHQ BEST Cocaine 5g.
35,35,21-06-2020 06:25:52,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 5gr marijuana buds -indica- (КЛАДИ НА МАГНИТАХ),True,10,нет,Тбилиси,5 гр,0.0101,6888,2663,235,99.0,,,,,,,,,,,AKTsIJa! SUPER TsENA! 5gr marijuana buds -indica- (KLADI NA MAGNITAH)
36,36,21-06-2020 06:26:21,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,5 гр,0.0051,3826,1480,131,55.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
37,37,21-06-2020 06:26:21,Tbilisi,54915c4374,марки н-боом 5шт.,True,10,10,Тбилиси,5 гр,0.0066,4522,1749,154,65.0,True,,,,,,,,,,marki n-boom 5sht.
38,38,21-06-2020 06:26:21,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),True,10,нет,Тбилиси,10 гр,0.0203,13845,5353,473,199.0,,,,,,,,,,,AKTsIJa! SUPER TsENA! 10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
39,39,21-06-2020 06:26:21,Tbilisi,e56bb6ca93,"Отходы, листья и шишки. 🍃 Leafs and Buds (Good for making bubble hash)",True,9,нет,Тбилиси,10 гр,0.0097,6540,2529,223,94.0,,,,,,,,,,,"Othody, list'ja i shishki. 🍃 Leafs and Buds (Good for making bubble hash)"
40,40,21-06-2020 06:26:21,Tbilisi,7bd1a5deba,11+ GRAMM BEASTWEED NEW,True,4,нет,Тбилиси,11 гр,0.0167,12523,4842,428,180.0,,,,,,,,,,,11+ GRAMM BEASTWEED NEW
41,41,21-06-2020 06:26:21,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0464,34786,13450,1188,500.0,,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
42,42,21-06-2020 06:26:21,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.20600000000000002,139145,53800,4751,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
43,43,21-06-2020 06:26:21,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",True,нет,4,Тбилиси,0.5 гр,0.0092,6262,2421,214,90.0,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
44,44,21-06-2020 06:26:21,Tbilisi,54915c4374,"Extazzy ""Gucci"" VHQ (1 штука)",True,нет,9,Тбилиси,1 гр,0.0046,3131,1211,107,45.0,,,,,,,,,,,"Extazzy ""Gucci"" VHQ (1 shtuka)"
45,45,21-06-2020 06:26:21,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (2гр)",True,нет,10,Тбилиси,2 гр,0.0092,6262,2421,214,90.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (2gr)"
46,46,21-06-2020 06:26:21,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,4,Тбилиси,2 гр,0.038,25672,9926,877,369.0,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
47,47,21-06-2020 06:26:21,Tbilisi,54915c4374,Комбо!!! MDMA 0.2 + марки н боом 2 шт. (2.2 гр),True,нет,10,Тбилиси,2.2 гр,0.0086,5850,2261,200,,,,,,,,75.0,,,,Kombo!!! MDMA 0.2 + marki n boom 2 sht. (2.2 gr)
48,48,21-06-2020 06:26:21,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (3 грамма)",True,нет,10,Тбилиси,3 гр,0.0122,8349,3228,285,120.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
49,49,21-06-2020 06:26:21,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,4,Тбилиси,3 гр,0.0597,40282,15575,1376,579.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
50,50,21-06-2020 06:26:21,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,6,Тбилиси,4 гр,0.0408,27829,10760,950,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
51,51,21-06-2020 06:26:21,Tbilisi,54915c4374,Combo!!! 2 Ecztazy and 2 N-BooM (4 штуки),True,нет,9,Тбилиси,4 гр,0.0122,8349,3228,285,120.0,,,,,,,,,,,Combo!!! 2 Ecztazy and 2 N-BooM (4 shtuki)
52,52,21-06-2020 06:26:21,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0561,38265,14795,1307,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
53,53,21-06-2020 06:26:21,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0276,18785,7263,641,270.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
54,54,21-06-2020 06:26:21,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,5,Тбилиси,5 гр,0.0286,19480,7532,665,280.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
55,55,21-06-2020 06:26:21,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0281,19132,7398,653,275.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
56,56,21-06-2020 06:26:21,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0245,16697,6456,570,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
57,57,21-06-2020 06:26:21,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,7,Тбилиси,5 гр,0.0286,19480,7532,665,280.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
58,58,21-06-2020 06:26:21,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0276,18785,7263,641,270.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
59,59,21-06-2020 06:26:21,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0203,15236,5891,520,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
60,60,21-06-2020 06:26:21,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",True,нет,10,Тбилиси,5 гр,0.0179,12175,4708,416,175.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
61,61,21-06-2020 06:26:21,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0276,18785,7263,641,270.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
62,62,21-06-2020 06:26:21,Tbilisi,54915c4374,Геройн (сирец) 5 гр,True,нет,2,Тбилиси,5 гр,0.1531,104359,40350,3564,1500.0,,,,,,,,,,,Gerojn (sirets) 5 gr
63,63,21-06-2020 06:26:21,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2534,190000,87429,6501,,,,,,,,,,,,reagent 25i nbome. 5gr
64,64,21-06-2020 06:26:21,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2783,208718,80700,7127,3000.0,,,,,True,,,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
65,65,21-06-2020 06:26:21,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.0989,66720,25797,2278,959.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
66,66,21-06-2020 06:26:21,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,9,Тбилиси,5 гр,0.0196,13219,5111,451,190.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
67,67,21-06-2020 06:26:21,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,9,Тбилиси,5 гр,0.0504,34021,13154,1162,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
68,68,21-06-2020 06:26:21,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0919,62615,24210,2138,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
69,69,21-06-2020 06:26:21,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0561,38265,14795,1307,550.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
70,70,21-06-2020 06:26:21,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0714,48701,18830,1663,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
71,71,21-06-2020 06:26:49,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0429,29220,11298,998,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
72,72,21-06-2020 06:26:49,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0816,55658,21520,1901,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
73,73,21-06-2020 06:26:49,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",True,нет,10,Тбилиси,10 гр,0.0337,22959,8877,784,330.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
74,74,21-06-2020 06:26:49,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2271,154799,59853,5286,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
75,75,21-06-2020 06:26:49,Tbilisi,54915c4374,Сирец (геройн) очень сильный 10 гр,True,нет,2,Тбилиси,10 гр,0.2245,153060,59180,5227,2200.0,,,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 10 gr
76,76,21-06-2020 06:26:49,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.1607,108464,41937,3704,1559.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
77,77,21-06-2020 06:26:49,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,True,нет,5,Тбилиси,10 гр,0.0813,54893,21224,1874,789.0,,,,,,,,,,,💘✨10gram MDMA ✨💘
78,78,21-06-2020 06:26:49,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,8,Тбилиси,10 гр,0.038,25672,9926,877,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
79,79,21-06-2020 06:26:49,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,3,Тбилиси,11 гр,0.0449,30422,11759,1040,,,,,,,,390.0,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
80,80,21-06-2020 06:26:49,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,True,нет,3,Тбилиси,20 гр,0.1392,104359,40350,3564,1500.0,,,,,,,,,,,✨💘20g MDMA💘✨
81,81,21-06-2020 06:26:49,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0617,41674,16113,1423,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
82,82,21-06-2020 06:26:49,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,50 гр,0.1326,90375,34943,3086,1299.0,,,,,,,,,,,50 gr georgian weed. Package on magnet
83,83,21-06-2020 06:26:49,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,4,Тбилиси,100 гр,0.255,173862,67223,5937,2499.0,,,,,,,,,,,100 gr georgian weed. Package on magnet
84,84,21-06-2020 06:26:49,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2449,166974,64560,5702,2400.0,,,,,,,,,,,100 gr marijuana buds
85,85,21-06-2020 06:26:49,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2041,139145,53800,4751,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
86,86,21-06-2020 06:26:49,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2551,173931,67250,5939,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
87,87,21-06-2020 06:26:49,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6021,410478,158710,14017,5900.0,,,,,,,,,,,180 gr marihuana persoalno
88,88,21-06-2020 06:26:49,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,4,Тбилиси,200 гр,0.4377,295683,114325,10097,4250.0,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
89,89,21-06-2020 06:26:49,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4695,320034,123740,10928,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
90,90,21-06-2020 06:26:49,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7654,521794,201750,17818,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
91,91,21-06-2020 06:26:49,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8675,591366,228650,20193,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
92,92,21-06-2020 06:26:49,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0186,13915,5380,475,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
93,93,21-06-2020 06:26:49,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0204,13915,5380,475,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
94,94,21-06-2020 06:26:49,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0255,17393,6725,594,250.0,,,,,,,,,,,Rabota na marki (kur'er)
95,95,21-06-2020 06:26:49,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5448,1043588,403500,35636,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
96,96,21-06-2020 06:28:30,Batumi,be97026d1d,!! БАТУМИ!! !!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!! !! БАТУМИ !!,,13,нет,Батуми,0.25 гр,0.0133,9283,3588,317,,,,,,,,119.0,,True,,!! BATUMI!! !!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!! !! BATUMI !!
97,97,21-06-2020 06:28:30,Batumi,3c4662c591,шишки марихуаны 5G,,3,нет,Батуми,5 гр,0.0306,20872,8070,713,300.0,,,,,,,,,,True,shishki marihuany 5G
98,98,21-06-2020 06:28:30,Batumi,3c4662c591,Super Critical 10G,,2,нет,Батуми,10 гр,0.0612,41744,16140,1425,600.0,,,,,,,,,,True,Super Critical 10G
99,99,21-06-2020 06:28:30,Batumi,f8a875c191,METADON - 025,,1,3,Батуми,0.25 гр,0.0361,24350,9415,832,350.0,,,,,,,,,True,,METADON - 025
100,100,21-06-2020 06:28:30,Batumi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Батуми,5 гр,0.1531,104359,40350,3564,1500.0,,,,,,,,,True,,Gerojn (sirets) 5 gr
101,101,21-06-2020 06:28:30,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0429,29220,11298,998,420.0,,,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
102,102,21-06-2020 06:28:30,Batumi,54915c4374,Сирец (геройн) очень сильный 10 гр,,нет,2,Батуми,10 гр,0.2245,153060,59180,5227,2200.0,,,,,,,,,True,,Sirets (gerojn) ochen' sil'nyj 10 gr
