,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Vake,Дигоми,€,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
26,26,10-02-2020 16:18:12,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,1,нет,Тбилиси,1 гр,0.0455,31885,12350,1088,500.0,,,,,,,,,,,,Metadon VHQ 1 24/7
27,27,10-02-2020 16:18:12,Tbilisi,c72111ac1a,NZT-52 mind storm limited 1г мука,True,4,нет,Тбилиси,1 гр,0.0118,8290,3211,283,130.0,,,,,,,,,,,,NZT-52 mind storm limited 1g muka
28,28,10-02-2020 16:18:12,Tbilisi,3814ba5701,Weed From Gali(THC 23%) 1gr,,1,нет,Тбилиси,1 гр,0.0048,3189,1235,109,50.0,,,,,,True,,,,,,Weed From Gali(THC 23%) 1gr
29,29,10-02-2020 16:18:12,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,1,нет,Тбилиси,1 гр,0.0199,12690,4915,433,199.0,,,True,,,,,,,,,Kokain KOLUMBIA 1g
30,30,10-02-2020 16:18:12,Tbilisi,e8a987a33c,"Метадон, 1gr",True,6,нет,Тбилиси,1 гр,0.045,28697,11115,979,450.0,,,,,,,,,,,,"Metadon, 1gr"
31,31,10-02-2020 16:18:12,Tbilisi,7ee4f68218,2 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,1,нет,Тбилиси,2 гр,0.0074,4888,1894,167,,,,,,70.0,,,,,,,2 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
32,32,10-02-2020 16:18:54,Tbilisi,21de5577be,2 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT,,1,нет,Тбилиси,2 гр,0.008,5102,1976,174,80.0,,True,,,,,,,,,,2 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT
33,33,10-02-2020 16:18:54,Tbilisi,21de5577be,2 gr. Blue Berry Kush 100% Natural/Indika/ Import,,2,нет,Тбилиси,2 гр,0.008,5102,1976,174,80.0,,,True,,,,,,,,,2 gr. Blue Berry Kush 100% Natural/Indika/ Import
34,34,10-02-2020 16:18:54,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,1,нет,Тбилиси,2 гр,0.0364,22957,8892,783,360.0,,,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
35,35,10-02-2020 16:18:54,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,11,нет,Тбилиси,2 гр,0.0071,4464,1729,152,70.0,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
36,36,10-02-2020 16:18:54,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,1,нет,Тбилиси,2 гр,0.0377,24552,9510,838,385.0,,,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
37,37,10-02-2020 16:18:54,Tbilisi,ae784bef73,Gorilla Glue! 2G! NEW !,True,2,нет,Тбилиси,2 гр,0.0075,4783,1853,163,75.0,,,,,,,,,,,,Gorilla Glue! 2G! NEW !
38,38,10-02-2020 16:18:54,Tbilisi,c72111ac1a,NZT-52 mind storm limited 2г мука,True,8,нет,Тбилиси,2 гр,0.0209,14667,5681,501,230.0,,,,,,,,,,,,NZT-52 mind storm limited 2g muka
39,39,10-02-2020 16:18:54,Tbilisi,013e75d78f,C O C A i N E 2 g +0.2 g падарка. SALE SALE SALE !!! BiG SALE BTC -10 %%%%,True,1,нет,Тбилиси,2.2 гр,0.0364,25508,9880,870,400.0,,,,,,,,,,,,C O C A i N E 2 g +0.2 g padarka. SALE SALE SALE !!! BiG SALE BTC -10 %%%%
40,40,10-02-2020 16:18:54,Tbilisi,ad9cb826c6,"3 Grm Mdma , Purity A +++",True,2,нет,Тбилиси,3 гр,0.02,14030,5434,479,220.0,,,,,,,,,,,,"3 Grm Mdma , Purity A +++"
41,41,10-02-2020 16:18:54,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0106,6696,2594,229,105.0,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
42,42,10-02-2020 16:18:54,Tbilisi,c72111ac1a,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.03,21044,8151,718,330.0,,,,,,,,,,,,NZT-52 mind storm limited 3g muka
43,43,10-02-2020 16:18:54,Tbilisi,9795761a65,*new* Cocaine peru HQ 5 gr BTC -10 %,True,2,нет,Тбилиси,5 гр,0.0882,62002,24020,2119,,,,,,888.0,,,,,,,*new* Cocaine peru HQ 5 gr BTC -10 %
44,44,10-02-2020 16:18:54,Tbilisi,8219f5e7b8,"LSD - 250 ug, 5 pieces",True,1,нет,Тбилиси,5 гр,0.0151,9566,3705,326,150.0,,,,,,,,,,,,"LSD - 250 ug, 5 pieces"
45,45,10-02-2020 16:18:54,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,2,нет,Тбилиси,5 гр,0.0059,4145,1606,141,65.0,,,,,,,True,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
46,46,10-02-2020 16:18:54,Tbilisi,c225d2f67d,гашиш евро 5г,True,3,нет,Тбилиси,5 гр,0.0202,13392,5187,457,210.0,,,,,,,,,,,,gashish evro 5g
47,47,10-02-2020 16:18:54,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0384,25508,9880,870,400.0,,,,,,,,,,,,gashish evro 10g
48,48,10-02-2020 16:18:54,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,12,нет,Тбилиси,10 гр,0.0091,6377,2470,218,100.0,,,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
49,49,10-02-2020 16:18:54,Tbilisi,9795761a65,* SALE * COCAINE Peru 11 gr BTC -50 %,True,2,нет,Тбилиси,11 гр,0.0919,116324,45065,3975,,,,,,1666.0,,,,,,,* SALE * COCAINE Peru 11 gr BTC -50 %
50,50,10-02-2020 16:18:54,Tbilisi,436325081c,weed leaves 13gr +,True,3,нет,Тбилиси,13 гр,0.006,4209,1630,144,66.0,,,,,,,,,,,,weed leaves 13gr +
51,51,10-02-2020 16:18:54,Tbilisi,436325081c,georgian weed 15 gr salee !!!,True,1,нет,Тбилиси,15 гр,0.0125,8737,3384,298,137.0,,,,,,,,,,,,georgian weed 15 gr salee !!!
52,52,10-02-2020 16:18:54,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0746,49550,19192,1691,777.0,,,,,,,,,,,,Gashish Evro 20gr
53,53,10-02-2020 16:18:54,Tbilisi,9795761a65,* SALE *COCAINE Peru 20+2 gr BTC-50%,True,2,нет,Тбилиси,22 гр,0.1532,193897,75118,6625,,,,,,2777.0,,,,,,,* SALE *COCAINE Peru 20+2 gr BTC-50%
54,54,10-02-2020 16:18:54,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,4,Тбилиси,0.27 гр,0.0253,15943,6175,544,250.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
55,55,10-02-2020 16:18:54,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,1,5,Тбилиси,0.35 гр,0.0354,22320,8645,762,350.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
56,56,10-02-2020 16:18:54,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0606,38262,14820,1306,600.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
57,57,10-02-2020 16:18:54,Tbilisi,7c395c455d,2 gr mdma Кристаллы очен силни импорт с европи,True,нет,2,Тбилиси,2 гр,0.022000000000000002,14030,5434,479,220.0,,,,,,,,,,,,2 gr mdma Kristally ochen silni import s evropi
58,58,10-02-2020 16:18:54,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.04,25508,9880,870,400.0,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
59,59,10-02-2020 16:18:54,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,9,Тбилиси,5 гр,0.024,15305,5928,522,240.0,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
60,60,10-02-2020 16:18:54,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.025,15943,6175,544,250.0,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
61,61,10-02-2020 16:18:54,Tbilisi,ce030318fd,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.1364,95656,37050,3264,1500.0,,,,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
62,62,10-02-2020 16:18:54,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.025,15943,6175,544,250.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
63,63,10-02-2020 16:18:54,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.025,15943,6175,544,250.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
64,64,10-02-2020 16:18:54,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,4,Тбилиси,5 гр,0.0199,12690,4915,433,199.0,,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
65,65,10-02-2020 16:19:41,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.025,15943,6175,544,250.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
66,66,10-02-2020 16:19:41,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0199,13966,5409,477,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
67,67,10-02-2020 16:19:41,Tbilisi,851e5b91a0,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,3,Тбилиси,5 гр,0.019,13328,5162,455,209.0,,,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
68,68,10-02-2020 16:19:41,Tbilisi,851e5b91a0,"Jack Herer - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,3,Тбилиси,5 гр,0.019,13328,5162,455,209.0,,,,,,,,,,,,"Jack Herer - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
69,69,10-02-2020 16:19:41,Tbilisi,851e5b91a0,"NEW! O.G. Kush - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,5,Тбилиси,5 гр,0.019,13328,5162,455,209.0,,,,,,,,,,,,"NEW! O.G. Kush - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
70,70,10-02-2020 16:19:41,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.025,15943,6175,544,250.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
71,71,10-02-2020 16:19:41,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,19,Тбилиси,5 гр,0.0182,12754,4940,435,200.0,,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
72,72,10-02-2020 16:19:41,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.1997,140000,64421,4798,,,,,,,,,,,,,reagent 25i nbome. 5gr
73,73,10-02-2020 16:19:41,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2728,191312,74100,6529,3000.0,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
74,74,10-02-2020 16:19:41,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,8,Тбилиси,5 гр,0.0494,31184,12078,1064,489.0,,,,,,,,,,,,💘✨5g. MDMA ✨💘
75,75,10-02-2020 16:19:41,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.0182,11479,4446,392,180.0,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
76,76,10-02-2020 16:19:41,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0399,25445,9855,868,399.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
77,77,10-02-2020 16:19:41,Tbilisi,ce030318fd,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,4,Тбилиси,10 гр,0.1819,127542,49400,4352,2000.0,,,,,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
78,78,10-02-2020 16:19:41,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.08,51017,19760,1741,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
79,79,10-02-2020 16:19:41,Tbilisi,851e5b91a0,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0363,25445,9855,868,399.0,,,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
80,80,10-02-2020 16:19:41,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2226,141890,54958,4842,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
81,81,10-02-2020 16:19:41,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,True,нет,10,Тбилиси,10 гр,0.0816,51527,19958,1758,808.0,,,,,,,,,,,,💘✨10gram MDMA ✨💘
82,82,10-02-2020 16:19:41,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,2,Тбилиси,10 гр,0.0302,19067,7385,651,299.0,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
83,83,10-02-2020 16:19:41,Tbilisi,84c8f0bee0,SALE 50%. Шишки 11гр (лсд феминиз),True,нет,2,Тбилиси,11 гр,0.015,9566,3705,326,150.0,,,,,,,,,,,,SALE 50%. Shishki 11gr (lsd feminiz)
84,84,10-02-2020 16:19:41,Tbilisi,c9a56b2b4a,15x Extasy Duracell 223mg MDMA.,True,нет,10,Тбилиси,15 гр,0.0455,28697,11115,979,450.0,,,,,,,,,,,,15x Extasy Duracell 223mg MDMA.
85,85,10-02-2020 16:19:41,Tbilisi,ce030318fd,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,8,Тбилиси,20 гр,0.3001,210444,81510,7181,3300.0,,,,,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
86,86,10-02-2020 16:19:41,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0576,38262,14820,1306,600.0,,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
87,87,10-02-2020 16:19:41,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1091,76525,29640,2611,1200.0,,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
88,88,10-02-2020 16:19:41,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,50 гр,0.0864,57394,22230,1959,900.0,,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
89,89,10-02-2020 16:19:41,Tbilisi,30f48d507d,Hybrid Skunk! 50 gr,True,нет,2,Тбилиси,50 гр,0.095,60582,23465,2067,950.0,,,,,,,,,,,,Hybrid Skunk! 50 gr
90,90,10-02-2020 16:19:41,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2001,127542,49400,4352,2000.0,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
91,91,10-02-2020 16:19:41,Tbilisi,30f48d507d,Hybrid Skunk! 100 gr,True,нет,1,Тбилиси,100 гр,0.1801,114787,44460,3917,1800.0,,,,,,,,,,,,Hybrid Skunk! 100 gr
92,92,10-02-2020 16:19:41,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2501,159427,61750,5441,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
93,93,10-02-2020 16:19:41,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (100шт)",True,нет,2,Тбилиси,100 гр,0.0391,27421,10621,936,430.0,,,,,,,,,,,,"marki 25i-nbome 2,5mg (100sht)"
94,94,10-02-2020 16:19:41,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4602,293346,113620,10011,4600.0,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
95,95,10-02-2020 16:19:41,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7503,478281,185250,16322,7500.0,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
96,96,10-02-2020 16:19:41,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8503,542052,209950,18498,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
97,97,10-02-2020 16:19:41,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0182,12754,4940,435,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
98,98,10-02-2020 16:19:41,Tbilisi,8528108b62,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0182,12754,4940,435,200.0,,,,,,,,,,,,Trebuetsja Kur'er
99,99,10-02-2020 16:19:41,Tbilisi,16dfc5477e,Требуется сотрудник,True,1,нет,Тбилиси,1 гр,0.02,12754,4940,435,200.0,,,,,,,,,,,,Trebuetsja sotrudnik
100,100,10-02-2020 16:20:07,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.02,12754,4940,435,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
101,101,10-02-2020 16:20:07,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.025,15943,6175,544,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
102,102,10-02-2020 16:20:07,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5142,956562,370500,32643,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
