,time_stamp,region,sell_code,sell_name,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Тбилиси,Varketili,Nadzaladevi,Gldani,Old Tbilisi (Старый город),Tbilisis Zgva,Vazisubani,Дигоми,Авлобари,€,Zahesi,Батуми,Центр,Кутаиси,desc_en
26,25-04-2020 00:22:50,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,4,Тбилиси,5 гр,0.0715,41094,15043,1358,550,,,True,,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
27,25-04-2020 00:22:51,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,,нет,8,Тбилиси,5 гр,0.0221,12702,4650,420,170,,,True,,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
28,25-04-2020 00:22:51,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,9,Тбилиси,5 гр,0.0259,14869,5443,491,199,,,True,,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
29,25-04-2020 00:22:51,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0259,14869,5443,491,199,,,True,,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
30,25-04-2020 00:22:51,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0259,16363,5990,541,219,,,True,,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
31,25-04-2020 00:22:51,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,7,Тбилиси,5 гр,0.0259,14869,5443,491,199,,,True,,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
32,25-04-2020 00:22:51,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.3006,190000,87429,6241,,,,True,,,,,,,,,,,,,,reagent 25i nbome. 5gr
33,25-04-2020 00:22:51,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3546,224149,82050,7406,3000,,,,,,,True,,,,True,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
34,25-04-2020 00:23:33,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,10,Тбилиси,5 гр,0.1141,64928,23767,2145,869,,,True,,,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
35,25-04-2020 00:23:33,Tbilisi,9VLN,AlienShop,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,,нет,5,Тбилиси,5 гр,0.0248,14121,5169,467,189,,,True,,,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
36,25-04-2020 00:23:33,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.025,14196,5197,469,190,,,True,,,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
37,25-04-2020 00:23:33,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0642,36536,13374,1207,489,,,True,,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
38,25-04-2020 00:23:33,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,5,Тбилиси,5 гр,0.0248,14121,5169,467,189,,,True,,,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
39,25-04-2020 00:23:33,Tbilisi,A3I9,Joookerrr,"""Джокер экспрес"" марки нбооом 10 шт",True,нет,33,Тбилиси,10 гр,0.014,8025,2950,266,,True,True,True,True,True,True,True,True,True,True,True,100,True,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
40,25-04-2020 00:23:33,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.117,67245,24615,2222,900,,,True,,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
41,25-04-2020 00:23:33,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,3,Тбилиси,10 гр,0.091,52301,19145,1728,700,,,True,,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
42,25-04-2020 00:23:33,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0416,23909,8752,790,320,,,True,,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
43,25-04-2020 00:23:33,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,4,Тбилиси,10 гр,0.104,59773,21880,1975,800,,,True,,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
44,25-04-2020 00:23:33,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2893,166244,60854,5493,2225,,,True,,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
45,25-04-2020 00:23:33,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,7,Тбилиси,10 гр,0.1903,108264,39630,3577,1449,,,True,,,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
46,25-04-2020 00:23:33,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0485,27570,10092,911,369,,,True,,,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
47,25-04-2020 00:23:33,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,1,Тбилиси,10 гр,0.0393,22340,8178,738,299,,,True,,,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
48,25-04-2020 00:23:33,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0787,44755,16383,1479,599,,,True,,,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
49,25-04-2020 00:23:33,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.143,82188,30085,2716,1100,,,True,,,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
50,25-04-2020 00:23:33,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.312,179319,65640,5925,2400,,,True,,,,,,,,,,,,,,100 gr marijuana buds
51,25-04-2020 00:23:33,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.26,149433,54700,4937,2000,,,True,,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
52,25-04-2020 00:23:33,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.325,186791,68375,6172,2500,,,True,,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
53,25-04-2020 00:23:33,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.7671,440826,161365,14565,5900,,,True,,,,,,,,,,,,,,180 gr marihuana persoalno
54,25-04-2020 00:23:33,Tbilisi,8B31,GEOWEEDSHOP,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,1,Тбилиси,200 гр,0.4095,235356,86153,7776,3150,,,True,,,,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
55,25-04-2020 00:23:33,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.5981,343695,125810,11356,4600,,,True,,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
56,25-04-2020 00:23:33,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.9751,560372,205125,18515,7500,,,True,,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
57,25-04-2020 00:23:33,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.1051,635089,232475,20984,8500,,,True,,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
58,25-04-2020 00:23:33,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0236,14943,5470,494,200,,,True,,,,,,,,,,,,,,KURYER..500RUB.+BONUS
59,25-04-2020 00:23:33,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.026,14943,5470,494,200,,,True,,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
60,25-04-2020 00:23:33,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0325,18679,6838,617,250,,,True,,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
61,25-04-2020 00:23:33,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Тбилиси,25 гр,0.026,14943,5470,494,200,,,True,,,,,,,,,,,,,,Rabota na marki (kur'er)
62,25-04-2020 00:23:33,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.9679,1120745,410250,37031,15000,,,True,,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
63,25-04-2020 00:24:50,Batumi,A3I9,Joookerrr,Батуми н-бооом 1 штука,,1,нет,Батуми,1 гр,0.0023,1445,531,48,,,,,,,,,,,,,18,,True,,,Batumi n-booom 1 shtuka
64,25-04-2020 00:24:50,Batumi,A3I9,Joookerrr,Батуми н-бооом 2 штуки,,3,нет,Батуми,2 гр,0.0045,2568,944,85,,,,,,,,,,,,,32,,True,,,Batumi n-booom 2 shtuki
65,25-04-2020 00:24:50,Batumi,A3I9,Joookerrr,Батуми н-бооом 4 штуки,,3,нет,Батуми,4 гр,0.007,4414,1623,147,,,,,,,,,,,,,55,,True,True,,Batumi n-booom 4 shtuki
66,25-04-2020 00:24:50,Batumi,A3I9,Joookerrr,Батуми н-бооом 5 штук,,2,нет,Батуми,5 гр,0.0076,4815,1770,160,,,,,,,,,,,,,60,,True,,,Batumi n-booom 5 shtuk
67,25-04-2020 00:24:50,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2861,164376,60170,5431,2200,,,,,,,,,,,,,,True,,,[100g] SPAIN HASH
68,25-04-2020 00:24:50,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0118,7472,2735,247,100,,,,,,,,,,,,,,True,,,kur'er v Batumi
69,25-04-2020 00:24:50,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0296,18679,6838,617,250,,,,,,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
70,25-04-2020 00:24:50,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0296,18679,6838,617,250,,,,,,,,,,,,,,True,,,Ischu kur'era v Gruzii!
71,25-04-2020 00:24:50,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.9682,1120745,410250,37031,15000,,,,,,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
72,25-04-2020 00:24:50,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.065,37358,13675,1234,500,,,,,,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
73,25-04-2020 00:26:29,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0243,14121,5169,467,189,,,,,,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
74,25-04-2020 00:26:29,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0577,33174,12143,1096,444,,,,,,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
75,25-04-2020 00:26:29,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0403,23162,8479,765,310,,,,,,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
76,25-04-2020 00:26:29,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.026,14943,5470,494,200,,,,,,,,,,,,,,,,True,Rabota na marki (kur'er)
