,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,€,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
22,22-07-2020 03:33:29,Tbilisi,9R7SU,ClownBaroN,Red Cherry 4.2G 27%THC *VHQ* FROM EUROPE,,1,нет,Тбилиси,4.2 гр,0.0208,14193,5600,478,200,True,,,,,,,,,,Red Cherry 4.2G 27%THC *VHQ* FROM EUROPE
23,22-07-2020 03:33:29,Tbilisi,03F3,geoshop,5 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,5 гр,0.0271,18451,7280,621,260,True,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
24,22-07-2020 03:33:29,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,1,нет,Тбилиси,5 гр,0.0292,19871,7840,669,280,True,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
25,22-07-2020 03:33:29,Tbilisi,03F3,geoshop,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,5 гр,0.0281,19161,7560,645,270,True,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
26,22-07-2020 03:33:29,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0185,13839,5460,466,195,True,,,,,,,,,,5g. marihuana shishki Critical
27,22-07-2020 03:33:29,Tbilisi,9VLN,AlienShop,🚲🎉🚲 6 Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,True,1,нет,Тбилиси,6 гр,0.0315,21290,8400,716,300,,,,,,,,,,,🚲🎉🚲 6 Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
28,22-07-2020 03:33:29,Tbilisi,3TGJ9,Elegant,12g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0312,23419,9240,788,330,True,,,,,,,,,,12g. marihuana shishki Critical
29,22-07-2020 03:33:29,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 20gramm special price,,1,нет,Тбилиси,20 гр,0.0549,41161,16240,1385,580,True,,,,,,,,,,Northern Lights Regular [budsonly] 20gramm special price
30,22-07-2020 03:33:29,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (25шт)",,1,нет,Тбилиси,25 гр,0.017,12774,5040,430,180,True,,,,,,,,,,"marki 25i-nbome 2,5mg (25sht)"
31,22-07-2020 03:33:29,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2101,141934,56000,4776,2000,True,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
32,22-07-2020 03:33:29,Tbilisi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,4,Тбилиси,1 гр,0.0373,25187,9905,848,,True,,310,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
33,22-07-2020 03:33:29,Tbilisi,R4156,bestchoice,марихуана пудра высокое качество 4грам,,нет,10,Тбилиси,4 гр,0.0062,4613,1820,155,65,True,,,,,,,,,,marihuana pudra vysokoe kachestvo 4gram
34,22-07-2020 03:33:29,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.026,17742,7000,597,250,True,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
35,22-07-2020 03:34:49,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,2,Тбилиси,5 гр,0.0573,39032,15400,1313,550,True,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
36,22-07-2020 03:34:49,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,1,6,Тбилиси,5 гр,0.0281,19161,7560,645,270,True,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
37,22-07-2020 03:34:49,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0286,19516,7700,657,275,True,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
38,22-07-2020 03:34:49,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,1,4,Тбилиси,5 гр,0.025,17032,6720,573,240,True,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
39,22-07-2020 03:34:49,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,6,Тбилиси,5 гр,0.0292,19871,7840,669,280,True,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
40,22-07-2020 03:34:49,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0281,19161,7560,645,270,True,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
41,22-07-2020 03:34:49,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0207,15542,6132,523,219,True,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
42,22-07-2020 03:34:49,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,7,Тбилиси,5 гр,0.0245,16677,6580,561,235,True,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
43,22-07-2020 03:34:49,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0281,19161,7560,645,270,True,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
44,22-07-2020 03:34:49,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2534,190000,87429,6398,,True,,,,,,,,,,reagent 25i nbome. 5gr
45,22-07-2020 03:34:49,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.284,212900,84000,7164,3000,,,,True,True,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
46,22-07-2020 03:34:49,Tbilisi,9CK,Hyperboy,🍬🍬🍬Ex Masserati Red 465 mg 5pc🍬🍬🍬,,нет,2,Тбилиси,5 гр,0.026,17742,7000,597,250,True,,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 5pc🍬🍬🍬
47,22-07-2020 03:34:49,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,2,Тбилиси,5 гр,0.0241,16250,6390,547,,True,,200,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
48,22-07-2020 03:34:49,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0937,63870,25200,2149,900,True,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
49,22-07-2020 03:34:49,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0573,39032,15400,1313,550,True,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
50,22-07-2020 03:34:49,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0729,49677,19600,1672,700,True,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
51,22-07-2020 03:34:49,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0437,29806,11760,1003,420,True,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
52,22-07-2020 03:34:49,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0833,56773,22400,1910,800,True,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
53,22-07-2020 03:34:49,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,8,Тбилиси,10 гр,0.0437,29806,11760,1003,420,True,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
54,22-07-2020 03:34:49,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 10gram,,1,10,Тбилиси,10 гр,0.036,26967,10640,907,380,True,,,,,,,,,,Northern Lights Regular [budsonly] 10gram
55,22-07-2020 03:34:49,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2317,157901,62300,5313,2225,True,,,,,,,,,,Amfetamin [White] [Import] 10G
56,22-07-2020 03:34:49,Tbilisi,9CK,Hyperboy,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬,,нет,1,Тбилиси,10 гр,0.0427,29096,11480,979,410,True,,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬
57,22-07-2020 03:34:49,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Тбилиси,10 гр,0.0529,35750,14058,1203,,True,,440,,,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
58,22-07-2020 03:34:49,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0469,31687,12461,1066,,True,,390,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
