,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Varketili,Saburtalo,Nadzaladevi,Didube,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
37,37,12-07-2020 03:24:16,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,1,нет,Тбилиси,5 гр,0.0242,16383,6268,559,,,230.0,,,,,True,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
38,38,12-07-2020 03:24:16,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,2,нет,Тбилиси,10 гр,0.0459,32053,12263,1094,,True,450.0,,,,,,,,,,,Gashish Evro 10gr
39,39,12-07-2020 03:24:16,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",,2,нет,Тбилиси,10 гр,0.0091,6767,2589,231,,True,95.0,,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
40,40,12-07-2020 03:24:16,Tbilisi,7bd1a5deba,11+ GRAMM BEASTWEED NEW,,1,нет,Тбилиси,11 гр,0.0172,12821,4905,437,,True,180.0,,,,,,,,,,,11+ GRAMM BEASTWEED NEW
41,41,12-07-2020 03:24:16,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0478,35615,13625,1215,,True,500.0,,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
42,42,12-07-2020 03:24:16,Tbilisi,ae784bef73,Silver haze leaves листья 15гр sale,,8,нет,Тбилиси,15 гр,0.0068,4630,1771,158,,True,65.0,,,,,,,,,,,Silver haze leaves list'ja 15gr sale
43,43,12-07-2020 03:24:16,Tbilisi,7bd1a5deba,25 GGAMM NEW BEASTWEED,,1,нет,Тбилиси,25 гр,0.0349,25999,9946,887,,True,365.0,,,,,,,,,,,25 GGAMM NEW BEASTWEED
44,44,12-07-2020 03:24:16,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2121,142460,54500,4860,,True,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
45,45,12-07-2020 03:24:16,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,5,Тбилиси,1 гр,0.0371,24883,9517,850,310.0,True,,,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
46,46,12-07-2020 03:24:16,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gram,,нет,10,Тбилиси,3 гр,0.0143,10684,4088,365,,True,150.0,,,,,,,,,,,Northern Lights Regular [budsonly] 3gram
47,47,12-07-2020 03:24:16,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,2,Тбилиси,4 гр,0.042,28492,10900,972,,True,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
48,48,12-07-2020 03:24:16,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0263,17807,6813,608,,True,250.0,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
49,49,12-07-2020 03:24:16,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,4,Тбилиси,5 гр,0.0578,39176,14988,1337,,True,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
50,50,12-07-2020 03:24:16,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,2,6,Тбилиси,5 гр,0.0284,19232,7358,656,,True,270.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
51,51,12-07-2020 03:24:16,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,1,5,Тбилиси,5 гр,0.0294,19944,7630,680,,True,280.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
52,52,12-07-2020 03:24:16,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0289,19588,7494,668,,True,275.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
53,53,12-07-2020 03:24:16,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0252,17095,6540,583,,True,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
54,54,12-07-2020 03:24:16,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0294,19944,7630,680,,True,280.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
