,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Vake,Gldani,€,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
17,17,23-03-2020 10:06:38,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,1,нет,Тбилиси,1 гр,0.0268,13970,5030,458,179.0,,True,,,,,,,,,,Kokain KOLUMBIA 1g
18,18,23-03-2020 10:06:38,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1226,70240,25290,2303,900.0,True,,,,,,,,,,,Metadon 1gr
19,19,23-03-2020 10:06:38,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,7,нет,Тбилиси,2 гр,0.0143,8195,2951,269,105.0,True,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
20,20,23-03-2020 10:06:38,Tbilisi,4a91350669,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,6,нет,Тбилиси,2 гр,0.0135,7024,2529,230,90.0,True,,,,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
21,21,23-03-2020 10:06:38,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,,3,нет,Тбилиси,2 гр,0.0118,6166,2220,202,79.0,True,,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
22,22,23-03-2020 10:06:38,Tbilisi,64284550d9,2G ---> ONLY BUDS,True,1,нет,Тбилиси,2 гр,0.0091,4761,1714,156,61.0,,,,,,,,,,,,2G ---> ONLY BUDS
23,23,23-03-2020 10:06:38,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,3,нет,Тбилиси,2 гр,0.012,6166,2220,202,79.0,,,True,,,,,,,,,2g super Skunk top class buds. Indica
24,24,23-03-2020 10:06:38,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,,2,нет,Тбилиси,2 гр,0.0491,28096,10116,921,360.0,True,,,,,,,,,,,Cocaine Pure VHQ 2 g
25,25,23-03-2020 10:06:38,Tbilisi,ef3dc4de6c,Extasy GUCCI 2 шт. вес таблетки 450mg,,2,нет,Тбилиси,2 гр,0.0082,4292,1546,141,55.0,True,,,,,,,,,,,Extasy GUCCI 2 sht. ves tabletki 450mg
26,26,23-03-2020 10:06:38,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,,4,нет,Тбилиси,3 гр,0.0159,8195,2951,269,105.0,True,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
27,27,23-03-2020 10:06:38,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 3 штуки!!!,,10,нет,Тбилиси,3 гр,0.0065,3746,1349,123,48.0,True,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 3 shtuki!!!
28,28,23-03-2020 10:06:38,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,1,нет,Тбилиси,3 гр,0.015,7726,2782,253,99.0,True,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
29,29,23-03-2020 10:06:38,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,1,нет,Тбилиси,5 гр,0.0436,24974,8992,819,320.0,True,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
30,30,23-03-2020 10:06:38,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,1,нет,Тбилиси,5 гр,0.0445,23413,8430,768,300.0,True,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
31,31,23-03-2020 10:06:38,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,1,нет,Тбилиси,5 гр,0.0298,15531,5592,509,199.0,True,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
32,32,23-03-2020 10:06:38,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,5 гр,0.045,24405,8802,801,,True,,,290.0,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
33,33,23-03-2020 10:06:38,Tbilisi,f4d1c31614,5g MDMA (IMPORTED),,2,нет,Тбилиси,5 гр,0.0575,31218,11240,1024,400.0,True,,,,,,,,,,,5g MDMA (IMPORTED)
34,34,23-03-2020 10:07:18,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,5 гр,0.0451,24405,8802,801,,True,,,290.0,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
35,35,23-03-2020 10:07:18,Tbilisi,f4d1c31614,5g MDMA (IMPORTED),,2,нет,Тбилиси,5 гр,0.0577,31218,11240,1024,400.0,True,,,,,,,,,,,5g MDMA (IMPORTED)
36,36,23-03-2020 10:07:18,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,8,нет,Тбилиси,5 гр,0.0266,13658,4918,448,175.0,True,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
37,37,23-03-2020 10:07:18,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,8,нет,Тбилиси,5 гр,0.0089,5073,1827,166,65.0,True,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
38,38,23-03-2020 10:07:18,Tbilisi,be97026d1d,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,,2,нет,Тбилиси,5.5 гр,0.0488,25364,9133,832,325.0,,,,,True,,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
39,39,23-03-2020 10:07:18,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0548,28486,10257,934,365.0,,,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
40,40,23-03-2020 10:07:18,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0401,20838,7503,683,267.0,True,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
41,41,23-03-2020 10:07:18,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,6,нет,Тбилиси,10 гр,0.0135,7726,2782,253,99.0,True,,True,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
42,42,23-03-2020 10:07:18,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0577,31218,11240,1024,400.0,True,,,,,,,,,,,gashish evro 10g
43,43,23-03-2020 10:07:18,Tbilisi,be97026d1d,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,,1,нет,Тбилиси,11 гр,0.0954,49558,17844,1625,635.0,,,,,True,,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
44,44,23-03-2020 10:07:18,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2732,156089,56200,5118,2000.0,True,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
45,45,23-03-2020 10:07:18,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G - (SALE),,14,5,Тбилиси,0.27 гр,0.0379,19511,7025,640,250.0,True,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G - (SALE)
46,46,23-03-2020 10:07:18,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G,,нет,5,Тбилиси,0.35 гр,0.0455,23413,8430,768,300.0,True,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G
47,47,23-03-2020 10:07:18,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),,2,3,Тбилиси,1.1 гр,0.1138,58533,21075,1919,750.0,True,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
48,48,23-03-2020 10:07:18,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,2,Тбилиси,2 гр,0.0304,15609,5620,512,200.0,True,,,,,,,,,,,✨✨2gram. MDMA✨✨
49,49,23-03-2020 10:07:18,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0895,46046,16579,1510,590.0,True,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
50,50,23-03-2020 10:07:18,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0601,31218,11240,1024,400.0,True,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
51,51,23-03-2020 10:07:18,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,,нет,4,Тбилиси,5 гр,0.0272,15531,5592,509,199.0,True,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
52,52,23-03-2020 10:07:18,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0826,42924,15455,1408,550.0,True,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
53,53,23-03-2020 10:07:18,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,1,Тбилиси,5 гр,0.0299,15531,5592,509,199.0,True,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
54,54,23-03-2020 10:07:18,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,9,Тбилиси,5 гр,0.0299,15531,5592,509,199.0,True,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
55,55,23-03-2020 10:07:18,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,1,Тбилиси,5 гр,0.0299,15531,5592,509,199.0,True,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
56,56,23-03-2020 10:07:18,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,10,Тбилиси,5 гр,0.0299,15531,5592,509,199.0,True,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
57,57,23-03-2020 10:07:18,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",,нет,1,Тбилиси,5 гр,0.0299,15531,5592,509,199.0,True,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
58,58,23-03-2020 10:07:18,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,9,Тбилиси,5 гр,0.0299,15531,5592,509,199.0,True,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
59,59,23-03-2020 10:07:18,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0299,17092,6154,560,219.0,True,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
60,60,23-03-2020 10:07:18,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),,нет,5,Тбилиси,5 гр,0.0455,23413,8430,768,300.0,True,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
61,61,23-03-2020 10:07:18,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,7,Тбилиси,5 гр,0.0299,15531,5592,509,199.0,True,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
62,62,23-03-2020 10:07:18,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,15,Тбилиси,5 гр,0.0273,15609,5620,512,200.0,True,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
63,63,23-03-2020 10:07:18,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.3326,190000,87429,6224,,True,,,,,,,,,,,reagent 25i nbome. 5gr
64,64,23-03-2020 10:07:18,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.4098,234133,84300,7677,3000.0,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
65,65,23-03-2020 10:07:18,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,3,Тбилиси,5 гр,0.1304,67040,24138,2198,859.0,True,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
66,66,23-03-2020 10:08:23,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,,нет,2,Тбилиси,5 гр,0.0498,25677,9245,842,329.0,True,,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
67,67,23-03-2020 10:08:23,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,8,Тбилиси,5 гр,0.0273,14048,5058,461,180.0,True,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
68,68,23-03-2020 10:08:23,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1349,70240,25290,2303,900.0,True,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
69,69,23-03-2020 10:08:23,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.1049,54631,19670,1791,700.0,True,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
70,70,23-03-2020 10:08:23,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,6,Тбилиси,10 гр,0.048,24974,8992,819,320.0,True,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
71,71,23-03-2020 10:08:23,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,,нет,5,Тбилиси,10 гр,0.053,27316,9835,896,350.0,True,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
72,72,23-03-2020 10:08:23,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.1199,62435,22480,2047,800.0,True,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
73,73,23-03-2020 10:08:23,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.3335,173649,62523,5694,2225.0,True,,,,,,,,,,,Amfetamin [White] [Import] 10G
74,74,23-03-2020 10:08:23,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.2194,113086,40717,3708,1449.0,True,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
75,75,23-03-2020 10:08:23,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0559,28798,10369,944,369.0,True,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
76,76,23-03-2020 10:08:23,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,3,Тбилиси,10 гр,0.0453,23335,8402,765,299.0,True,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
77,77,23-03-2020 10:08:23,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0907,46749,16832,1533,599.0,True,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
78,78,23-03-2020 10:08:23,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,,нет,1,Тбилиси,50 гр,0.1635,93653,33720,3071,1200.0,True,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
79,79,23-03-2020 10:08:23,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2998,156089,56200,5118,2000.0,True,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
80,80,23-03-2020 10:08:23,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.3028,156089,56200,5118,2000.0,True,,,,,,,,,,,SUBOXIN - HQ - 100 G.
81,81,23-03-2020 10:08:23,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3748,195111,70250,6398,2500.0,True,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
82,82,23-03-2020 10:08:23,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.2271,117066,42150,3839,1500.0,True,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
83,83,23-03-2020 10:08:23,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6895,359004,129260,11772,4600.0,True,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
84,84,23-03-2020 10:08:23,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.1242,585332,210750,19193,7500.0,True,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
85,85,23-03-2020 10:08:23,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.2741,663377,238850,21752,8500.0,True,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
86,86,23-03-2020 10:08:23,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,1,нет,Тбилиси,1 гр,0.0273,15609,5620,512,200.0,True,,,,,,,,,,,KURYER..500RUB.+BONUS
87,87,23-03-2020 10:08:23,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",,1,нет,Тбилиси,1 гр,0.0273,15609,5620,512,200.0,True,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
88,88,23-03-2020 10:08:23,Tbilisi,54915c4374,Работа на марки (курьер),,1,нет,Тбилиси,10 гр,0.0204,11707,4215,384,150.0,True,,,,,,,,,,,Rabota na marki (kur'er)
89,89,23-03-2020 10:08:23,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.03,15609,5620,512,200.0,True,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
90,90,23-03-2020 10:08:23,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0375,19511,7025,640,250.0,True,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
91,91,23-03-2020 10:08:23,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.2689,1170665,421500,38387,15000.0,True,,,,,,,,,,,Vakansija optovogo kur'era na mef
92,92,23-03-2020 10:09:29,Batumi,99accec7c7,MEPHEDRONE 0.5 gr,,4,нет,Батуми,0.5 гр,0.0109,6244,2248,205,80.0,,,,,,,,,True,,,MEPHEDRONE 0.5 gr
93,93,23-03-2020 10:09:29,Batumi,99accec7c7,COCAINE 1 gr THE BEST COCO IN GEORGIA,,4,нет,Батуми,1 гр,0.0409,23413,8430,768,300.0,,,,,,,,,True,,,COCAINE 1 gr THE BEST COCO IN GEORGIA
94,94,23-03-2020 10:09:29,Batumi,c72111ac1a,NZT-52 limited 1 г мука,,19,нет,Батуми,1 гр,0.0259,14828,5339,486,190.0,,,,,,,,,,True,,NZT-52 limited 1 g muka
95,95,23-03-2020 10:09:29,Batumi,c72111ac1a,NZT-52 limited 2г мука,,9,нет,Батуми,2 гр,0.0463,26535,9554,870,340.0,,,,,,,,,,True,,NZT-52 limited 2g muka
96,96,23-03-2020 10:09:29,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3298,171697,61820,5630,2200.0,,,,,,,,,,True,,[100g] SPAIN HASH
97,97,23-03-2020 10:09:29,Batumi,f8a875c191,Метадон - (KRISTAL) - VHQ - BATUMI - 0.30 G,,2,3,Батуми,0.3 гр,0.0454,23413,8430,768,300.0,,,,,,,,,True,,,Metadon - (KRISTAL) - VHQ - BATUMI - 0.30 G
98,98,23-03-2020 10:09:29,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,14,Батуми,5 гр,0.0273,15609,5620,512,200.0,,,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
99,99,23-03-2020 10:09:29,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.3028,156089,56200,5118,2000.0,,,,,,,,,,True,,SUBOXIN - HQ - 100 G.
100,100,23-03-2020 10:09:29,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2271,117066,42150,3839,1500.0,,,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
101,101,23-03-2020 10:09:29,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0136,7804,2810,256,100.0,,,,,,,,,,True,,kur'er v Batumi
102,102,23-03-2020 10:09:29,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0341,19511,7025,640,250.0,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
103,103,23-03-2020 10:09:29,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0204,11707,4215,384,150.0,,,,,,,,,,True,,Rabota na marki (kur'er)
