,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Nadzaladevi,Old Tbilisi (Старый город),€,Дигоми,Didube,Vake,Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
37,37,15-07-2020 02:21:42,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,35,нет,Тбилиси,3 гр,0.0058,3912,1499,133,55.0,,,,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
38,38,15-07-2020 02:21:42,Tbilisi,7c395c455d,5 gr Amnesia Haze шишки импорт с европы тгк 28%,True,2,нет,Тбилиси,5 гр,0.0272,18493,7085,629,260.0,,,,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
39,39,15-07-2020 02:21:42,Tbilisi,7c395c455d,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,2,нет,Тбилиси,5 гр,0.0283,19204,7358,653,270.0,,,,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
40,40,15-07-2020 02:21:42,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,2,нет,Тбилиси,5 гр,0.0186,13870,5314,472,195.0,,,,,,,,,,,,,5g. marihuana shishki Critical
41,41,15-07-2020 02:21:42,Tbilisi,f374062dcd,Гашиш Твердый 5гр,True,2,нет,Тбилиси,5 гр,0.0181,13514,5178,460,190.0,,,,,,,,,,,,,Gashish Tverdyj 5gr
42,42,15-07-2020 02:21:42,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,5,нет,Тбилиси,5 гр,0.021,14226,5450,484,200.0,,,,,,,True,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
43,43,15-07-2020 02:21:42,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,2,нет,Тбилиси,10 гр,0.0457,32007,12263,1089,450.0,,,,,,,,,,,,,Gashish Evro 10gr
44,44,15-07-2020 02:21:42,Tbilisi,8528108b62,12g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0314,23472,8993,798,330.0,,,,,,,,,,,,,12g. marihuana shishki Critical
45,45,15-07-2020 02:21:42,Tbilisi,ae784bef73,Silver haze leaves листья 15гр sale,True,8,нет,Тбилиси,15 гр,0.0068,4623,1771,157,65.0,,,,,,,,,,,,,Silver haze leaves list'ja 15gr sale
46,46,15-07-2020 02:21:42,Tbilisi,9610a68a0a,GABAGAMA 40 SHTUK,True,1,нет,Тбилиси,40 гр,0.0052,3556,1363,121,50.0,,,,,,,,,,,,,GABAGAMA 40 SHTUK
47,47,15-07-2020 02:21:42,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2114,142255,54500,4839,2000.0,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
48,48,15-07-2020 02:21:42,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",True,нет,4,Тбилиси,1 гр,0.0371,24993,9598,850,,,,,310.0,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
49,49,15-07-2020 02:21:42,Tbilisi,ccc85b93d8,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 2G🍭🍭🍭,True,нет,7,Тбилиси,2 гр,0.023,15648,5995,532,220.0,,,,,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 2G🍭🍭🍭
50,50,15-07-2020 02:21:42,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gram,True,нет,10,Тбилиси,3 гр,0.0143,10669,4088,363,150.0,,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gram
51,51,15-07-2020 02:21:42,Tbilisi,f374062dcd,Кристаллы Синие мощные 3гр,True,нет,2,Тбилиси,3 гр,0.0628,46944,17985,1597,660.0,,,,,,,,,,,,,Kristally Sinie moschnye 3gr
52,52,15-07-2020 02:21:42,Tbilisi,7f1273da70,марихуана пудра высокое качество 4грам,True,нет,10,Тбилиси,4 гр,0.0062,4623,1771,157,65.0,,,,,,,,,,,,,marihuana pudra vysokoe kachestvo 4gram
53,53,15-07-2020 02:21:42,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0262,17782,6813,605,250.0,,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
54,54,15-07-2020 02:21:42,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,4,Тбилиси,5 гр,0.0576,39120,14988,1331,550.0,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
55,55,15-07-2020 02:21:42,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,2,6,Тбилиси,5 гр,0.0283,19204,7358,653,270.0,,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
56,56,15-07-2020 02:21:42,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,2,5,Тбилиси,5 гр,0.0293,19916,7630,677,280.0,,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
57,57,15-07-2020 02:21:42,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0288,19560,7494,665,275.0,,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
58,58,15-07-2020 02:21:42,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,1,4,Тбилиси,5 гр,0.0251,17071,6540,581,240.0,,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
59,59,15-07-2020 02:21:42,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,7,Тбилиси,5 гр,0.0293,19916,7630,677,280.0,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
60,60,15-07-2020 02:21:42,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0283,19204,7358,653,270.0,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
61,61,15-07-2020 02:21:42,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0209,15577,5968,530,219.0,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
62,62,15-07-2020 02:21:42,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0283,19204,7358,653,270.0,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
63,63,15-07-2020 02:21:42,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2544,190000,87429,6462,,,,,,,,,,,,,,reagent 25i nbome. 5gr
64,64,15-07-2020 02:21:42,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2857,213383,81750,7258,3000.0,,,True,,,,,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
65,65,15-07-2020 02:21:42,Tbilisi,ccc85b93d8,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 5G🍭🍭🍭,True,нет,5,Тбилиси,5 гр,0.0524,35564,13625,1210,500.0,,,,,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 5G🍭🍭🍭
66,66,15-07-2020 02:21:42,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,True,нет,3,Тбилиси,5 гр,0.024,16125,6192,549,,,,,200.0,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
67,67,15-07-2020 02:21:42,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0943,64015,24525,2177,900.0,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
68,68,15-07-2020 02:21:42,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0576,39120,14988,1331,550.0,,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
69,69,15-07-2020 02:21:42,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0733,49789,19075,1694,700.0,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
70,70,15-07-2020 02:22:18,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.044000000000000004,29874,11445,1016,420.0,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
71,71,15-07-2020 02:22:18,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0838,56902,21800,1936,800.0,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
72,72,15-07-2020 02:22:18,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2329,158259,60631,5383,2225.0,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
73,73,15-07-2020 02:22:18,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,True,нет,5,Тбилиси,10 гр,0.0527,35474,13622,1207,,,,,440.0,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
74,74,15-07-2020 02:22:18,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,11 гр,0.0467,31443,12074,1070,,,,,390.0,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
