,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Дигоми,Gldani,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Батуми,Центр,desc_en
65,23-07-2020 21:54:13,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Тбилиси,10 гр,0.0527,36163,14300,1210,440,True,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
66,23-07-2020 21:54:13,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0467,32054,12675,1072,390,True,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
67,23-07-2020 21:54:13,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.0606,46126,18298,1551,,True,650,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
68,23-07-2020 21:54:13,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.246,170311,67560,5725,,True,2400,,,,,,,,,100 gr marijuana buds
69,23-07-2020 21:54:13,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2562,177408,70375,5964,,True,2500,,,,,,,,,Marihuana [Shishki] [Gali] 100G
70,23-07-2020 21:55:40,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,,нет,2,Тбилиси,100 гр,0.0359,24837,9853,835,,,350,,,True,True,,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
71,23-07-2020 21:55:40,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6047,418682,166085,14074,,True,5900,,,,,,,,,180 gr marihuana persoalno
72,23-07-2020 21:55:40,Tbilisi,6UG,Good Enuff,500 шт. марки 25i nbome. готовый клад в Тбилиси.,True,нет,3,Тбилиси,500 гр,0.1025,70963,28150,2385,,,1000,,,,True,True,,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
73,23-07-2020 21:55:40,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8712,603186,239275,20276,,True,8500,,,,,,,,,10000sht marki 25i-nbome. predoplata
74,23-07-2020 21:55:40,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0186,14193,5630,477,,True,200,,,,,,,,,KURYER..500RUB.+BONUS
75,23-07-2020 21:55:40,Tbilisi,9R7SU,ClownBaroN,Работа курьер в Тбилиси 15 лари на клад толка марихуана,True,1,нет,Тбилиси,1 гр,0.0154,10644,4223,358,,,150,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
76,23-07-2020 21:55:40,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0256,17741,7038,596,,True,250,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
77,23-07-2020 21:55:40,Tbilisi,7U9YP,ChitosPizz,Курьер Фасовщик залог обязательно 400$ 5гр,,1,нет,Тбилиси,5 гр,0.0373,28385,11260,954,,True,400,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 400$ 5gr
78,23-07-2020 21:55:40,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0205,14193,5630,477,,True,200,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
79,23-07-2020 21:55:40,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0256,17741,7038,596,,True,250,,,,,,,,,Rabota na marki (kur'er)
80,23-07-2020 21:55:40,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,,нет,1,Тбилиси,5 гр,0.0512,35482,14075,1193,,True,500,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
81,23-07-2020 21:55:40,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5513,1064445,422250,35781,,True,15000,,,,,,,,,Vakansija optovogo kur'era na mef
82,23-07-2020 21:55:40,Tbilisi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0512,35482,14075,1193,,,500,,,True,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
83,23-07-2020 21:58:35,Batumi,GGVQZ,KARAVANos,Мелкие шишки (Indica) 2г,,6,нет,Батуми,2 гр,0.0043,2980,1182,100,,,42,,,,,,,True,,Melkie shishki (Indica) 2g
84,23-07-2020 21:58:35,Batumi,XUYA,MRweed,Gelato Grinded Moonrocks (измельченные мунроки) Эксклюзив. 5гр,,1,нет,Батуми,5 гр,0.0252,19160,7601,644,,,270,,,,,,,True,,Gelato Grinded Moonrocks (izmel'chennye munroki) Ekskljuziv. 5gr
85,23-07-2020 21:58:35,Batumi,GGVQZ,KARAVANos,Мощные шишки Y-Griega (Sativa) 5г,,1,нет,Батуми,5 гр,0.0338,23418,9290,787,,,330,,,,,,,True,,Moschnye shishki Y-Griega (Sativa) 5g
86,23-07-2020 21:58:35,Batumi,Z9UT,Rainbow,Super Critical 10G,,1,нет,Батуми,10 гр,0.0461,31933,12668,1073,,,450,,,,,,,,True,Super Critical 10G
87,23-07-2020 21:58:35,Batumi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0371,25479,10075,852,310,,,,,,,,,True,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
