,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Vake,Varketili,Didube,Gldani,Авлобари,Центр,Батуми,€,Кутаиси,desc_en
23,21-04-2020 07:22:02,Tbilisi,A3I9,Joookerrr,Н бооом 4 штуки (вазисубани),True,1,нет,Тбилиси,4 гр,0.0076,4107,1507,135,55,,,,,,,,,,,N booom 4 shtuki (vazisubani)
24,21-04-2020 07:22:02,Tbilisi,A3I9,Joookerrr,Н бооом 4 штуки (глдани),,4,нет,Тбилиси,4 гр,0.0076,4107,1507,135,55,,,,,True,,,,,,N booom 4 shtuki (gldani)
25,21-04-2020 07:22:02,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,2,нет,Тбилиси,5 гр,0.0278,14858,5453,488,199,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
26,21-04-2020 07:22:02,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0425,23893,8768,784,320,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
27,21-04-2020 07:22:02,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0411,22400,8220,735,300,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
28,21-04-2020 07:22:02,Tbilisi,BB6E,WEEDSH0P,5gr Stardawg Auto WEED BUDS,,3,нет,Тбилиси,5 гр,0.0234,12619,4631,414,169,,,True,,,,,,,,5gr Stardawg Auto WEED BUDS
29,21-04-2020 07:22:02,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!!,True,3,нет,Тбилиси,10 гр,0.0138,7467,2740,245,100,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!!
30,21-04-2020 07:22:02,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0531,29866,10960,980,400,,,,,,,,,,,gashish evro 10g
31,21-04-2020 07:22:02,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.1032,58015,21290,1904,777,,,,,,,,,,,Gashish Evro 20gr
32,21-04-2020 07:22:02,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2517,149331,54800,4901,2000,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
33,21-04-2020 07:22:38,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,10,Тбилиси,2 гр,0.0518,27552,10111,904,369,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
34,21-04-2020 07:22:38,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0828,44053,16166,1446,590,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
35,21-04-2020 07:22:38,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0556,29866,10960,980,400,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
36,21-04-2020 07:22:38,Tbilisi,JVZTQ,partyshop,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,3,Тбилиси,5 гр,0.0222,11947,4384,392,160,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
