,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
32,22-04-2020 01:52:20,Tbilisi,JVZTQ,partyshop,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,3,Тбилиси,5 гр,0.0221,12201,4384,397,160,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
33,22-04-2020 01:53:12,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0761,41941,15070,1365,550,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
34,22-04-2020 01:53:12,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.0235,12964,4658,422,170,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
35,22-04-2020 01:53:12,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0275,15175,5453,494,199,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
36,22-04-2020 01:53:12,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0275,15175,5453,494,199,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
37,22-04-2020 01:53:12,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0275,16700,6001,544,219,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
38,22-04-2020 01:53:12,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0275,15175,5453,494,199,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
39,22-04-2020 01:53:12,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3134,190000,87429,6167,,,,,,,,,,,reagent 25i nbome. 5gr
40,22-04-2020 01:53:12,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3773,228769,82200,7447,3000,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
41,22-04-2020 01:53:12,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,10,Тбилиси,5 гр,0.1214,66267,23811,2157,869,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
42,22-04-2020 01:53:12,Tbilisi,9VLN,AlienShop,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.0264,14412,5179,469,189,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
43,22-04-2020 01:53:12,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0266,14489,5206,472,190,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
44,22-04-2020 01:53:12,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0683,37289,13399,1214,489,,,,,,,,,,💘✨5g. MDMA ✨💘
45,22-04-2020 01:53:12,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0264,14412,5179,469,189,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
46,22-04-2020 01:53:12,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1245,68631,24660,2234,900,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
47,22-04-2020 01:53:12,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0968,53379,19180,1738,700,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
48,22-04-2020 01:53:12,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0443,24402,8768,794,320,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
49,22-04-2020 01:53:12,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.1107,61005,21920,1986,800,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
50,22-04-2020 01:53:12,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3078,169670,60965,5523,2225,,,,,,,,,,Amfetamin [White] [Import] 10G
51,22-04-2020 01:53:12,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.2025,110495,39703,3597,1449,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
52,22-04-2020 01:53:12,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0516,28139,10111,916,369,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
53,22-04-2020 01:53:12,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0418,22801,8193,742,299,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
54,22-04-2020 01:53:12,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),True,нет,1,Тбилиси,20 гр,0.056,30884,11097,1005,405,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
55,22-04-2020 01:53:12,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0837,45677,16413,1487,599,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
56,22-04-2020 01:53:12,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1522,83882,30140,2731,1100,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
57,22-04-2020 01:53:12,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.332,183015,65760,5958,2400,,,,,,,,,,100 gr marijuana buds
58,22-04-2020 01:53:12,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2767,152512,54800,4965,2000,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
59,22-04-2020 01:53:12,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2795,152512,54800,4965,2000,,,,,,,,,,SUBOXIN - HQ - 100 G.
60,22-04-2020 01:53:12,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3459,190641,68500,6206,2500,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
61,22-04-2020 01:53:12,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.8163,449912,161660,14646,5900,,,,,,,,,,180 gr marihuana persoalno
62,22-04-2020 01:53:12,Tbilisi,8B31,GEOWEEDSHOP,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,1,Тбилиси,200 гр,0.4358,240207,86310,7820,3150,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
63,22-04-2020 01:53:12,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6364,350779,126040,11419,4600,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
64,22-04-2020 01:53:12,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0376,571922,205500,18618,7500,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
65,22-04-2020 01:53:12,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.176,648178,232900,21100,8500,,,,,,,,,,10000sht marki 25i-nbome. predoplata
66,22-04-2020 01:53:12,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0252,15251,5480,496,200,,,,,,,,,,KURYER..500RUB.+BONUS
67,22-04-2020 01:53:12,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0277,15251,5480,496,200,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
68,22-04-2020 01:54:00,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0346,19064,6850,621,250,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
69,22-04-2020 01:54:00,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0277,15251,5480,496,200,,,,,,,,,,Rabota na marki (kur'er)
70,22-04-2020 01:54:00,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.0941,1143843,411000,37236,15000,,,,,,,,,,Vakansija optovogo kur'era na mef
71,22-04-2020 01:56:03,Batumi,A3I9,Joookerrr,Батуми н-бооом 1 штука,,3,нет,Батуми,1 гр,0.0024,1487,535,48,,,,,,,True,18,,,Batumi n-booom 1 shtuka
72,22-04-2020 01:56:03,Batumi,A3I9,Joookerrr,Батуми н-бооом 2 штуки,,7,нет,Батуми,2 гр,0.0048,2644,950,86,,,,,,,True,32,,,Batumi n-booom 2 shtuki
73,22-04-2020 01:56:03,Batumi,A3I9,Joookerrr,Батуми н-бооом 4 штуки,,5,нет,Батуми,4 гр,0.0075,4544,1634,148,,,,,,,True,55,True,,Batumi n-booom 4 shtuki
74,22-04-2020 01:56:03,Batumi,A3I9,Joookerrr,Батуми н-бооом 5 штук,,4,нет,Батуми,5 гр,0.0082,4957,1782,162,,,,,,,True,60,,,Batumi n-booom 5 shtuk
75,22-04-2020 01:56:03,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3034,167764,60280,5461,2200,,,,,,True,,,,[100g] SPAIN HASH
76,22-04-2020 01:56:03,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2786,152512,54800,4965,2000,,,,,,True,,,,SUBOXIN - HQ - 100 G.
77,22-04-2020 01:56:03,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0125,7626,2740,248,100,,,,,,True,,,,kur'er v Batumi
78,22-04-2020 01:56:03,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0313,19064,6850,621,250,,,,,,True,,,,Rabota kladmenom. Tol'ko shishki.
79,22-04-2020 01:56:03,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0313,19064,6850,621,250,,,,,,True,,,,Ischu kur'era v Gruzii!
80,22-04-2020 01:56:03,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0875,1143843,411000,37236,15000,,,,,,True,,,,Vakansija optovogo kur'era na mef
81,22-04-2020 01:56:03,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.069,38128,13700,1241,500,,,,,,True,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
82,22-04-2020 01:57:40,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0258,14412,5179,469,189,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
83,22-04-2020 01:57:40,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,2 гр,0.0612,33858,12166,1102,444,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
84,22-04-2020 01:57:40,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0428,23639,8494,770,310,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
85,22-04-2020 01:57:40,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0276,15251,5480,496,200,,,,,,,,,True,Rabota na marki (kur'er)
