,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
27,17-03-2020 03:13:55,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,5,нет,Тбилиси,2 гр,0.0056,2594,977,83,35,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
28,17-03-2020 03:13:55,Tbilisi,0WE,Khachapuri,3 gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,3 гр,0.0472,20687,7725,660,,,,250,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
29,17-03-2020 03:13:55,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,5,нет,Тбилиси,3 гр,0.0187,7783,2930,248,105,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
30,17-03-2020 03:13:55,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки,True,1,нет,Тбилиси,4 гр,0.0096,4448,1674,142,60,,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki
31,17-03-2020 03:13:55,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.0513,23720,8928,756,320,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
32,17-03-2020 03:13:55,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0524,22238,8370,709,300,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
33,17-03-2020 03:13:55,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0643,28134,10506,897,,,,340,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
34,17-03-2020 03:15:39,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,7,нет,Тбилиси,5 гр,0.0312,12972,4883,414,175,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
35,17-03-2020 03:15:39,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 5g BTC SALE 5%!!,,3,нет,Тбилиси,5 гр,0.1388,58337,21957,1860,787,,,,True,,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
36,17-03-2020 03:15:39,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,12,нет,Тбилиси,5 гр,0.0104,4818,1814,154,65,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
