,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Nadzaladevi,Varketili,Didube,Old Tbilisi (Старый город),Дигоми,Батуми,Центр,Кутаиси,desc_en
20,13-04-2020 17:01:56,Tbilisi,SF03,CRAZYFROG,2 gr Шишки “OG KUSH VHQ”,True,4,нет,Тбилиси,2 гр,0.0095,5073,1884,171,69,,,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
21,13-04-2020 17:01:56,Tbilisi,QUZIV,Hollyweed,2g super Skunk top class buds. Indica,,2,нет,Тбилиси,2 гр,0.0118,6250,2321,210,85,,True,,,,,,,,,,2g super Skunk top class buds. Indica
22,13-04-2020 17:01:56,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,2 гр,0.0097,5147,1911,173,70,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
23,13-04-2020 17:01:56,Tbilisi,BB6E,WEEDSH0P,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,True,4,нет,Тбилиси,2 гр,0.0131,6985,2594,235,95,,,,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
24,13-04-2020 17:01:56,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 2 G.,True,1,нет,Тбилиси,2 гр,0.1251,66172,24570,2228,900,,,,,,,,,,,,METADON - 2 G.
25,13-04-2020 17:01:56,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,True,1,нет,Тбилиси,2 гр,0.0045,2658,983,89,,,,33,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
26,13-04-2020 17:01:56,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,3,нет,Тбилиси,2 гр,0.0044,2573,956,87,35,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
27,13-04-2020 17:01:56,Tbilisi,P5MBO,ToppoT,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,4,нет,Тбилиси,2 гр,0.0117,6250,2321,210,85,,,,,,True,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
28,13-04-2020 17:01:56,Tbilisi,QUZIV,Hollyweed,3g superskunk top class buds. Indica,,1,нет,Тбилиси,3 гр,0.0169,8970,3331,302,122,,True,,,,,,,,,,3g superskunk top class buds. Indica
29,13-04-2020 17:01:56,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0146,7720,2867,260,105,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
