,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Saburtalo,€,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
93,12-03-2020 13:04:08,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.1863,107208,40005,3471,1500,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
94,12-03-2020 13:04:08,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5656,328771,122682,10645,4600,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
95,12-03-2020 13:04:09,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.9221,536040,200025,17356,7500,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
96,12-03-2020 13:04:09,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.045,607512,226695,19670,8500,,,,,,,,,,10000sht marki 25i-nbome. predoplata
97,12-03-2020 13:04:09,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0224,14294,5334,463,200,,,,,,,,,,KURYER..500RUB.+BONUS
98,12-03-2020 13:04:09,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0168,10721,4001,347,150,,,,,,,,,,Rabota na marki (kur'er)
99,12-03-2020 13:04:09,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0246,14294,5334,463,200,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
100,12-03-2020 13:04:09,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0307,17868,6668,579,250,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
101,12-03-2020 13:04:48,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.861,1072080,400050,34712,15000,,,,,,,,,,Vakansija optovogo kur'era na mef
102,12-03-2020 13:06:11,Batumi,72B,CHINATOWN,NZT-52 limited 1 г мука,,13,нет,Батуми,1 гр,0.0222,14294,5350,463,200,,,,,,,True,,,NZT-52 limited 1 g muka
103,12-03-2020 13:06:11,Batumi,CL7K,go420times,ORANGE PUNCH [1g],,3,нет,Батуми,1 гр,0.0073,4288,1605,139,60,,,,,,,True,,,ORANGE PUNCH [1g]
104,12-03-2020 13:06:11,Batumi,XHR,420Factory,Power Africa 1g,,2,нет,Батуми,1 гр,0.0056,3574,1338,116,50,,,,,,,True,,,Power Africa 1g
