,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Дигоми,Saburtalo,Vake,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
10,10,15-02-2020 08:52:23,Tbilisi,edfbad0151,Pineapple Express 0.5G pressed buds only (hydro),True,3,нет,Тбилиси,0.5 гр,0.0029,1904,739,66,30.0,,,,,,,,,,,Pineapple Express 0.5G pressed buds only (hydro)
11,11,15-02-2020 08:52:23,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.01,6916,2686,240,109.0,,,,,,,,,,,Pure COCAINE VHQ 0.5g
12,12,15-02-2020 08:52:23,Tbilisi,61df6a1c90,Метадон 0.6гр,True,4,нет,Тбилиси,0.6 гр,0.026000000000000002,19036,7392,660,300.0,,,,,,,,,,,Metadon 0.6gr
13,13,15-02-2020 08:52:23,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,8,нет,Тбилиси,0.8 гр,0.0114,7614,2957,264,120.0,,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
14,14,15-02-2020 08:52:23,Tbilisi,7c395c455d,1 gr mdma Кристаллы очен силни импорт с европи,True,9,нет,Тбилиси,1 гр,0.0114,7614,2957,264,120.0,,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
15,15,15-02-2020 08:52:23,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,True,1,нет,Тбилиси,1 гр,0.0048,3173,1232,110,50.0,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
16,16,15-02-2020 08:52:23,Tbilisi,21de5577be,1 gr. Blue Berry Kush 100% Natural/Indika/ Import,,1,нет,Тбилиси,1 гр,0.0043,2855,1109,99,45.0,True,,,,,,,,,,1 gr. Blue Berry Kush 100% Natural/Indika/ Import
17,17,15-02-2020 08:52:23,Tbilisi,366326d4d6,1g MDMA - !!!NEW!!! - Purity 93%,True,7,нет,Тбилиси,1 гр,0.0105,6916,2686,240,109.0,,,,,,,,,,,1g MDMA - !!!NEW!!! - Purity 93%
18,18,15-02-2020 08:52:23,Tbilisi,3e177bb968,1gr Green Poison Strong Hybrid VHQ Buds,,1,нет,Тбилиси,1 гр,0.0046,3046,1183,106,48.0,,True,,,,,,,,,1gr Green Poison Strong Hybrid VHQ Buds
19,19,15-02-2020 08:52:23,Tbilisi,366326d4d6,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,2,нет,Тбилиси,1 гр,0.0191,12564,4879,435,198.0,,,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
20,20,15-02-2020 08:52:23,Tbilisi,8ec76151d3,Apvp VHQ 1g 24/7,True,8,нет,Тбилиси,1 гр,0.0114,7614,2957,264,120.0,,,,,,,,,,,Apvp VHQ 1g 24/7
21,21,15-02-2020 08:52:23,Tbilisi,8219f5e7b8,"Cocaine, 1g",True,4,нет,Тбилиси,1 гр,0.0212,13960,5421,484,220.0,,,,,,,,,,,"Cocaine, 1g"
22,22,15-02-2020 08:52:23,Tbilisi,851e5b91a0,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 1G (BTC sale 10%)",,1,нет,Тбилиси,1 гр,0.0042,3109,1207,108,49.0,,,True,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 1G (BTC sale 10%)"
23,23,15-02-2020 08:52:23,Tbilisi,8219f5e7b8,Ketamine 1g,True,2,нет,Тбилиси,1 гр,0.0096,6345,2464,220,100.0,,,,,,,,,,,Ketamine 1g
24,24,15-02-2020 08:52:23,Tbilisi,366326d4d6,Ketamine 1g.,True,3,нет,Тбилиси,1 гр,0.0086,5647,2193,196,89.0,,,,,,,,,,,Ketamine 1g.
25,25,15-02-2020 08:52:23,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,2,нет,Тбилиси,1 гр,0.0433,31727,12320,1099,500.0,,,,,,,,,,,Metadon VHQ 1 24/7
26,26,15-02-2020 08:52:23,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,1,нет,Тбилиси,1 гр,0.0182,11993,4657,416,189.0,,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
27,27,15-02-2020 08:52:23,Tbilisi,c72111ac1a,NZT-52 mind storm limited 1г мука,True,9,нет,Тбилиси,1 гр,0.0113,8249,3203,286,130.0,,,,,,,,,,,NZT-52 mind storm limited 1g muka
28,28,15-02-2020 08:52:23,Tbilisi,edfbad0151,Pineapple Express 1G pressed buds(Hydro),True,1,нет,Тбилиси,1 гр,0.0046,3109,1207,108,49.0,,,,,,,,,,,Pineapple Express 1G pressed buds(Hydro)
29,29,15-02-2020 08:52:23,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,5,нет,Тбилиси,1 гр,0.0182,12627,4903,438,199.0,,,,,,,,,,,VHQ BEST Cocaine 1g.
30,30,15-02-2020 08:52:23,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,3,нет,Тбилиси,1 гр,0.0137,9518,3696,330,150.0,,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
31,31,15-02-2020 08:52:43,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,6,нет,Тбилиси,1 гр,0.0171,11358,4411,394,179.0,,,,True,,,,,,,Kokain KOLUMBIA 1g
32,32,15-02-2020 08:52:43,Tbilisi,e8a987a33c,"Метадон, 1gr",True,5,нет,Тбилиси,1 гр,0.0381,25381,9856,879,400.0,,,,,,,,,,,"Metadon, 1gr"
33,33,15-02-2020 08:52:43,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,True,4,нет,Тбилиси,1 гр,0.0105,6916,2686,240,109.0,,,,,,,,,,,✨ 1g. MDMA ✨
34,34,15-02-2020 08:52:43,Tbilisi,7c395c455d,3 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,3,нет,Тбилиси,1.2 гр,0.0114,7614,2957,264,120.0,,,,,,,,,,,3 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
35,35,15-02-2020 08:52:43,Tbilisi,2dbb5960b9,Methadone HQ in city 1.3g,True,2,нет,Тбилиси,1.3 гр,0.0525,34899,13552,1209,550.0,,,,,,,,,,,Methadone HQ in city 1.3g
36,36,15-02-2020 08:52:43,Tbilisi,366326d4d6,2 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!,True,8,нет,Тбилиси,2 гр,0.0076,5013,1947,174,79.0,,,,,,,,,,,2 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!
37,37,15-02-2020 08:52:43,Tbilisi,7ee4f68218,2 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,1,нет,Тбилиси,2 гр,0.0069,4814,1872,167,,,,,,70.0,,,,,,2 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
38,38,15-02-2020 08:52:43,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,8,нет,Тбилиси,2 гр,0.0076,5013,1947,174,79.0,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
39,39,15-02-2020 08:52:43,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,1,нет,Тбилиси,2 гр,0.0347,22843,8870,792,360.0,,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
40,40,15-02-2020 08:52:43,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,1,нет,Тбилиси,2 гр,0.0332,22526,8747,781,355.0,,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
41,41,15-02-2020 08:52:43,Tbilisi,ae784bef73,Gorilla Glue! 2G! NEW !,True,1,нет,Тбилиси,2 гр,0.0072,4759,1848,165,75.0,,,,,,,,,,,Gorilla Glue! 2G! NEW !
42,42,15-02-2020 08:52:43,Tbilisi,3c4662c591,KALI MIST 2G,,5,нет,Тбилиси,2 гр,0.0095,6345,2464,220,100.0,,,True,,,,,,,,KALI MIST 2G
43,43,15-02-2020 08:52:43,Tbilisi,8219f5e7b8,Ketamine 2 g,True,5,нет,Тбилиси,2 гр,0.0173,11422,4435,396,180.0,,,,,,,,,,,Ketamine 2 g
44,44,15-02-2020 08:52:43,Tbilisi,8219f5e7b8,"LSD - 250 ug, 2 pieces",True,2,нет,Тбилиси,2 гр,0.0067,4442,1725,154,70.0,,,,,,,,,,,"LSD - 250 ug, 2 pieces"
45,45,15-02-2020 08:52:43,Tbilisi,c72111ac1a,NZT-52 mind storm limited 2г мука,True,8,нет,Тбилиси,2 гр,0.0199,14594,5667,506,230.0,,,,,,,,,,,NZT-52 mind storm limited 2g muka
46,46,15-02-2020 08:52:43,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,2,нет,Тбилиси,2 гр,0.0338,24747,9610,857,390.0,,,,,,,,,,,VHQ BEST Cocaine 2g.
47,47,15-02-2020 08:52:43,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,5,нет,Тбилиси,2 гр,0.0333,22145,8599,767,349.0,,,,True,,,,,,,Kokain KOLUMBIA 2g
48,48,15-02-2020 08:52:43,Tbilisi,366326d4d6,3 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!,True,4,нет,Тбилиси,3 гр,0.0105,6916,2686,240,109.0,,,,,,,,,,,3 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!
49,49,15-02-2020 08:52:43,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,6,нет,Тбилиси,3 гр,0.0101,6663,2587,231,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
50,50,15-02-2020 08:52:43,Tbilisi,c72111ac1a,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.0286,20940,8131,726,330.0,,,,,,,,,,,NZT-52 mind storm limited 3g muka
51,51,15-02-2020 08:52:43,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,1,нет,Тбилиси,3 гр,0.0095,6282,2439,218,99.0,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
52,52,15-02-2020 08:52:43,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,5,нет,Тбилиси,5 гр,0.0153,10089,3918,350,159.0,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
53,53,15-02-2020 08:52:43,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.0149,9835,3819,341,155.0,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
54,54,15-02-2020 08:52:43,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,5,нет,Тбилиси,5 гр,0.0169,11104,4312,385,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
55,55,15-02-2020 08:52:43,Tbilisi,d04eeb6525,5шт Ecstazy 280мг MDMA (Gray Duracell),True,1,нет,Тбилиси,5 гр,0.0142,9518,3696,330,150.0,,,,,,,,,,,5sht Ecstazy 280mg MDMA (Gray Duracell)
56,56,15-02-2020 08:52:43,Tbilisi,0fa6c5b020,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,2,нет,Тбилиси,5 гр,0.0147,10787,4189,374,170.0,,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
57,57,15-02-2020 08:52:43,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,3,нет,Тбилиси,5 гр,0.0153,10089,3918,350,159.0,,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
58,58,15-02-2020 08:52:43,Tbilisi,366326d4d6,NEW !!! 5G White Widow !!! NEW,True,3,нет,Тбилиси,5 гр,0.0148,9772,3795,339,154.0,,,,,,,,,,,NEW !!! 5G White Widow !!! NEW
59,59,15-02-2020 08:52:43,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,5 гр,0.0056,4124,1602,143,65.0,,,,,,True,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
60,60,15-02-2020 08:52:43,Tbilisi,c225d2f67d,гашиш евро 5г,True,2,нет,Тбилиси,5 гр,0.0192,13325,5174,462,210.0,,,,,,,,,,,gashish evro 5g
61,61,15-02-2020 08:52:43,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0366,25381,9856,879,400.0,,,,,,,,,,,gashish evro 10g
62,62,15-02-2020 08:52:43,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,20,нет,Тбилиси,10 гр,0.0087,6345,2464,220,100.0,,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
63,63,15-02-2020 08:52:43,Tbilisi,84c8f0bee0,SALE 50% шишки 11гр. (наркуш феминиз),True,2,нет,Тбилиси,11 гр,0.0132,8757,3400,303,138.0,,,,,,,,,,,SALE 50% shishki 11gr. (narkush feminiz)
64,64,15-02-2020 08:52:43,Tbilisi,436325081c,weed leaves 13gr +,True,2,нет,Тбилиси,13 гр,0.005,3680,1429,128,58.0,,,,,,,,,,,weed leaves 13gr +
65,65,15-02-2020 08:52:43,Tbilisi,436325081c,georgian weed 15 gr salee !!!,True,1,нет,Тбилиси,15 гр,0.0145,10597,4115,367,167.0,,,,,,,,,,,georgian weed 15 gr salee !!!
66,66,15-02-2020 08:52:43,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0711,49303,19145,1708,777.0,,,,,,,,,,,Gashish Evro 20gr
67,67,15-02-2020 08:53:12,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,3,5,Тбилиси,0.27 гр,0.0219,14404,5593,499,227.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
68,68,15-02-2020 08:53:12,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,3,5,Тбилиси,0.35 гр,0.0288,18973,7367,657,299.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
69,69,15-02-2020 08:53:12,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0578,38072,14784,1319,600.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
70,70,15-02-2020 08:53:12,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.0381,25381,9856,879,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
71,71,15-02-2020 08:53:12,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0229,15229,5914,528,240.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
72,72,15-02-2020 08:53:12,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0238,15863,6160,550,250.0,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
73,73,15-02-2020 08:53:12,Tbilisi,ce030318fd,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.13,95180,36960,3298,1500.0,,,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
74,74,15-02-2020 08:53:12,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0238,15863,6160,550,250.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
75,75,15-02-2020 08:53:12,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0238,15863,6160,550,250.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
76,76,15-02-2020 08:53:12,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,3,Тбилиси,5 гр,0.019,12627,4903,438,199.0,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
77,77,15-02-2020 08:53:12,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0238,15863,6160,550,250.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
78,78,15-02-2020 08:53:12,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.019,13896,5396,482,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
79,79,15-02-2020 08:53:12,Tbilisi,851e5b91a0,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,5 гр,0.0181,13262,5150,460,209.0,,,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
80,80,15-02-2020 08:53:12,Tbilisi,851e5b91a0,"NEW! O.G. Kush - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,4,Тбилиси,5 гр,0.0181,13262,5150,460,209.0,,,,,,,,,,,"NEW! O.G. Kush - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
81,81,15-02-2020 08:53:12,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0238,15863,6160,550,250.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
82,82,15-02-2020 08:53:12,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,19,Тбилиси,5 гр,0.0173,12691,4928,440,200.0,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
83,83,15-02-2020 08:53:12,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.1912,140000,64421,4851,,,,,,,,,,,,reagent 25i nbome. 5gr
84,84,15-02-2020 08:53:12,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2599,190361,73920,6596,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
85,85,15-02-2020 08:53:12,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,8,Тбилиси,5 гр,0.0471,31029,12049,1075,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
86,86,15-02-2020 08:53:12,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0781,52000,23928,1802,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
87,87,15-02-2020 08:53:12,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.038,25318,9831,877,399.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
88,88,15-02-2020 08:53:12,Tbilisi,ce030318fd,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,4,Тбилиси,10 гр,0.1733,126907,49280,4397,2000.0,,,,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
89,89,15-02-2020 08:53:12,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0762,50763,19712,1759,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
90,90,15-02-2020 08:53:12,Tbilisi,851e5b91a0,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0346,25318,9831,877,399.0,,,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
91,91,15-02-2020 08:53:12,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2121,141184,54824,4892,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
92,92,15-02-2020 08:53:12,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,True,нет,10,Тбилиси,10 гр,0.0778,51271,19909,1776,808.0,,,,,,,,,,,💘✨10gram MDMA ✨💘
93,93,15-02-2020 08:53:12,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0288,18973,7367,657,299.0,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
94,94,15-02-2020 08:53:12,Tbilisi,c9a56b2b4a,15x Extasy Duracell 223mg MDMA.,True,нет,10,Тбилиси,15 гр,0.0433,28554,11088,989,450.0,,,,,,,,,,,15x Extasy Duracell 223mg MDMA.
95,95,15-02-2020 08:53:12,Tbilisi,ce030318fd,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,8,Тбилиси,20 гр,0.2859,209397,81312,7255,3300.0,,,,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
96,96,15-02-2020 08:53:12,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0549,38072,14784,1319,600.0,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
97,97,15-02-2020 08:53:12,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.10400000000000001,76144,29568,2638,1200.0,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
98,98,15-02-2020 08:53:12,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,50 гр,0.0823,57108,22176,1979,900.0,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
99,99,15-02-2020 08:53:48,Tbilisi,30f48d507d,Hybrid Skunk! 50 gr,True,нет,2,Тбилиси,50 гр,0.0906,60281,23408,2089,950.0,,,,,,,,,,,Hybrid Skunk! 50 gr
100,100,15-02-2020 08:53:48,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.1907,126907,49280,4397,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
101,101,15-02-2020 08:53:48,Tbilisi,30f48d507d,Hybrid Skunk! 100 gr,True,нет,1,Тбилиси,100 гр,0.1717,114216,44352,3957,1800.0,,,,,,,,,,,Hybrid Skunk! 100 gr
102,102,15-02-2020 08:53:48,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2384,158634,61600,5497,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
103,103,15-02-2020 08:53:48,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (100шт)",True,нет,2,Тбилиси,100 гр,0.0373,27285,10595,945,430.0,,,,,,,,,,,"marki 25i-nbome 2,5mg (100sht)"
104,104,15-02-2020 08:53:48,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4387,291887,113344,10114,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
105,105,15-02-2020 08:53:48,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7153,475902,184800,16490,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
