,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Varketili,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
22,22,09-06-2020 23:57:52,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0242,16482,6420,570,240.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
23,23,09-06-2020 23:57:52,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,7,Тбилиси,5 гр,0.0232,15795,6153,546,230.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
24,24,09-06-2020 23:57:52,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0242,16482,6420,570,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
25,25,09-06-2020 23:57:52,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,8,Тбилиси,5 гр,0.0242,16482,6420,570,240.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
26,26,09-06-2020 23:57:52,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0232,15795,6153,546,230.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
27,27,09-06-2020 23:57:52,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0201,15040,5858,520,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
28,28,09-06-2020 23:57:52,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,True,нет,2,Тбилиси,5 гр,0.0255,17169,6688,593,250.0,,,,,,,,,,,MARIXYANA - INDICA - 5 G.
29,29,09-06-2020 23:57:52,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0237,16139,6286,558,235.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
30,30,09-06-2020 23:57:52,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2539,190000,87429,6605,,,,,,,,,,,,reagent 25i nbome. 5gr
31,31,09-06-2020 23:57:52,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2753,206024,80250,7120,3000.0,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
32,32,09-06-2020 23:57:52,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.0978,65859,25653,2276,959.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
33,33,09-06-2020 23:57:53,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.0194,13048,5083,451,190.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
34,34,09-06-2020 23:58:42,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,10,Тбилиси,5 гр,0.0499,33582,13081,1161,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
35,35,09-06-2020 23:58:42,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0909,61807,24075,2136,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
36,36,09-06-2020 23:58:42,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0404,27470,10700,949,400.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
37,37,09-06-2020 23:58:42,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0707,48072,18725,1661,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
38,38,09-06-2020 23:58:42,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0424,28843,11235,997,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
39,39,09-06-2020 23:58:42,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0808,54940,21400,1899,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
40,40,09-06-2020 23:58:42,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,нет,1,Тбилиси,10 гр,0.027000000000000003,18336,7142,634,267.0,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
41,41,09-06-2020 23:58:42,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2247,152801,59519,5280,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
42,42,09-06-2020 23:58:42,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.159,107064,41703,3700,1559.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
43,43,09-06-2020 23:58:42,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,True,нет,5,Тбилиси,10 гр,0.0824,55489,21614,1918,808.0,,,,,,,,,,,💘✨10gram MDMA ✨💘
44,44,09-06-2020 23:58:42,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,9,Тбилиси,10 гр,0.0376,25341,9871,876,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
45,45,09-06-2020 23:58:42,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,4,Тбилиси,11 гр,0.0356,24036,9363,831,350.0,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
46,46,09-06-2020 23:58:42,Tbilisi,ef3dc4de6c,Extasy GUCCI 20шт. вес таблетки 450mg,True,нет,1,Тбилиси,20 гр,0.0515,35024,13643,1210,510.0,,,,,,,,,,,Extasy GUCCI 20sht. ves tabletki 450mg
47,47,09-06-2020 23:58:42,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,2,Тбилиси,20 гр,0.5101,343373,133750,11866,5000.0,,,,,,,,,,,METADON - 20 G.
48,48,09-06-2020 23:58:42,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,True,нет,3,Тбилиси,20 гр,0.1377,103012,40125,3560,1500.0,,,,,,,,,,,✨💘20g MDMA💘✨
49,49,09-06-2020 23:58:42,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0611,41136,16023,1422,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
50,50,09-06-2020 23:58:42,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,50 гр,0.1312,89208,34748,3083,1299.0,,,,,,,,,,,50 gr georgian weed. Package on magnet
51,51,09-06-2020 23:58:42,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,4,Тбилиси,100 гр,0.2524,171618,66848,5931,2499.0,,,,,,,,,,,100 gr georgian weed. Package on magnet
52,52,09-06-2020 23:58:42,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2424,164819,64200,5696,2400.0,,,,,,,,,,,100 gr marijuana buds
53,53,09-06-2020 23:58:42,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.20199999999999999,137349,53500,4746,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
54,54,09-06-2020 23:58:42,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2525,171686,66875,5933,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
55,55,09-06-2020 23:58:42,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5959,405180,157825,14002,5900.0,,,,,,,,,,,180 gr marihuana persoalno
56,56,09-06-2020 23:58:42,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,4,Тбилиси,200 гр,0.4332,291867,113688,10086,4250.0,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
57,57,09-06-2020 23:58:42,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4646,315903,123050,10917,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
58,58,09-06-2020 23:58:42,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7575,515059,200625,17799,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
59,59,09-06-2020 23:58:42,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8585,583733,227375,20172,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
60,60,09-06-2020 23:58:42,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0184,13735,5350,475,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
61,61,09-06-2020 23:58:42,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0202,13735,5350,475,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
62,62,09-06-2020 23:58:42,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5288,1030118,401250,35598,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
63,63,10-06-2020 00:00:23,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 5г,,нет,1,Батуми,5 гр,0.0227,15795,6153,546,230.0,,,,,,,True,,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 5g
64,64,10-06-2020 00:00:23,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,2,Батуми,10 гр,0.0415,28843,11235,997,420.0,,,,,,,True,,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
65,65,10-06-2020 00:00:23,Batumi,f8a875c191,METADON - 20 G.,,нет,2,Батуми,20 гр,0.5095,343373,133750,11866,5000.0,,,,,,,True,,,,METADON - 20 G.
66,66,10-06-2020 00:00:23,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.166,112990,51992,3928,,,,,,,,True,,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
67,67,10-06-2020 00:00:23,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2628,178900,82321,6219,,,,,,,,True,,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
68,68,10-06-2020 00:00:23,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0092,6867,2675,237,100.0,,,,,,,True,,,,kur'er v Batumi
69,69,10-06-2020 00:00:23,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0229,17169,6688,593,250.0,,,,,,,True,,,,Rabota kladmenom. Tol'ko shishki.
70,70,10-06-2020 00:00:23,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0229,17169,6688,593,250.0,,,,,,,True,,,,Ischu kur'era v Gruzii!
71,71,10-06-2020 00:00:23,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0202,13735,5350,475,200.0,,,,,,,True,,,,Kur'er Batumi na marihuanu
72,72,10-06-2020 00:00:23,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0284,19337,7588,671,,,,,,,,True,250.0,,,Rabota na marki (kur'er)
73,73,10-06-2020 00:00:23,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5271,1030118,401250,35598,15000.0,,,,,,,True,,,,Vakansija optovogo kur'era na mef
74,74,10-06-2020 00:00:23,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0504,34337,13375,1187,500.0,,,,,,,True,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
75,75,10-06-2020 00:01:39,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0284,19337,7588,671,,,,,,,,,250.0,,True,Rabota na marki (kur'er)
