,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Nadzaladevi,Saburtalo,Old Tbilisi (Старый город),Zahesi,Varketili,Авлобари,Батуми,Центр,desc_en
16,16,26-06-2020 19:03:34,Tbilisi,64284550d9,1G ---> Pineapple (BTC - Sale),,17,нет,Тбилиси,1 гр,0.0057,3802,1475,131,,True,55.0,,,,,,,,,,1G ---> Pineapple (BTC - Sale)
17,17,26-06-2020 19:03:34,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,7,нет,Тбилиси,1 гр,0.0062,4148,1609,143,,,60.0,True,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
18,18,26-06-2020 19:03:34,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,,6,нет,Тбилиси,1 гр,0.0062,4148,1609,143,,True,60.0,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
19,19,26-06-2020 19:03:34,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 1G On Iron Magnet,,1,нет,Тбилиси,1 гр,0.03,20047,7775,691,,,290.0,,,,True,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 1G On Iron Magnet
20,20,26-06-2020 19:03:34,Tbilisi,16a8841259,Skunk 1Г,,8,нет,Тбилиси,1 гр,0.0057,3802,1475,131,,True,55.0,,,,,,,,,,Skunk 1G
21,21,26-06-2020 19:03:34,Tbilisi,0cd3c52bb8,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,,1,нет,Тбилиси,1 гр,0.0052,3802,1475,131,,True,55.0,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
22,22,26-06-2020 19:03:34,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,2,нет,Тбилиси,2 гр,0.0113,7535,2922,260,,True,109.0,,,,,,,,,,2 G Hybrid Marijuana Buds
23,23,26-06-2020 19:03:34,Tbilisi,bb1791277e,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",,2,нет,Тбилиси,2 гр,0.0114,7604,2949,262,,,110.0,,,True,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
24,24,26-06-2020 19:03:34,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,,4,нет,Тбилиси,2 гр,0.0114,7604,2949,262,,,110.0,True,,True,,True,,,,,2 gr top buds white widow wishki THC 25% VHQ
25,25,26-06-2020 19:03:34,Tbilisi,69672fee0d,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,1,нет,Тбилиси,2 гр,0.0103,6913,2681,238,,,100.0,,,True,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
26,26,26-06-2020 19:03:34,Tbilisi,0dec0e1c48,2gr HYBRID buds,,5,нет,Тбилиси,2 гр,0.0091,6083,2359,210,,True,88.0,,,,,,,,,,2gr HYBRID buds
27,27,26-06-2020 19:03:34,Tbilisi,ebadfc162f,Bubba Kush 2G Super strong indica dominant weed 100%шишки!,True,1,нет,Тбилиси,2 гр,0.0109,7258,2815,250,,,105.0,,,,,,,,,,Bubba Kush 2G Super strong indica dominant weed 100%shishki!
28,28,26-06-2020 19:03:34,Tbilisi,16a8841259,листя+бошки в трихомах 2г,,2,нет,Тбилиси,2 гр,0.0047,3456,1341,119,,True,50.0,,,,,,,,,,listja+boshki v trihomah 2g
29,29,26-06-2020 19:03:34,Tbilisi,54915c4374,марки н-боом 2 шт.,,1,нет,Тбилиси,2 гр,0.0036,2420,938,83,,,35.0,,,True,,,,,,,marki n-boom 2 sht.
30,30,26-06-2020 19:03:34,Tbilisi,aeb8abccb9,🍁 2gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,2 гр,0.0088,5876,2279,203,,,85.0,,,True,,,,,,,🍁 2gr Hybrid Weed Indica Buds VHQ ❤
31,31,26-06-2020 19:03:34,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,28,нет,Тбилиси,3 гр,0.009000000000000001,6014,2332,207,,True,87.0,,,,,,True,,,,3 gr georgian weed. Package on magnet
32,32,26-06-2020 19:03:34,Tbilisi,7bd1a5deba,5 + GRAMM NEW BEASTWEED,,1,нет,Тбилиси,5 гр,0.0099,7258,2815,250,,True,105.0,,,,,,,,,,5 + GRAMM NEW BEASTWEED
33,33,26-06-2020 19:03:34,Tbilisi,8528108b62,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0226,16591,6434,572,,True,240.0,,,,,,,,,,5g. marihuana shishki Critical
34,34,26-06-2020 19:03:34,Tbilisi,e56bb6ca93,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,4,нет,Тбилиси,5 гр,0.0072,4770,1850,164,,True,69.0,,,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
35,35,26-06-2020 19:03:34,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,6,нет,Тбилиси,5 гр,0.0183,12097,4692,417,,True,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
36,36,26-06-2020 19:04:41,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,3,нет,Тбилиси,5 гр,0.0052,3802,1475,131,,True,55.0,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
37,37,26-06-2020 19:04:41,Tbilisi,54915c4374,марки н-боом 5шт.,,5,10,Тбилиси,5 гр,0.0067,4493,1743,155,,True,65.0,,,True,,,,,,,marki n-boom 5sht.
38,38,26-06-2020 19:04:41,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,9,нет,Тбилиси,10 гр,0.0246,16522,6408,569,,True,239.0,,,,,,,,,,10 gr georgian weed. Package on magnet
39,39,26-06-2020 19:04:41,Tbilisi,e56bb6ca93,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,24,нет,Тбилиси,10 гр,0.0134,8918,3458,307,,True,129.0,,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
40,40,26-06-2020 19:04:41,Tbilisi,7bd1a5deba,11+ GRAMM BEASTWEED NEW,,1,нет,Тбилиси,11 гр,0.0169,12443,4826,429,,True,180.0,,,,,,,,,,11+ GRAMM BEASTWEED NEW
41,41,26-06-2020 19:04:41,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0469,34564,13405,1191,,True,500.0,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
42,42,26-06-2020 19:04:41,Tbilisi,ae784bef73,Silver haze leaves листья 15гр,,8,нет,Тбилиси,15 гр,0.0093,6222,2413,214,,True,90.0,,,,,,,,,,Silver haze leaves list'ja 15gr
43,43,26-06-2020 19:04:41,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2081,138257,53620,4765,,True,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
44,44,26-06-2020 19:04:41,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,нет,3,Тбилиси,0.5 гр,0.0093,6222,2413,214,,True,90.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
45,45,26-06-2020 19:04:41,Tbilisi,54915c4374,"Extazzy ""Gucci"" VHQ (1 штука)",,нет,6,Тбилиси,1 гр,0.0046,3111,1206,107,,True,45.0,,,,,,,,,,"Extazzy ""Gucci"" VHQ (1 shtuka)"
46,46,26-06-2020 19:04:41,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (2гр)",,нет,9,Тбилиси,2 гр,0.0093,6222,2413,214,,True,90.0,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (2gr)"
47,47,26-06-2020 19:04:41,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,3,Тбилиси,2 гр,0.0384,25508,9893,879,,True,369.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
48,48,26-06-2020 19:04:41,Tbilisi,54915c4374,Комбо!!! MDMA 0.2 + марки н боом 2 шт. (2.2 гр),,нет,9,Тбилиси,2.2 гр,0.0087,5816,2261,201,75.0,True,,,,,,,,,,,Kombo!!! MDMA 0.2 + marki n boom 2 sht. (2.2 gr)
49,49,26-06-2020 19:04:41,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (3 грамма)",,нет,8,Тбилиси,3 гр,0.0124,8295,3217,286,,True,120.0,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
50,50,26-06-2020 19:04:41,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0603,40025,15523,1380,,True,579.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
51,51,26-06-2020 19:04:41,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,6,Тбилиси,4 гр,0.0412,27651,10724,953,,True,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
52,52,26-06-2020 19:04:41,Tbilisi,54915c4374,Combo!!! 2 Ecztazy and 2 N-BooM (4 штуки),,нет,10,Тбилиси,4 гр,0.0124,8295,3217,286,,True,120.0,,,,,,,,,,Combo!!! 2 Ecztazy and 2 N-BooM (4 shtuki)
53,53,26-06-2020 19:04:41,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0258,17282,6703,596,,True,250.0,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
54,54,26-06-2020 19:04:41,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0567,38021,14746,1310,,True,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
55,55,26-06-2020 19:04:41,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0278,18665,7239,643,,True,270.0,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
56,56,26-06-2020 19:04:41,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0289,19356,7507,667,,True,280.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
57,57,26-06-2020 19:04:41,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0284,19010,7373,655,,True,275.0,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
58,58,26-06-2020 19:04:41,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0247,16591,6434,572,,True,240.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
59,59,26-06-2020 19:04:41,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0289,19356,7507,667,,True,280.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
60,60,26-06-2020 19:04:41,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0278,18665,7239,643,,True,270.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
61,61,26-06-2020 19:04:41,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0205,15139,5871,522,,True,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
62,62,26-06-2020 19:04:41,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,9,Тбилиси,5 гр,0.018000000000000002,12097,4692,417,,True,175.0,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
63,63,26-06-2020 19:04:41,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0278,18665,7239,643,,True,270.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
64,64,26-06-2020 19:04:41,Tbilisi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Тбилиси,5 гр,0.1547,103693,40215,3574,,True,1500.0,,,,,,,,,,Gerojn (sirets) 5 gr
65,65,26-06-2020 19:04:41,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2576,190000,87429,6526,,True,,,,,,,,,,,reagent 25i nbome. 5gr
66,66,26-06-2020 19:04:41,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2812,207385,80430,7148,,,3000.0,,,,True,,,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
67,67,26-06-2020 19:04:41,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,7,Тбилиси,5 гр,0.0999,66294,25711,2285,,True,959.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
68,68,26-06-2020 19:04:41,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,9,Тбилиси,5 гр,0.0198,13134,5094,453,,True,190.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
69,69,26-06-2020 19:04:41,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,9,Тбилиси,5 гр,0.0509,33804,13110,1165,,True,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
70,70,26-06-2020 19:04:41,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0928,62216,24129,2144,,True,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
71,71,26-06-2020 19:05:44,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0568,38021,14746,1310,,True,550.0,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
72,72,26-06-2020 19:05:44,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0723,48390,18767,1668,,True,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
73,73,26-06-2020 19:05:44,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0434,29034,11260,1001,,True,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
74,74,26-06-2020 19:05:44,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0826,55303,21448,1906,,True,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
75,75,26-06-2020 19:05:44,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,10,Тбилиси,10 гр,0.0341,22812,8847,786,,True,330.0,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
76,76,26-06-2020 19:05:44,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2298,153811,59652,5302,,True,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
77,77,26-06-2020 19:05:44,Tbilisi,54915c4374,Марки н-боом 10 шт.,,нет,7,Тбилиси,10 гр,0.0103,6913,2681,238,,True,100.0,,,,,,,,,,Marki n-boom 10 sht.
78,78,26-06-2020 19:05:44,Tbilisi,54915c4374,Сирец (геройн) очень сильный 10 гр,,нет,2,Тбилиси,10 гр,0.2272,152082,58982,5242,,True,2200.0,,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 10 gr
79,79,26-06-2020 19:05:44,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.1626,107771,41797,3715,,True,1559.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
80,80,26-06-2020 19:05:44,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0823,54542,21153,1880,,True,789.0,,,,,,,,,,💘✨10gram MDMA ✨💘
81,81,26-06-2020 19:05:44,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,8,Тбилиси,10 гр,0.0385,25508,9893,879,,True,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
82,82,26-06-2020 19:05:44,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,1,Тбилиси,11 гр,0.0455,30241,11759,1044,390.0,True,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
83,83,26-06-2020 19:05:44,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1408,103693,40215,3574,,True,1500.0,,,,,,,,,,✨💘20g MDMA💘✨
84,84,26-06-2020 19:05:44,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0625,41408,16059,1427,,True,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
85,85,26-06-2020 19:05:44,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2478,165908,64344,5718,,True,2400.0,,,,,,,,,,100 gr marijuana buds
86,86,26-06-2020 19:05:44,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2065,138257,53620,4765,,True,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
87,87,26-06-2020 19:05:44,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2582,172821,67025,5957,,True,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
88,88,26-06-2020 19:05:44,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6093,407858,158179,14058,,True,5900.0,,,,,,,,,,180 gr marihuana persoalno
89,89,26-06-2020 19:05:44,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.475,317991,123326,10960,,True,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
90,90,26-06-2020 19:05:44,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7745,518463,201075,17870,,True,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
91,91,26-06-2020 19:05:44,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8777,587591,227885,20253,,True,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
92,92,26-06-2020 19:05:44,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0188,13826,5362,477,,True,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
93,93,26-06-2020 19:05:44,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0207,13826,5362,477,,True,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
94,94,26-06-2020 19:05:44,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0258,17282,6703,596,,True,250.0,,,,,,,,,,Rabota na marki (kur'er)
95,95,26-06-2020 19:05:44,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5630000000000002,1036926,402150,35741,,True,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
96,96,26-06-2020 19:08:31,Batumi,f8a875c191,METADON - 0.25 - SALE,,7,10,Батуми,0.25 гр,0.0259,17282,6703,596,,,250.0,,,,,,,,True,,METADON - 0.25 - SALE
97,97,26-06-2020 19:08:31,Batumi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Батуми,5 гр,0.1539,103693,40215,3574,,,1500.0,,,,,,,,True,,Gerojn (sirets) 5 gr
98,98,26-06-2020 19:08:31,Batumi,54915c4374,Сирец (геройн) очень сильный 10 гр,,нет,2,Батуми,10 гр,0.2257,152082,58982,5242,,,2200.0,,,,,,,,True,,Sirets (gerojn) ochen' sil'nyj 10 gr
99,99,26-06-2020 19:08:31,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1677,112990,51992,3881,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
100,100,26-06-2020 19:08:31,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2654,178900,82321,6144,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
101,101,26-06-2020 19:08:31,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0093,6913,2681,238,,,100.0,,,,,,,,True,,kur'er v Batumi
102,102,26-06-2020 19:08:31,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0233,17282,6703,596,,,250.0,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
