,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,Дигоми,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,€,Батуми,Кутаиси,desc_en
28,28,09-05-2020 00:47:21,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0382,29549,10844,981,400.0,,,,,,,,,,,,gashish evro 10g
29,29,09-05-2020 00:47:21,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0742,57399,21064,1906,777.0,,,,,,,,,,,,Gashish Evro 20gr
30,30,09-05-2020 00:47:21,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1808,147745,54220,4907,2000.0,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
31,31,09-05-2020 00:47:21,Tbilisi,e56bb6ca93,100 гр Марихуана шишки. ИНДИКА. оптовая Цена,,1,нет,Тбилиси,100 гр,0.16399999999999998,121816,44704,4046,1649.0,True,,,,,,,,,,,100 gr Marihuana shishki. INDIKA. optovaja Tsena
32,32,09-05-2020 00:47:21,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 гр!!!",True,нет,1,Тбилиси,0.7 гр,0.0104,7757,2847,258,105.0,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gr!!!"
33,33,09-05-2020 00:47:21,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,6,Тбилиси,1 гр,0.0159,11820,4338,393,160.0,,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
34,34,09-05-2020 00:47:21,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",True,нет,1,Тбилиси,1 гр,0.0134,9973,3660,331,135.0,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
35,35,09-05-2020 00:48:07,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,3,Тбилиси,2 гр,0.0211,15513,5693,515,210.0,,,,,,,,,,,,✨✨2gram. MDMA✨✨
36,36,09-05-2020 00:48:07,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,5,Тбилиси,2 гр,0.0371,27259,10004,905,369.0,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
37,37,09-05-2020 00:48:07,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,9,Тбилиси,3 гр,0.0582,42772,15697,1420,579.0,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
38,38,09-05-2020 00:48:07,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0398,29549,10844,981,400.0,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
39,39,09-05-2020 00:48:07,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0547,40630,14911,1349,550.0,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
40,40,09-05-2020 00:48:07,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0234,17360,6371,577,235.0,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
41,41,09-05-2020 00:48:07,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,7,Тбилиси,5 гр,0.0239,17729,6506,589,240.0,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
42,42,09-05-2020 00:48:07,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,5 гр,0.0229,16991,6235,564,230.0,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
43,43,09-05-2020 00:48:07,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0239,17729,6506,589,240.0,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
44,44,09-05-2020 00:48:07,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,5,Тбилиси,5 гр,0.0239,17729,6506,589,240.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
45,45,09-05-2020 00:48:07,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0239,17729,6506,589,240.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
46,46,09-05-2020 00:48:07,Tbilisi,bb1791277e,5gr Stardawg Auto WEED BUDS,True,нет,10,Тбилиси,5 гр,0.0239,17729,6506,589,240.0,,,,,,,,,,,,5gr Stardawg Auto WEED BUDS
47,47,09-05-2020 00:48:07,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0229,16991,6235,564,230.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
48,48,09-05-2020 00:48:07,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0198,16178,5937,537,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
49,49,09-05-2020 00:48:07,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0234,17360,6371,577,235.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
50,50,09-05-2020 00:48:07,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,1,Тбилиси,5 гр,0.0159,11820,4338,393,160.0,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
51,51,09-05-2020 00:48:07,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2326,190000,87429,6304,,,,,,,,,,,,,reagent 25i nbome. 5gr
52,52,09-05-2020 00:48:07,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2713,221618,81330,7360,3000.0,,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
53,53,09-05-2020 00:48:07,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.0963,70844,25998,2353,959.0,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
54,54,09-05-2020 00:48:07,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,3,Тбилиси,5 гр,0.019,13962,5124,464,189.0,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
55,55,09-05-2020 00:48:07,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0191,14036,5151,466,190.0,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
56,56,09-05-2020 00:48:07,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0491,36124,13257,1200,489.0,,,,,,,,,,,,💘✨5g. MDMA ✨💘
57,57,09-05-2020 00:48:07,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.019,13962,5124,464,189.0,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
58,58,09-05-2020 00:48:07,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 8 шт",True,нет,5,Тбилиси,8 гр,0.008,5910,2169,196,80.0,,,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 8 sht"
59,59,09-05-2020 00:48:07,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0895,66485,24399,2208,900.0,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
60,60,09-05-2020 00:48:07,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0398,29549,10844,981,400.0,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
61,61,09-05-2020 00:48:07,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0696,51711,18977,1717,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
62,62,09-05-2020 00:48:07,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0418,31026,11386,1030,420.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
63,63,09-05-2020 00:48:07,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,40,Тбилиси,10 гр,0.0099,7387,2711,245,100.0,,,,,,,,,,,,10G Hybrid Marijuana Leafs
64,64,09-05-2020 00:48:07,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.0796,59098,21688,1963,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
65,65,09-05-2020 00:48:07,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0288,21423,7862,711,290.0,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
66,66,09-05-2020 00:48:07,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2213,164366,60320,5459,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
67,67,09-05-2020 00:48:07,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1566,115167,42264,3825,1559.0,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
68,68,09-05-2020 00:48:07,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0371,27259,10004,905,369.0,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
69,69,09-05-2020 00:48:36,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5023,369363,135550,12267,5000.0,,,,,,,,,,,,METADON - 20 G.
70,70,09-05-2020 00:48:36,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0602,44250,16239,1470,599.0,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
71,71,09-05-2020 00:48:36,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1094,81260,29821,2699,1100.0,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
72,72,09-05-2020 00:48:36,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2387,177294,65064,5888,2400.0,,,,,,,,,,,,100 gr marijuana buds
73,73,09-05-2020 00:48:36,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.1989,147745,54220,4907,2000.0,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
74,74,09-05-2020 00:48:36,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2487,184681,67775,6133,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
75,75,09-05-2020 00:48:36,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5868,435848,159949,14474,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
76,76,09-05-2020 00:48:36,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4575,339814,124706,11285,4600.0,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
77,77,09-05-2020 00:48:36,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.746,554044,203325,18400,7500.0,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
78,78,09-05-2020 00:48:36,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8454,627916,230435,20853,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
79,79,09-05-2020 00:48:36,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0181,14775,5422,491,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
80,80,09-05-2020 00:48:36,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0199,14775,5422,491,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
81,81,09-05-2020 00:48:36,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0249,18468,6778,613,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
82,82,09-05-2020 00:48:36,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0199,14775,5422,491,200.0,,,,,,,,,,,,Rabota na marki (kur'er)
83,83,09-05-2020 00:48:36,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5055,1108088,406650,36800,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
84,84,09-05-2020 00:49:53,Batumi,c30e679930,BatumiBiz - Марихуана Бошки [1 gram],,1,нет,Батуми,1 гр,0.0024,1773,651,59,24.0,,,,,,,,True,,,,BatumiBiz - Marihuana Boshki [1 gram]
85,85,09-05-2020 00:49:53,Batumi,54915c4374,Батуми н-бооом 2 штуки,,1,нет,Батуми,2 гр,0.0036,2640,969,88,,,,,,,,,True,33.0,,,Batumi n-booom 2 shtuki
86,86,09-05-2020 00:49:53,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2188,162520,59642,5397,2200.0,,,,,,,,,,True,,[100g] SPAIN HASH
87,87,09-05-2020 00:49:53,Batumi,54915c4374,"""Джокер экспрес"" марки нбооом 8 шт",,нет,7,Батуми,8 гр,0.008,5910,2169,196,80.0,,,,,,,,,,True,,"""Dzhoker ekspres"" marki nbooom 8 sht"
88,88,09-05-2020 00:49:53,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1521,112990,51992,3749,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
89,89,09-05-2020 00:49:53,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2409,178900,82321,5936,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
90,90,09-05-2020 00:49:53,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.009000000000000001,7387,2711,245,100.0,,,,,,,,,,True,,kur'er v Batumi
91,91,09-05-2020 00:49:53,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0226,18468,6778,613,250.0,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
92,92,09-05-2020 00:49:53,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0226,18468,6778,613,250.0,,,,,,,,,,True,,Ischu kur'era v Gruzii!
93,93,09-05-2020 00:49:53,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5055,1108088,406650,36800,15000.0,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
94,94,09-05-2020 00:49:53,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0497,36936,13555,1227,500.0,,,,,,,,True,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
95,95,09-05-2020 00:51:27,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,2,нет,Кутаиси,1.5 гр,0.0184,13666,5015,454,185.0,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
96,96,09-05-2020 00:51:27,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,7,нет,Кутаиси,2 гр,0.0483,35828,13148,1190,485.0,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
97,97,09-05-2020 00:51:27,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,9,нет,Кутаиси,3 гр,0.0328,24378,8946,810,330.0,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
98,98,09-05-2020 00:51:27,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0199,14775,5422,491,200.0,,,,,,,,,,,True,Rabota na marki (kur'er)
