,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Saburtalo,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
11,11,25-04-2020 14:13:11,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,,6,нет,Тбилиси,10 гр,0.0271,15616,5716,515,209.0,,,True,,,,,,,10 gr marijuana buds. -indica-
12,12,25-04-2020 14:13:11,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 10g TOP VHQ,True,1,нет,Тбилиси,10 гр,0.0388,22415,8205,739,300.0,,,,,,,,,,AKA-47 ONLY BUDS 10g TOP VHQ
13,13,25-04-2020 14:13:11,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0497,29887,10940,985,400.0,,,,,,,,,,gashish evro 10g
14,14,25-04-2020 14:13:11,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,2,1,Тбилиси,20 гр,0.0524,30260,11077,998,405.0,,,True,,,,,,,20 gr Indica marijuana buds (hight quality)
15,15,25-04-2020 14:13:11,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0965,58055,21251,1914,777.0,,,,,,,,,,Gashish Evro 20gr
16,16,25-04-2020 14:13:11,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2353,149433,54700,4926,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
17,17,25-04-2020 14:13:11,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,9,Тбилиси,2 гр,0.0482,27570,10092,909,369.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
18,18,25-04-2020 14:13:11,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0771,44083,16137,1453,590.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
19,19,25-04-2020 14:13:11,Tbilisi,54915c4374,"""JoKer Express"" - Марки н боом 4 штуки!",True,нет,4,Тбилиси,4 гр,0.0083,4815,1770,159,,,,,60.0,,,,,,"""JoKer Express"" - Marki n boom 4 shtuki!"
20,20,25-04-2020 14:13:11,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0518,29887,10940,985,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
21,21,25-04-2020 14:13:11,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0712,41094,15043,1355,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
22,22,25-04-2020 14:13:11,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,7,Тбилиси,5 гр,0.022000000000000002,12702,4650,419,170.0,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
23,23,25-04-2020 14:13:11,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0258,14869,5443,490,199.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
24,24,25-04-2020 14:13:11,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0258,14869,5443,490,199.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
25,25,25-04-2020 14:13:11,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0258,16363,5990,539,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
26,26,25-04-2020 14:13:11,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0258,14869,5443,490,199.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
27,27,25-04-2020 14:13:11,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2992,190000,87429,6265,,,,,,,,,,,reagent 25i nbome. 5gr
28,28,25-04-2020 14:13:11,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.353,224149,82050,7389,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
29,29,25-04-2020 14:13:11,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,10,Тбилиси,5 гр,0.1136,64928,23767,2140,869.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
30,30,25-04-2020 14:13:11,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.0247,14121,5169,466,189.0,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
31,31,25-04-2020 14:13:11,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0248,14196,5197,468,190.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
32,32,25-04-2020 14:13:11,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0639,36536,13374,1204,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
33,33,25-04-2020 14:13:11,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0247,14121,5169,466,189.0,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
34,34,25-04-2020 14:13:39,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",True,нет,5,Тбилиси,10 гр,0.0167,9630,3540,318,,,,,120.0,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
35,35,25-04-2020 14:13:39,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1164,67245,24615,2217,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
36,36,25-04-2020 14:13:39,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0905,52301,19145,1724,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
37,37,25-04-2020 14:13:39,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0414,23909,8752,788,320.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
38,38,25-04-2020 14:13:39,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.1035,59773,21880,1970,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
39,39,25-04-2020 14:13:39,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2878,166244,60854,5480,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
40,40,25-04-2020 14:13:39,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.1893,108264,39630,3569,1449.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
41,41,25-04-2020 14:13:39,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0482,27570,10092,909,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
42,42,25-04-2020 14:13:39,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0391,22340,8178,736,299.0,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
43,43,25-04-2020 14:13:39,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0782,44755,16383,1475,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
44,44,25-04-2020 14:13:39,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1423,82188,30085,2709,1100.0,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
45,45,25-04-2020 14:13:39,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3104,179319,65640,5911,2400.0,,,,,,,,,,100 gr marijuana buds
46,46,25-04-2020 14:13:39,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2587,149433,54700,4926,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
47,47,25-04-2020 14:13:39,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3233,186791,68375,6158,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
48,48,25-04-2020 14:13:39,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.7631,440826,161365,14532,5900.0,,,,,,,,,,180 gr marihuana persoalno
49,49,25-04-2020 14:13:39,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,1,Тбилиси,200 гр,0.4074,235356,86153,7758,3150.0,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
50,50,25-04-2020 14:13:39,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5949,343695,125810,11330,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
51,51,25-04-2020 14:13:39,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.97,560372,205125,18473,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
52,52,25-04-2020 14:13:39,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.0993,635089,232475,20936,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
53,53,25-04-2020 14:13:39,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0235,14943,5470,493,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
54,54,25-04-2020 14:13:39,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0259,14943,5470,493,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
55,55,25-04-2020 14:13:39,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0323,18679,6838,616,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
56,56,25-04-2020 14:13:39,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0259,14943,5470,493,200.0,,,,,,,,,,Rabota na marki (kur'er)
57,57,25-04-2020 14:13:39,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.9577,1120745,410250,36945,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
58,58,25-04-2020 14:15:12,Batumi,54915c4374,Батуми н-бооом 1 штука,,1,нет,Батуми,1 гр,0.0023,1445,531,48,,,,,18.0,,,True,,,Batumi n-booom 1 shtuka
59,59,25-04-2020 14:15:12,Batumi,54915c4374,Батуми н-бооом 2 штуки,,3,нет,Батуми,2 гр,0.0045,2568,944,85,,,,,32.0,,,True,,,Batumi n-booom 2 shtuki
60,60,25-04-2020 14:15:12,Batumi,54915c4374,Батуми н-бооом 4 штуки,,1,нет,Батуми,4 гр,0.006999999999999999,4414,1623,146,,,,,55.0,,,True,,,Batumi n-booom 4 shtuki
61,61,25-04-2020 14:15:12,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2851,164376,60170,5419,2200.0,,,,,,,True,,,[100g] SPAIN HASH
62,62,25-04-2020 14:15:12,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0118,7472,2735,246,100.0,,,,,,,True,,,kur'er v Batumi
63,63,25-04-2020 14:15:12,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0295,18679,6838,616,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
64,64,25-04-2020 14:15:12,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0295,18679,6838,616,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
65,65,25-04-2020 14:15:12,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.9615,1120745,410250,36945,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
66,66,25-04-2020 14:15:12,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0648,37358,13675,1232,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
67,67,25-04-2020 14:16:46,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0242,14121,5169,466,189.0,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
68,68,25-04-2020 14:16:46,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0575,33174,12143,1094,444.0,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
69,69,25-04-2020 14:16:46,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0402,23162,8479,764,310.0,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
70,70,25-04-2020 14:16:46,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0259,14943,5470,493,200.0,,,,,,,,,True,Rabota na marki (kur'er)
