,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Vake,€,Saburtalo,Дигоми,Tbilisis Zgva,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
15,15,14-03-2020 20:08:15,Tbilisi,688dd1cbd1,2 Grm Mdma Pure Quality A +++,True,1,нет,Тбилиси,2 гр,0.0272,12442,4571,398,170.0,,,,,,,,,,,,,2 Grm Mdma Pure Quality A +++
16,16,14-03-2020 20:08:15,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,2,нет,Тбилиси,2 гр,0.0133,5782,2124,185,79.0,True,,,,,,,,,,,,2g super Skunk top class buds. Indica
17,17,14-03-2020 20:08:15,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,1,нет,Тбилиси,2 гр,0.0607,27738,10191,887,379.0,,,,,,,,,,,,,Kokain HQ 2g.
18,18,14-03-2020 20:08:15,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 2г.,,1,нет,Тбилиси,2 гр,0.015,6587,2420,211,90.0,,True,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 2g.
19,19,14-03-2020 20:08:15,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,3 гр,0.0448,20465,7488,654,,,,250.0,,,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
20,20,14-03-2020 20:08:15,Tbilisi,64284550d9,3G ---> Plan,,16,нет,Тбилиси,3 гр,0.0065,2854,1049,91,39.0,,,,True,,,,,,,,,3G ---> Plan
21,21,14-03-2020 20:08:15,Tbilisi,dd631c4acf,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,True,1,нет,Тбилиси,3 гр,0.0194,8417,3092,269,115.0,,,,,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
22,22,14-03-2020 20:08:15,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки,True,6,нет,Тбилиси,4 гр,0.0091,4391,1613,140,60.0,,,,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki
23,23,14-03-2020 20:08:15,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0496,21956,8067,702,300.0,,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
24,24,14-03-2020 20:08:15,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0645,29470,10782,941,,,,360.0,,,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
25,25,14-03-2020 20:08:15,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0295,12808,4706,410,175.0,,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
26,26,14-03-2020 20:08:15,Tbilisi,be97026d1d,Columbia Cocaine VHQ 5g BTC SALE 5%!!,,3,нет,Тбилиси,5 гр,0.1314,57599,21162,1842,787.0,,,,,True,,,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
27,27,14-03-2020 20:08:15,Tbilisi,3814ba5701,Hybrid Gagarin. 5g.,,2,нет,Тбилиси,5 гр,0.0352,16101,5916,515,220.0,,,,,,True,,,,,,,Hybrid Gagarin. 5g.
28,28,14-03-2020 20:08:15,Tbilisi,0fa6c5b020,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,4,нет,Тбилиси,5 гр,0.0258,12442,4571,398,170.0,,,,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
29,29,14-03-2020 20:08:15,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,5,нет,Тбилиси,5 гр,0.0099,4757,1748,152,65.0,,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
30,30,14-03-2020 20:08:15,Tbilisi,be97026d1d,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,,4,нет,Тбилиси,5.5 гр,0.0734,32496,11939,1039,444.0,,,,,True,,,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
31,31,14-03-2020 20:08:15,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0609,26714,9815,854,365.0,,,,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
32,32,14-03-2020 20:08:15,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,1,нет,Тбилиси,10 гр,0.0446,19541,7180,625,267.0,,,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
33,33,14-03-2020 20:08:15,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,10 гр,0.015,7246,2662,232,99.0,True,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
34,34,14-03-2020 20:09:18,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0641,29275,10756,936,400.0,,,,,,,,,,,,,gashish evro 10g
35,35,14-03-2020 20:09:18,Tbilisi,be97026d1d,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,,2,нет,Тбилиси,11 гр,0.1416,62064,22803,1984,848.0,,,,,True,,,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
36,36,14-03-2020 20:09:18,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - TBILISI- 0.27 G,True,9,5,Тбилиси,0.27 гр,0.0455,19761,7260,632,270.0,,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - TBILISI- 0.27 G
37,37,14-03-2020 20:09:18,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,нет,3,Тбилиси,1.1 гр,0.11800000000000001,51232,18823,1638,700.0,,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
38,38,14-03-2020 20:09:18,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0995,43181,15865,1381,590.0,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
39,39,14-03-2020 20:09:18,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0668,29275,10756,936,400.0,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
40,40,14-03-2020 20:09:18,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0918,40254,14790,1287,550.0,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
41,41,14-03-2020 20:09:18,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,7,Тбилиси,5 гр,0.026000000000000002,11417,4195,365,156.0,,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
42,42,14-03-2020 20:09:18,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0332,14564,5351,466,199.0,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
43,43,14-03-2020 20:09:18,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0267,11710,4302,374,160.0,,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
44,44,14-03-2020 20:09:18,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0332,14564,5351,466,199.0,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
45,45,14-03-2020 20:09:18,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,1,Тбилиси,5 гр,0.0332,14564,5351,466,199.0,,,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
46,46,14-03-2020 20:09:18,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0242,10612,3899,339,145.0,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
47,47,14-03-2020 20:09:18,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0332,16028,5889,513,219.0,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
48,48,14-03-2020 20:09:18,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0506,21956,8067,702,300.0,,,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
49,49,14-03-2020 20:09:18,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,8,Тбилиси,5 гр,0.025,10978,4034,351,150.0,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
50,50,14-03-2020 20:09:18,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.0304,14638,5378,468,200.0,,,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
51,51,14-03-2020 20:09:18,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.39399999999999996,190000,87429,6072,,,,,,,,,,,,,,reagent 25i nbome. 5gr
52,52,14-03-2020 20:09:18,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.4553,219565,80670,7021,3000.0,,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
53,53,14-03-2020 20:09:18,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.1448,62869,23099,2010,859.0,,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
54,54,14-03-2020 20:09:18,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0312,13540,4975,433,185.0,,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
55,55,14-03-2020 20:09:18,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0825,35789,13149,1144,489.0,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
56,56,14-03-2020 20:09:18,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0555,24079,8847,770,329.0,,,,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
57,57,14-03-2020 20:09:18,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1502,65869,24201,2106,900.0,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
58,58,14-03-2020 20:09:18,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.1169,51232,18823,1638,700.0,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
59,59,14-03-2020 20:09:18,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0666,29202,10729,934,399.0,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
60,60,14-03-2020 20:09:18,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.059000000000000004,25616,9412,819,350.0,,,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
61,61,14-03-2020 20:09:18,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1336,58551,21512,1872,800.0,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
62,62,14-03-2020 20:09:18,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3714,162844,59830,5207,2225.0,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
63,63,14-03-2020 20:09:18,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2443,106050,38964,3391,1449.0,,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
64,64,14-03-2020 20:09:18,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0622,27006,9922,864,369.0,,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
65,65,14-03-2020 20:09:18,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0504,21883,8040,700,299.0,,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
66,66,14-03-2020 20:09:42,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1837,87826,32268,2808,1200.0,,,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
67,67,14-03-2020 20:09:42,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.3369,146376,53780,4680,2000.0,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
68,68,14-03-2020 20:09:42,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.3402,146376,53780,4680,2000.0,,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
69,69,14-03-2020 20:09:42,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.4211,182971,67225,5851,2500.0,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
70,70,14-03-2020 20:09:42,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2552,109782,40335,3510,1500.0,,,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
71,71,14-03-2020 20:09:42,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.7748,336666,123694,10765,4600.0,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
72,72,14-03-2020 20:09:42,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.2632,548912,201675,17552,7500.0,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
73,73,14-03-2020 20:09:42,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.4316,622100,228565,19892,8500.0,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
74,74,14-03-2020 20:09:42,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0306,14638,5378,468,200.0,,,,,,,,,,,,,KURYER..500RUB.+BONUS
75,75,14-03-2020 20:09:42,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.023,10978,4034,351,150.0,,,,,,,,,,,,,Rabota na marki (kur'er)
76,76,14-03-2020 20:09:42,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0337,14638,5378,468,200.0,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
77,77,14-03-2020 20:09:42,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0421,18297,6723,585,250.0,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
78,78,14-03-2020 20:09:42,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.5494,1097823,403350,35103,15000.0,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
79,79,14-03-2020 20:11:36,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.2499,109782,40335,3510,1500.0,,,,,,,,,,True,,,Skunk! 50 gr.
80,80,14-03-2020 20:11:36,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,15,Батуми,5 гр,0.0303,14638,5378,468,200.0,,,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
81,81,14-03-2020 20:11:36,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,1,Батуми,100 гр,0.3366,146376,53780,4680,2000.0,,,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
82,82,14-03-2020 20:11:36,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2524,109782,40335,3510,1500.0,,,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
83,83,14-03-2020 20:11:36,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0151,7319,2689,234,100.0,,,,,,,,,,True,,,kur'er v Batumi
84,84,14-03-2020 20:11:36,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0379,18297,6723,585,250.0,,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
85,85,14-03-2020 20:11:36,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0227,10978,4034,351,150.0,,,,,,,,,,True,,,Rabota na marki (kur'er)
86,86,14-03-2020 20:11:36,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0379,18297,6723,585,250.0,,,,,,,,,,True,,,Ischu kur'era v Gruzii!
87,87,14-03-2020 20:11:36,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.522,1097823,403350,35103,15000.0,,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
88,88,14-03-2020 20:11:36,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0833,36594,13445,1170,500.0,,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
89,89,14-03-2020 20:12:47,Kutaisi,54915c4374,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0227,10978,4034,351,150.0,,,,,,,,,,,,True,Rabota na marki (kur'er)
