,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Дигоми,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
30,20-03-2020 17:26:28,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,,4,нет,Тбилиси,5.5 гр,0.0444,25364,9198,826,325,,,True,,,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
31,20-03-2020 17:26:28,Tbilisi,UJP9,420Inc,THC Snow Leavs 6G,,5,нет,Тбилиси,6 гр,0.0054,3122,1132,102,40,True,,,,,,,,,,THC Snow Leavs 6G
32,20-03-2020 17:26:28,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0499,28486,10330,928,365,,,,True,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
33,20-03-2020 17:26:28,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0365,20838,7556,679,267,True,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
34,20-03-2020 17:27:31,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0365,20838,7556,679,267,True,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
35,20-03-2020 17:27:31,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,6,нет,Тбилиси,10 гр,0.0123,7726,2802,252,99,True,,,,True,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
36,20-03-2020 17:27:31,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0525,31218,11320,1017,400,True,,,,,,,,,,gashish evro 10g
37,20-03-2020 17:27:31,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,,1,нет,Тбилиси,11 гр,0.0868,49558,17971,1614,635,,,True,,,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
38,20-03-2020 17:27:31,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2485,156089,56600,5083,2000,True,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
39,20-03-2020 17:27:31,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G - (SALE),,14,5,Тбилиси,0.27 гр,0.0313,17716,6424,577,227,True,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G - (SALE)
40,20-03-2020 17:27:31,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),,2,3,Тбилиси,1.1 гр,0.0966,54631,19810,1779,700,True,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
41,20-03-2020 17:27:31,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0814,46046,16697,1499,590,True,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
42,20-03-2020 17:27:31,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0547,31218,11320,1017,400,True,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
43,20-03-2020 17:27:31,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0752,42924,15565,1398,550,True,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
44,20-03-2020 17:27:31,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,3,Тбилиси,5 гр,0.0213,12175,4415,396,156,True,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
45,20-03-2020 17:27:31,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,,нет,10,Тбилиси,5 гр,0.0272,15531,5632,506,199,True,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
46,20-03-2020 17:27:31,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,1,Тбилиси,5 гр,0.0219,12487,4528,407,160,True,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
47,20-03-2020 17:27:31,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,10,Тбилиси,5 гр,0.0272,15531,5632,506,199,True,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
48,20-03-2020 17:27:31,Tbilisi,SF03,CRAZYFROG,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",,нет,1,Тбилиси,5 гр,0.0272,15531,5632,506,199,True,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
49,20-03-2020 17:27:31,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,9,Тбилиси,5 гр,0.0198,11316,4104,369,145,True,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
50,20-03-2020 17:27:31,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0272,17092,6198,557,219,True,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
51,20-03-2020 17:27:31,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 5 G. (SHISHKI) (SALE),,нет,5,Тбилиси,5 гр,0.0414,23413,8490,762,300,True,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
52,20-03-2020 17:27:31,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,7,Тбилиси,5 гр,0.0205,11707,4245,381,150,True,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
53,20-03-2020 17:27:31,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,15,Тбилиси,5 гр,0.0249,15609,5660,508,200,True,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
54,20-03-2020 17:27:31,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.3025,190000,87429,6043,,True,,,,,,,,,,reagent 25i nbome. 5gr
55,20-03-2020 17:27:31,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3728,234133,84900,7624,3000,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
56,20-03-2020 17:27:31,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,3,Тбилиси,5 гр,0.1186,67040,24310,2183,859,True,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
