,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
62,62,26-02-2020 00:25:04,Tbilisi,cb721d4bca,"2gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",,нет,4,Тбилиси,2 гр,0.0167,11626,4401,397,,True,165.0,,,,,,,"2gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
63,63,26-02-2020 00:25:04,Tbilisi,8ddca45a78,3g MIX / PURPLE HAZE + BLUE CHEESE + NORTHERN LIGHTS / BTC -10%,,нет,1,Тбилиси,3 гр,0.0104,7141,2703,245,110.0,True,,,,,,,,3g MIX / PURPLE HAZE + BLUE CHEESE + NORTHERN LIGHTS / BTC -10%
64,64,26-02-2020 00:25:04,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,5,Тбилиси,3 гр,0.0619,38304,14496,1313,590.0,True,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
65,65,26-02-2020 00:25:04,Tbilisi,dd631c4acf,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃,,нет,5,Тбилиси,3 гр,0.0179,12270,4644,420,189.0,True,,,,,,,,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃
66,66,26-02-2020 00:25:04,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,8,Тбилиси,4 гр,0.0416,25969,9828,890,400.0,True,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
67,67,26-02-2020 00:25:46,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,8,Тбилиси,4 гр,0.0415,25969,9828,890,400.0,True,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
68,68,26-02-2020 00:25:46,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0571,35707,13514,1224,550.0,True,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
69,69,26-02-2020 00:25:46,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,,нет,8,Тбилиси,5 гр,0.0249,15581,5897,534,240.0,True,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
70,70,26-02-2020 00:25:46,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,10,Тбилиси,5 гр,0.0259,16230,6143,556,250.0,True,,,,,,,,5 gr Shishki “OG KUSH VHQ”
71,71,26-02-2020 00:25:46,Tbilisi,ce030318fd,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",,нет,9,Тбилиси,5 гр,0.1415,97382,36855,3337,1500.0,True,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
72,72,26-02-2020 00:25:46,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,,нет,2,Тбилиси,5 гр,0.0259,16230,6143,556,250.0,True,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
73,73,26-02-2020 00:25:46,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,10,Тбилиси,5 гр,0.0259,16230,6143,556,250.0,True,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
74,74,26-02-2020 00:25:46,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",,нет,2,Тбилиси,5 гр,0.0207,12919,4889,443,199.0,True,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
75,75,26-02-2020 00:25:46,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,4,Тбилиси,5 гр,0.0259,16230,6143,556,250.0,True,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
76,76,26-02-2020 00:25:46,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0207,14218,5381,487,219.0,True,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
77,77,26-02-2020 00:25:46,Tbilisi,851e5b91a0,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",,нет,5,Тбилиси,5 гр,0.0197,13569,5135,465,209.0,True,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
78,78,26-02-2020 00:25:46,Tbilisi,851e5b91a0,"NEW! O.G. Kush - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",,нет,4,Тбилиси,5 гр,0.0197,13569,5135,465,209.0,True,,,,,,,,"NEW! O.G. Kush - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
79,79,26-02-2020 00:25:46,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,,нет,10,Тбилиси,5 гр,0.0259,16230,6143,556,250.0,True,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
80,80,26-02-2020 00:25:46,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,18,Тбилиси,5 гр,0.0189,12984,4914,445,200.0,True,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
81,81,26-02-2020 00:25:46,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2761,190000,87429,6496,,True,,,,,,,,reagent 25i nbome. 5gr
82,82,26-02-2020 00:25:46,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2831,194764,73710,6674,3000.0,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
83,83,26-02-2020 00:25:46,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,5,Тбилиси,5 гр,0.09,55767,21106,1911,859.0,True,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
84,84,26-02-2020 00:25:46,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,10,Тбилиси,5 гр,0.0194,12010,4545,412,185.0,True,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
85,85,26-02-2020 00:25:46,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0513,31747,12015,1088,489.0,True,,,,,,,,💘✨5g. MDMA ✨💘
86,86,26-02-2020 00:25:46,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,,нет,5,Тбилиси,5 гр,0.0345,21359,8084,732,329.0,True,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
87,87,26-02-2020 00:25:46,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,5,Тбилиси,5 гр,0.0189,11686,4423,400,180.0,True,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
88,88,26-02-2020 00:25:46,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0831,52000,23928,1778,,True,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
89,89,26-02-2020 00:25:46,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.0727,45445,17199,1557,700.0,True,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
90,90,26-02-2020 00:25:46,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,8,Тбилиси,10 гр,0.0414,25904,9803,888,399.0,True,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
91,91,26-02-2020 00:25:46,Tbilisi,ce030318fd,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",,нет,2,Тбилиси,10 гр,0.2359,162303,61425,5562,2500.0,True,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
92,92,26-02-2020 00:25:46,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,,1,5,Тбилиси,10 гр,0.0367,22722,8600,779,350.0,True,,,,,,,,10x Extasy Duracell 223mg MDMA.
93,93,26-02-2020 00:25:46,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.083,51937,19656,1780,800.0,True,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
94,94,26-02-2020 00:25:46,Tbilisi,851e5b91a0,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",,нет,5,Тбилиси,10 гр,0.0376,25904,9803,888,399.0,True,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
95,95,26-02-2020 00:25:46,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2309,144450,54668,4950,2225.0,True,,,,,,,,Amfetamin [White] [Import] 10G
96,96,26-02-2020 00:25:46,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,10,Тбилиси,10 гр,0.1519,94071,35602,3223,1449.0,True,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
97,97,26-02-2020 00:25:46,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0387,23956,9066,821,369.0,True,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
98,98,26-02-2020 00:25:46,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,5,Тбилиси,10 гр,0.0313,19411,7346,665,299.0,True,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
99,99,26-02-2020 00:25:46,Tbilisi,ce030318fd,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",,нет,8,Тбилиси,20 гр,0.3114,214240,81081,7341,3300.0,True,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
100,100,26-02-2020 00:25:46,Tbilisi,c9a56b2b4a,20x Extasy Duracell 223mg MDMA.,,нет,5,Тбилиси,20 гр,0.0734,45445,17199,1557,700.0,True,,,,,,,,20x Extasy Duracell 223mg MDMA.
101,101,26-02-2020 00:25:46,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,10,Тбилиси,20 гр,0.0628,38888,14717,1333,599.0,True,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
