,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Old Tbilisi (Старый город),Авлобари,€,Didube,Varketili,Vake,Батуми,Центр,desc_en
46,46,03-08-2020 22:22:32,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0174,16241,6121,534,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
47,47,03-08-2020 22:22:32,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 5гр",True,нет,2,Тбилиси,5 гр,0.019,17798,6708,585,240.0,,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
48,48,03-08-2020 22:22:32,Tbilisi,ae784bef73,NEW ! Silver Haze NEW ! HQ BUDS 5G,True,нет,3,Тбилиси,5 гр,0.0205,17427,6568,573,235.0,,,,,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 5G
49,49,03-08-2020 22:22:32,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0236,20023,7547,658,270.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
50,50,03-08-2020 22:22:32,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2032,190000,87429,6300,,,,,,,,,,,,reagent 25i nbome. 5gr
51,51,03-08-2020 22:22:32,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2379,222476,83850,7313,3000.0,,,True,True,,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
52,52,03-08-2020 22:22:32,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.048,40787,15373,1341,550.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
53,53,03-08-2020 22:22:32,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0611,51911,19565,1706,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
54,54,03-08-2020 22:22:32,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0366,31147,11739,1024,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
55,55,03-08-2020 22:22:32,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0698,59327,22360,1950,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
56,56,03-08-2020 22:22:32,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",True,нет,3,Тбилиси,10 гр,0.0366,31147,11739,1024,420.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
57,57,03-08-2020 22:22:32,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.1941,165003,62189,5423,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
58,58,03-08-2020 22:22:32,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,True,нет,5,Тбилиси,10 гр,0.0456,38379,14432,1276,,,,,,440.0,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
59,59,03-08-2020 22:22:32,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,4,Тбилиси,11 гр,0.0404,34018,12792,1131,,,,,,390.0,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
60,60,03-08-2020 22:22:32,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0515,48203,18168,1584,650.0,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
61,61,03-08-2020 22:22:32,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2093,177981,67080,5850,2400.0,,,,,,,,,,,100 gr marijuana buds
62,62,03-08-2020 22:22:32,Tbilisi,8ddca45a78,"Weed cooking butter 100gr, Hight THC",True,нет,1,Тбилиси,100 гр,0.0086,7342,2767,241,99.0,,,,,,,,,,,"Weed cooking butter 100gr, Hight THC"
63,63,03-08-2020 22:22:32,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2181,185397,69875,6094,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
64,64,03-08-2020 22:22:32,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5146,437536,164905,14381,5900.0,,,,,,,,,,,180 gr marihuana persoalno
65,65,03-08-2020 22:22:32,Tbilisi,9610a68a0a,GABAGAMA 250 shtuk,,нет,5,Тбилиси,250 гр,0.0212,18000,8283,597,,,,,,,True,,,,,GABAGAMA 250 shtuk
66,66,03-08-2020 22:22:32,Tbilisi,16be2c8499,500 шт. марки 25i nbome. готовый клад в Тбилиси.,,нет,2,Тбилиси,500 гр,0.0872,74159,27950,2438,1000.0,,,,True,,,True,,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
67,67,03-08-2020 22:22:32,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7414,630348,237575,20719,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
68,68,03-08-2020 22:22:32,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0159,14832,5590,488,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
69,69,03-08-2020 22:23:47,Tbilisi,e771f4c371,Работа курьер в Тбилиси 15 лари на клад толка марихуана,,1,нет,Тбилиси,1 гр,0.0218,18540,6988,609,250.0,True,,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
70,70,03-08-2020 22:23:47,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0218,18540,6988,609,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
71,71,03-08-2020 22:23:47,Tbilisi,f374062dcd,Курьер Фасовщик залог обязательно 600$ 5гр,True,1,нет,Тбилиси,5 гр,0.0476,44495,16770,1463,600.0,,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 600$ 5gr
72,72,03-08-2020 22:23:47,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0174,14832,5590,488,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
73,73,03-08-2020 22:23:47,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0218,18540,6988,609,250.0,,,,,,,,,,,Rabota na marki (kur'er)
74,74,03-08-2020 22:23:47,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0436,37079,13975,1219,500.0,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
75,75,03-08-2020 22:23:47,Tbilisi,ccc85b93d8,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0436,37079,13975,1219,500.0,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
76,76,03-08-2020 22:23:47,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.3203,1112379,419250,36563,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
77,77,03-08-2020 22:23:47,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0436,37079,13975,1219,500.0,,,True,,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
78,78,03-08-2020 22:26:36,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,12,нет,Батуми,2 гр,0.0029,2447,922,80,33.0,,,,,,,,,True,,Melkie shishki (Indica) 2g
79,79,03-08-2020 22:26:36,Batumi,3c4662c591,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Качественные шишки марихуаны,,1,нет,Батуми,10 гр,0.0349,29663,11180,975,400.0,,,,,,,,,,True,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Kachestvennye shishki marihuany
80,80,03-08-2020 22:26:36,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,1,4,Батуми,10 гр,0.0456,38379,14432,1276,,,,,,440.0,,,,True,True,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
81,81,03-08-2020 22:26:36,Batumi,f8a875c191,METADON - 0.30 - SALE,,нет,4,Батуми,0.3 гр,0.0265,22248,8385,731,300.0,,,,,,,,,True,,METADON - 0.30 - SALE
82,82,03-08-2020 22:26:36,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Батуми,11 гр,0.0404,34018,12792,1131,,,,,,390.0,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
83,83,03-08-2020 22:26:36,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0079,7416,2795,244,100.0,,,,,,,,,True,,kur'er v Batumi
84,84,03-08-2020 22:26:36,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0199,18540,6988,609,250.0,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
85,85,03-08-2020 22:26:36,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0199,18540,6988,609,250.0,,,,,,,,,True,,Ischu kur'era v Gruzii!
86,86,03-08-2020 22:26:36,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0175,14832,5590,488,200.0,,,,,,,,,True,,Kur'er Batumi na marihuanu
87,87,03-08-2020 22:26:36,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.3222,1112379,419250,36563,15000.0,,,,,,,,,True,,Vakansija optovogo kur'era na mef
88,88,03-08-2020 22:26:36,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0437,37079,13975,1219,500.0,,,,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
