,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Varketili,Батуми,Центр,€,desc_en
18,18,16-08-2020 03:14:07,Tbilisi,bb1791277e,1 gr super lemon haze пробник,True,1,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55.0,,,,,,,,,,,1 gr super lemon haze probnik
19,19,16-08-2020 03:14:07,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,1 гр,0.0045,3880,1463,130,53.0,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
20,20,16-08-2020 03:14:07,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,4,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55.0,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
21,21,16-08-2020 03:14:07,Tbilisi,4a91350669,1 шишки Girl Scout Cookies тгк thc 28%,,4,нет,Тбилиси,1 гр,0.0049,4247,1601,142,58.0,,True,,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
22,22,16-08-2020 03:14:07,Tbilisi,7918572a66,1G TYson Budds Скидка 5%,,2,нет,Тбилиси,1 гр,0.0032,2929,1104,98,40.0,True,,,,,,,,,,1G TYson Budds Skidka 5%
23,23,16-08-2020 03:14:07,Tbilisi,e56bb6ca93,1g 🍁🌿WEST COAST 420 O.G🍁🌿 (HIGH QUALITY),True,3,нет,Тбилиси,1 гр,0.004,3441,1297,115,47.0,,,,,,,,,,,1g 🍁🌿WEST COAST 420 O.G🍁🌿 (HIGH QUALITY)
24,24,16-08-2020 03:14:07,Tbilisi,0dec0e1c48,1g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿,True,6,нет,Тбилиси,1 гр,0.0041,3514,1325,118,48.0,,,,,,,,,,,1g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿
25,25,16-08-2020 03:14:07,Tbilisi,0dec0e1c48,1gr HYBRID o.g,True,10,нет,Тбилиси,1 гр,0.0041,3588,1352,120,49.0,,,,,,,,,,,1gr HYBRID o.g
26,26,16-08-2020 03:14:07,Tbilisi,bb1791277e,1gr Stardawg Auto WEED BUDS,True,1,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55.0,,,,,,,,,,,1gr Stardawg Auto WEED BUDS
27,27,16-08-2020 03:14:07,Tbilisi,e56bb6ca93,1gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,6,нет,Тбилиси,1 гр,0.0048,4173,1573,140,57.0,,,,,,,,,,,1gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
28,28,16-08-2020 03:14:07,Tbilisi,f25c0d6c5c,Auto Amnesia Haze 1 gr,True,10,нет,Тбилиси,1 гр,0.0034,3000,1380,101,,,,,,,,,,,,Auto Amnesia Haze 1 gr
29,29,16-08-2020 03:14:07,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0046,3954,1490,133,54.0,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
30,30,16-08-2020 03:14:07,Tbilisi,ae784bef73,NEW * Green Gelato * NEW * BUDS ! 1G VHQ,True,1,нет,Тбилиси,1 гр,0.0049,4247,1601,142,58.0,,,,,,,,,,,NEW * Green Gelato * NEW * BUDS ! 1G VHQ
31,31,16-08-2020 03:14:07,Tbilisi,ae784bef73,NEW * Royal Moby * NEW ! HQ BUDS 1G,True,5,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55.0,,,,,,,,,,,NEW * Royal Moby * NEW ! HQ BUDS 1G
32,32,16-08-2020 03:14:07,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 1G,True,1,нет,Тбилиси,1 гр,0.0042,3661,1380,123,50.0,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
33,33,16-08-2020 03:14:07,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,5,нет,Тбилиси,2 гр,0.0083,7248,2732,243,99.0,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
34,34,16-08-2020 03:14:07,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,2,нет,Тбилиси,2 гр,0.0089,7761,2926,260,106.0,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
35,35,16-08-2020 03:14:07,Tbilisi,509c9eb778,Метадон VHQ 0.5гр,True,1,нет,Тбилиси,0.5 гр,0.0359,32508,12254,1091,444.0,,,,,,,,,,,Metadon VHQ 0.5gr
36,36,16-08-2020 03:15:18,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,4,нет,Тбилиси,2 гр,0.0084,7322,2760,246,100.0,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
37,37,16-08-2020 03:15:18,Tbilisi,7918572a66,2G TYson Budds Скидка 5%,True,8,нет,Тбилиси,2 гр,0.006,5711,2153,192,78.0,True,,,,,,,,,,2G TYson Budds Skidka 5%
38,38,16-08-2020 03:15:18,Tbilisi,e56bb6ca93,2g 🍁🌿WEST COAST 420 O.G🍁🌿 (HIGH QUALITY),True,1,нет,Тбилиси,2 гр,0.0072,6297,2374,211,86.0,,,,,,,,,,,2g 🍁🌿WEST COAST 420 O.G🍁🌿 (HIGH QUALITY)
39,39,16-08-2020 03:15:18,Tbilisi,0dec0e1c48,2g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿,True,4,нет,Тбилиси,2 гр,0.0073,6297,2374,211,86.0,,,,,,,,,,,2g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿
40,40,16-08-2020 03:15:18,Tbilisi,bb1791277e,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,True,2,нет,Тбилиси,2 гр,0.0093,8054,3036,270,110.0,,,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
41,41,16-08-2020 03:15:18,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 2 гр",True,2,нет,Тбилиси,2 гр,0.0084,8054,3036,270,110.0,,True,,,,,,,,,"Gorilla Breath - photoperiod, feminised 2 gr"
42,42,16-08-2020 03:15:18,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",True,2,нет,Тбилиси,2 гр,0.0084,8054,3036,270,110.0,,True,,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
43,43,16-08-2020 03:15:18,Tbilisi,e771f4c371,MORNING GLORY 3G.( *VHQ*BUDS-26%THC) FROM EUROPE,,2,нет,Тбилиси,3 гр,0.0126,10982,4140,368,150.0,True,,,,,,,,,,MORNING GLORY 3G.( *VHQ*BUDS-26%THC) FROM EUROPE
44,44,16-08-2020 03:15:18,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm,True,3,нет,Тбилиси,3 гр,0.0069,6589,2484,221,90.0,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
45,45,16-08-2020 03:15:18,Tbilisi,7c395c455d,5 gr Amnesia Haze шишки импорт с европы тгк 28%,True,2,нет,Тбилиси,5 гр,0.0202,17572,6624,590,240.0,,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
46,46,16-08-2020 03:15:18,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,1,нет,Тбилиси,5 гр,0.021,18304,6900,614,250.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
47,47,16-08-2020 03:15:18,Tbilisi,3814ba5701,Weed from Gali 5g.,True,1,нет,Тбилиси,5 гр,0.0186,16840,6348,565,230.0,,,,,,,,,,,Weed from Gali 5g.
48,48,16-08-2020 03:15:18,Tbilisi,52fe6d0af9,Subotex From France B8 VHQ 1pc,True,нет,5,Тбилиси,1 гр,0.0194,16840,6348,565,230.0,,,,,,,,,,,Subotex From France B8 VHQ 1pc
49,49,16-08-2020 03:15:18,Tbilisi,8ddca45a78,2G 🔵🔵 BLUEBERRY (hybrid < indica),True,нет,1,Тбилиси,2 гр,0.0084,7322,2760,246,100.0,,,,,,,,,,,2G 🔵🔵 BLUEBERRY (hybrid < indica)
50,50,16-08-2020 03:15:18,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.021,18304,6900,614,250.0,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
51,51,16-08-2020 03:15:18,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0227,19768,7452,663,270.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
52,52,16-08-2020 03:15:18,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0231,20134,7590,676,275.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
53,53,16-08-2020 03:15:18,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,1,Тбилиси,5 гр,0.0202,17572,6624,590,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
54,54,16-08-2020 03:15:18,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0236,20500,7728,688,280.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
55,55,16-08-2020 03:15:18,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0227,19768,7452,663,270.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
56,56,16-08-2020 03:15:18,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0168,16034,6044,538,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
57,57,16-08-2020 03:15:18,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 5гр",True,нет,2,Тбилиси,5 гр,0.0184,17572,6624,590,240.0,,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
58,58,16-08-2020 03:15:18,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.021,18304,6900,614,250.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
59,59,16-08-2020 03:15:18,Tbilisi,52fe6d0af9,Subotex From France B8 VHQ 5pc,True,нет,1,Тбилиси,5 гр,0.0909,79073,29808,2653,1080.0,,,,,,,,,,,Subotex From France B8 VHQ 5pc
60,60,16-08-2020 03:15:18,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.1985,190000,87429,6381,,,,,,,,,,,,reagent 25i nbome. 5gr
61,61,16-08-2020 03:15:18,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2295,219647,82800,7369,3000.0,,,True,True,,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
62,62,16-08-2020 03:15:18,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0463,40269,15180,1351,550.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
63,63,16-08-2020 03:15:18,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,1,Тбилиси,10 гр,0.0589,51251,19320,1719,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
64,64,16-08-2020 03:15:18,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0353,30751,11592,1032,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
65,65,16-08-2020 03:15:18,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0673,58573,22080,1965,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
66,66,16-08-2020 03:15:18,Tbilisi,9610a68a0a,GABAGAMA 10 shtuk,True,нет,5,Тбилиси,10 гр,0.0012,1025,386,34,14.0,,,,,,,,,,,GABAGAMA 10 shtuk
67,67,16-08-2020 03:15:18,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.1872,162905,61410,5465,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
68,68,16-08-2020 03:15:18,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2019,175718,66240,5895,2400.0,,,,,,,,,,,100 gr marijuana buds
69,69,16-08-2020 03:15:18,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2103,183039,69000,6141,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
70,70,16-08-2020 03:15:18,Tbilisi,509c9eb778,РоСС Убой 2гр,True,нет,33,Тбилиси,2 гр,0.0062,5638,2125,189,77.0,,,,,,,,,,,RoSS Uboj 2gr
71,71,16-08-2020 03:15:18,Tbilisi,6932ed9978,10g Methadone Crystal (В ЦЕНТРЕ НА МАГНИТАХ),True,нет,2,Тбилиси,10 гр,0.2447,234290,88320,7860,3200.0,,,,,,,,,,,10g Methadone Crystal (V TsENTRE NA MAGNITAH)
72,72,16-08-2020 03:16:05,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.49700000000000005,431973,162840,14493,5900.0,,,,,,,,,,,180 gr marihuana persoalno
73,73,16-08-2020 03:16:05,Tbilisi,9610a68a0a,GABAGAMA 250 shtuk,,нет,4,Тбилиси,250 гр,0.0242,21000,9663,705,,,,,,True,,,,,,GABAGAMA 250 shtuk
74,74,16-08-2020 03:16:05,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.716,622333,234600,20879,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
75,75,16-08-2020 03:16:05,Tbilisi,3c9bc6f8e9,Курьер Тбилиси,True,1,нет,Тбилиси,1 гр,0.0306,29286,11040,983,400.0,,,,,,,,,,,Kur'er Tbilisi
76,76,16-08-2020 03:16:05,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0211,18304,6900,614,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
77,77,16-08-2020 03:16:05,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0168,14643,5520,491,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
78,78,16-08-2020 03:16:05,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0211,18304,6900,614,250.0,,,,,,,,,,,Rabota na marki (kur'er)
79,79,16-08-2020 03:16:05,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0421,36608,13800,1228,500.0,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
80,80,16-08-2020 03:16:05,Tbilisi,ccc85b93d8,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0421,36608,13800,1228,500.0,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
81,81,16-08-2020 03:16:05,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.275,1098236,414000,36846,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
82,82,16-08-2020 03:16:05,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0421,36608,13800,1228,500.0,,,True,,,True,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
83,83,16-08-2020 03:16:05,Tbilisi,98f436eeb7,верифицированный аккаунт на localbitcoins 1 шт,True,нет,2,Тбилиси,1 гр,0.0035,3000,1380,101,,,,,,,,,,,,verifitsirovannyj akkaunt na localbitcoins 1 sht
84,84,16-08-2020 03:16:05,Tbilisi,98f436eeb7,Генацвале! Работай у лучшей девушки RC!,True,нет,1,Тбилиси,2 гр,0.0084,7322,2760,246,100.0,,,,,,,,,,,Genatsvale! Rabotaj u luchshej devushki RC!
85,85,16-08-2020 03:17:58,Batumi,3c9bc6f8e9,Critical + 2.0 Grinded Moonrocks (измельченные мунроки) 5гр,,1,нет,Батуми,5 гр,0.0238,22697,8556,761,310.0,,,,,,,,True,,,Critical + 2.0 Grinded Moonrocks (izmel'chennye munroki) 5gr
86,86,16-08-2020 03:17:58,Batumi,75738ec358,ASTRAL 10g,,1,нет,Батуми,10 гр,0.0513,45394,17112,1523,620.0,,,,,,,,,True,,ASTRAL 10g
87,87,16-08-2020 03:17:58,Batumi,75738ec358,ASTRAL 15g,,1,нет,Батуми,15 гр,0.0703,62233,23460,2088,850.0,,,,,,,,True,,,ASTRAL 15g
88,88,16-08-2020 03:17:58,Batumi,3c9bc6f8e9,Critical + 2.0 Grinded Buds (измельченные шишки) 15гр,,1,нет,Батуми,15 гр,0.0499,47590,17940,1597,650.0,,,,,,,,True,,,Critical + 2.0 Grinded Buds (izmel'chennye shishki) 15gr
89,89,16-08-2020 03:17:58,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0401,34477,13007,1157,,,,,,,,,True,,399.0,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
90,90,16-08-2020 03:17:58,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Батуми,11 гр,0.0392,33700,12714,1131,,,,,,,,,True,,390.0,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
91,91,16-08-2020 03:17:58,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,1,Батуми,11 гр,0.0401,34477,13007,1157,,,,,,,,,True,,399.0,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
92,92,16-08-2020 03:17:58,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0192,18304,6900,614,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
93,93,16-08-2020 03:17:58,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0192,18304,6900,614,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
94,94,16-08-2020 03:17:58,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0169,14643,5520,491,200.0,,,,,,,,True,,,Kur'er Batumi na marihuanu
95,95,16-08-2020 03:17:58,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.2784,1098236,414000,36846,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
96,96,16-08-2020 03:17:58,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0422,36608,13800,1228,500.0,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
