,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,€,Didube,Old Tbilisi (Старый город),Дигоми,Saburtalo,Авлобари,Батуми,Центр,Кутаиси,desc_en
18,18,16-04-2020 14:58:32,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.024,13075,4795,429,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
19,19,16-04-2020 14:58:32,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,5 гр,0.0068,4109,1507,135,55.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
20,20,16-04-2020 14:58:32,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,True,5,нет,Тбилиси,10 гр,0.0284,15615,5727,512,209.0,,,,,,,,,,,10 gr marijuana buds. -indica-
21,21,16-04-2020 14:58:32,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0543,29810,10933,978,399.0,,,,,True,,,,,,"10g. Shishki Amnesia Haze, Sativa"
22,22,16-04-2020 14:58:32,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,10 гр,0.0105,6351,2329,208,85.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
23,23,16-04-2020 14:58:32,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0522,29885,10960,980,400.0,,,,,,,,,,,gashish evro 10g
24,24,16-04-2020 14:58:32,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.1014,58051,21290,1904,777.0,,,,,,,,,,,Gashish Evro 20gr
25,25,16-04-2020 14:58:32,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2473,149424,54800,4901,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
26,26,16-04-2020 14:58:32,Tbilisi,2f51af8159,"NEW NEW VHQ Cocaine Medelins Cartel 0,2g SALE SALE",True,нет,7,Тбилиси,0.2 гр,0.0052,2839,1041,93,38.0,,,,,,,,,,,"NEW NEW VHQ Cocaine Medelins Cartel 0,2g SALE SALE"
27,27,16-04-2020 14:58:32,Tbilisi,2f51af8159,1 штука Ecstasy grey duracell 240 mg NEW!,,нет,3,Тбилиси,1 гр,0.0057,3138,1151,103,42.0,,,,,,True,,,,,1 shtuka Ecstasy grey duracell 240 mg NEW!
28,28,16-04-2020 14:58:32,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,10,Тбилиси,2 гр,0.0507,27569,10111,904,369.0,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
29,29,16-04-2020 14:58:32,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.081,44080,16166,1446,590.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
30,30,16-04-2020 14:58:32,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0544,29885,10960,980,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
31,31,16-04-2020 14:58:32,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,3,Тбилиси,5 гр,0.0218,11954,4384,392,160.0,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
32,32,16-04-2020 14:58:32,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0748,41092,15070,1348,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
33,33,16-04-2020 14:59:28,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.027000000000000003,14868,5453,488,199.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
34,34,16-04-2020 14:59:28,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.027000000000000003,14868,5453,488,199.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
35,35,16-04-2020 14:59:28,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0271,16362,6001,537,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
36,36,16-04-2020 14:59:28,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.027000000000000003,14868,5453,488,199.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
37,37,16-04-2020 14:59:28,Tbilisi,54915c4374,МДМА 5 гр!!!,True,нет,2,Тбилиси,5 гр,0.0517,28448,10451,939,,,350.0,,,,,,,,,MDMA 5 gr!!!
38,38,16-04-2020 14:59:28,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3142,190000,87429,6310,,,,,,,,,,,,reagent 25i nbome. 5gr
39,39,16-04-2020 14:59:28,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3706,224136,82200,7352,3000.0,,,,True,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
40,40,16-04-2020 14:59:28,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,10,Тбилиси,5 гр,0.1193,64925,23811,2130,869.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
41,41,16-04-2020 14:59:28,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.0259,14121,5179,463,189.0,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
42,42,16-04-2020 14:59:28,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,4,Тбилиси,5 гр,0.0261,14195,5206,466,190.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
43,43,16-04-2020 14:59:28,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0671,36534,13399,1198,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
44,44,16-04-2020 14:59:28,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0259,14121,5179,463,189.0,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
45,45,16-04-2020 14:59:28,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1223,67241,24660,2206,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
46,46,16-04-2020 14:59:28,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0951,52298,19180,1715,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
47,47,16-04-2020 14:59:28,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0435,23908,8768,784,320.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
48,48,16-04-2020 14:59:28,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.1087,59770,21920,1960,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
49,49,16-04-2020 14:59:28,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3024,166234,60965,5453,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
50,50,16-04-2020 14:59:28,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!!,True,5,3,Тбилиси,10 гр,0.0148,8128,2986,268,,,100.0,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!!
51,51,16-04-2020 14:59:28,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.1989,108258,39703,3551,1449.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
52,52,16-04-2020 14:59:28,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0506,27569,10111,904,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
53,53,16-04-2020 14:59:28,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.040999999999999995,22339,8193,733,299.0,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
54,54,16-04-2020 14:59:28,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,1,2,Тбилиси,20 гр,0.055,30258,11097,993,405.0,,,,,,True,,,,,20 gr Indica marijuana buds (hight quality)
55,55,16-04-2020 14:59:28,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0822,44752,16413,1468,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
56,56,16-04-2020 14:59:28,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1495,82183,30140,2696,1100.0,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
57,57,16-04-2020 14:59:28,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3262,179309,65760,5881,2400.0,,,,,,,,,,,100 gr marijuana buds
58,58,16-04-2020 14:59:28,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2718,149424,54800,4901,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
59,59,16-04-2020 14:59:28,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2745,149424,54800,4901,2000.0,,,,,,,,,,,SUBOXIN - HQ - 100 G.
60,60,16-04-2020 14:59:28,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3397,186780,68500,6127,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
61,61,16-04-2020 14:59:28,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.8018,440800,161660,14459,5900.0,,,,,,,,,,,180 gr marihuana persoalno
62,62,16-04-2020 14:59:28,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,1,Тбилиси,200 гр,0.4281,235342,86310,7719,3150.0,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
63,63,16-04-2020 14:59:28,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6251,343675,126040,11273,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
64,64,16-04-2020 14:59:28,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0192,560339,205500,18380,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
65,65,16-04-2020 14:59:28,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1551,635051,232900,20830,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
66,66,16-04-2020 14:59:28,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0247,14942,5480,490,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
67,67,16-04-2020 14:59:28,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0272,14942,5480,490,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
68,68,16-04-2020 15:00:12,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0272,14942,5480,490,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
69,69,16-04-2020 15:00:12,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.034,18678,6850,613,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
70,70,16-04-2020 15:00:12,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.0585,1120679,411000,36759,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
71,71,16-04-2020 15:01:38,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3007,164366,60280,5391,2200.0,,,,,,,,True,,,[100g] SPAIN HASH
72,72,16-04-2020 15:01:38,Batumi,2d6b882c49,Ск синий крис очень сильный 3гр,,нет,3,Батуми,3 гр,0.040999999999999995,24655,9042,809,330.0,,,,,,,,,True,,Sk sinij kris ochen' sil'nyj 3gr
73,73,16-04-2020 15:01:38,Batumi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 25 штук!!!,,нет,2,Батуми,25 гр,0.0372,20320,7465,671,,,250.0,,,,,,True,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 25 shtuk!!!
74,74,16-04-2020 15:01:38,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2761,149424,54800,4901,2000.0,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
75,75,16-04-2020 15:01:38,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0124,7471,2740,245,100.0,,,,,,,,True,,,kur'er v Batumi
76,76,16-04-2020 15:01:38,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0311,18678,6850,613,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
77,77,16-04-2020 15:01:38,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0311,18678,6850,613,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
78,78,16-04-2020 15:01:38,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0686,1120679,411000,36759,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
79,79,16-04-2020 15:01:38,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0683,37356,13700,1225,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
80,80,16-04-2020 15:03:04,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0196,10833,3973,355,145.0,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
81,81,16-04-2020 15:03:04,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,2 гр,0.0494,27270,10001,894,365.0,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
82,82,16-04-2020 15:03:04,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,3 гр,0.0372,20546,7535,674,275.0,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
83,83,16-04-2020 15:03:04,Kutaisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!!,,нет,10,Кутаиси,10 гр,0.0149,8128,2986,268,,,100.0,,,,,,,,True,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!!
