,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Old Tbilisi (Старый город),Дигоми,Vake,Авлобари,Varketili,Батуми,Центр,desc_en
34,25-07-2020 21:16:24,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 5гр",,2,1,Тбилиси,5 гр,0.0225,17183,6725,574,,True,240,,,,True,,,,,"Hindu Kush (photoperiod, regular) 5gr"
35,25-07-2020 21:16:24,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 10gram special price,,1,нет,Тбилиси,10 гр,0.0319,24343,9527,813,,True,340,,,,,,,,,Northern Lights Regular [budsonly] 10gram special price
36,25-07-2020 21:17:58,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 5гр",,2,1,Тбилиси,5 гр,0.0226,17183,6725,574,,True,240,,,,True,,,,,"Hindu Kush (photoperiod, regular) 5gr"
37,25-07-2020 21:17:58,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 10gram special price,,1,нет,Тбилиси,10 гр,0.032,24343,9527,813,,True,340,,,,,,,,,Northern Lights Regular [budsonly] 10gram special price
38,25-07-2020 21:17:58,Tbilisi,2LY77,SveetWeed,11+ GRAMM BEASTWEED NEW,,1,нет,Тбилиси,11 гр,0.017,12888,5044,430,,True,180,,,,,,,,,11+ GRAMM BEASTWEED NEW
39,25-07-2020 21:17:58,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2091,143195,56040,4780,,True,2000,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
40,25-07-2020 21:17:58,Tbilisi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,4,Тбилиси,1 гр,0.0376,25762,10106,859,310,True,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
41,25-07-2020 21:17:58,Tbilisi,03F3,geoshop,10 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,10,Тбилиси,4 гр,0.0414,28639,11208,956,,True,400,,,,,,,,,10 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
42,25-07-2020 21:17:58,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0259,17899,7005,597,,True,250,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
43,25-07-2020 21:17:58,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.028,19331,7565,645,,True,270,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
44,25-07-2020 21:17:58,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0285,19689,7706,657,,True,275,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
45,25-07-2020 21:17:58,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0249,17183,6725,574,,True,240,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
46,25-07-2020 21:17:58,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,6,Тбилиси,5 гр,0.029,20047,7846,669,,True,280,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
47,25-07-2020 21:17:58,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.028,19331,7565,645,,True,270,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
48,25-07-2020 21:17:58,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0206,15680,6136,523,,True,219,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
49,25-07-2020 21:17:58,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,5,Тбилиси,5 гр,0.0243,16825,6585,562,,True,235,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
50,25-07-2020 21:17:58,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.028,19331,7565,645,,True,270,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
51,25-07-2020 21:17:58,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2499,190000,87429,6346,,True,,,,,,,,,,reagent 25i nbome. 5gr
52,25-07-2020 21:17:58,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2826,214792,84060,7169,,,3000,,True,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
53,25-07-2020 21:17:58,Tbilisi,9CK,Hyperboy,🍬🍬🍬Ex Masserati Red 465 mg 5pc🍬🍬🍬,,нет,1,Тбилиси,5 гр,0.0259,17899,7005,597,,True,250,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 5pc🍬🍬🍬
54,25-07-2020 21:17:58,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,2,Тбилиси,5 гр,0.0243,16621,6520,554,200,True,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
55,25-07-2020 21:17:58,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0932,64438,25218,2151,,True,900,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
56,25-07-2020 21:17:58,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.057,39379,15411,1314,,True,550,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
57,25-07-2020 21:17:58,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0725,50118,19614,1673,,True,700,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
58,25-07-2020 21:17:58,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0435,30071,11768,1004,,True,420,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
59,25-07-2020 21:17:58,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0829,57278,22416,1912,,True,800,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
60,25-07-2020 21:17:58,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,8,Тбилиси,10 гр,0.0435,30071,11768,1004,,True,420,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
61,25-07-2020 21:17:58,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2305,159304,62345,5317,,True,2225,,,,,,,,,Amfetamin [White] [Import] 10G
62,25-07-2020 21:17:58,Tbilisi,9CK,Hyperboy,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬,,нет,1,Тбилиси,10 гр,0.0425,29355,11488,980,,True,410,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬
