,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,€,Nadzaladevi,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
43,43,08-03-2020 01:27:39,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2786,190000,87429,6311,,,,,,,,,,,reagent 25i nbome. 5gr
44,44,08-03-2020 01:27:39,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.297,202553,75390,6719,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
45,45,08-03-2020 01:27:39,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.0945,57998,21587,1924,859.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
46,46,08-03-2020 01:27:39,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0203,12491,4649,414,185.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
47,47,08-03-2020 01:27:39,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0538,33016,12289,1095,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
48,48,08-03-2020 01:27:39,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0362,22213,8268,737,329.0,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
49,49,08-03-2020 01:27:39,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.0198,12153,4523,403,180.0,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
50,50,08-03-2020 01:27:39,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.098,60766,22617,2016,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
51,51,08-03-2020 01:27:39,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0762,47262,17591,1568,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
52,52,08-03-2020 01:27:39,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0435,26939,10027,894,399.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
53,53,08-03-2020 01:27:39,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0385,23631,8796,784,350.0,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
54,54,08-03-2020 01:27:39,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0871,54014,20104,1792,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
55,55,08-03-2020 01:27:39,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2423,150226,55914,4983,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
56,56,08-03-2020 01:27:39,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.1594,97833,36413,3245,1449.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
57,57,08-03-2020 01:27:39,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0406,24914,9273,826,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
58,58,08-03-2020 01:27:39,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0329,20188,7514,670,299.0,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
59,59,08-03-2020 01:27:39,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0659,40443,15053,1342,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
60,60,08-03-2020 01:27:39,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0732,47262,17591,1568,700.0,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
61,61,08-03-2020 01:27:39,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1188,81021,30156,2688,1200.0,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
62,62,08-03-2020 01:27:39,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1044,67450,25105,2237,999.0,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
63,63,08-03-2020 01:27:39,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2178,135035,50260,4479,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
64,64,08-03-2020 01:27:39,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.22,135035,50260,4479,2000.0,,,,,,,,,,SUBOXIN - HQ - 100 G.
65,65,08-03-2020 01:27:39,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2723,168794,62825,5599,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
66,66,08-03-2020 01:27:39,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.165,101276,37695,3359,1500.0,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
