,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Varketili,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
42,42,21-02-2020 13:26:50,Tbilisi,e8a987a33c,"Метадон, 1gr",True,3,нет,Тбилиси,1 гр,0.0398,25497,9804,882,400.0,,,,,,,,,,,"Metadon, 1gr"
43,43,21-02-2020 13:26:50,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,True,4,нет,Тбилиси,1 гр,0.0109,6948,2672,240,109.0,,,,,,,,,,,✨ 1g. MDMA ✨
44,44,21-02-2020 13:26:50,Tbilisi,dd631c4acf,💩1g. New Hush Gorilla Glue Premium💩,True,1,нет,Тбилиси,1 гр,0.0069,4398,1691,152,69.0,,,,,,,,,,,💩1g. New Hush Gorilla Glue Premium💩
45,45,21-02-2020 13:26:50,Tbilisi,ae784bef73,MDMA 0.8g + ketamine 0.3g ! VHQ,True,1,нет,Тбилиси,1.1 гр,0.0138,8860,3407,306,139.0,,,,,,,,,,,MDMA 0.8g + ketamine 0.3g ! VHQ
46,46,21-02-2020 13:26:50,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,3,нет,Тбилиси,2 гр,0.0077,5418,2083,187,85.0,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
47,47,21-02-2020 13:26:50,Tbilisi,21de5577be,2.0 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,3,нет,Тбилиси,2 гр,0.0082,5227,2010,181,82.0,True,,,,True,,,,,,2.0 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
48,48,21-02-2020 13:26:50,Tbilisi,64284550d9,2G -- AK-47 -> Sativa,True,12,нет,Тбилиси,2 гр,0.0069,4526,1740,157,71.0,True,,,,,,,,,,2G -- AK-47 -> Sativa
49,49,21-02-2020 13:26:50,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,5,нет,Тбилиси,2 гр,0.0079,5036,1936,174,79.0,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
50,50,21-02-2020 13:26:50,Tbilisi,cb721d4bca,"2gr mexica sativa марихуана шишки ,Оплата BITCOIN -10% Скидка.",True,6,нет,Тбилиси,2 гр,0.006999999999999999,4462,1716,154,70.0,,,,,,,,,,,"2gr mexica sativa marihuana shishki ,Oplata BITCOIN -10% Skidka."
51,51,21-02-2020 13:26:50,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,5,нет,Тбилиси,2 гр,0.0361,22947,8824,794,360.0,,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
52,52,21-02-2020 13:26:50,Tbilisi,1768a14bbd,Cocaine HQ Высокое качество 2020 SALE 2гр.,True,3,нет,Тбилиси,2 гр,0.0371,23584,9069,816,370.0,,,,,,,,,,,Cocaine HQ Vysokoe kachestvo 2020 SALE 2gr.
53,53,21-02-2020 13:26:50,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,3,нет,Тбилиси,2 гр,0.0346,22628,8701,783,355.0,True,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
54,54,21-02-2020 13:26:50,Tbilisi,3c4662c591,KALI MIST 2G,,3,нет,Тбилиси,2 гр,0.0099,6374,2451,220,100.0,True,,,,,,,,,,KALI MIST 2G
55,55,21-02-2020 13:26:50,Tbilisi,8219f5e7b8,Ketamine 2 g,True,2,нет,Тбилиси,2 гр,0.0181,11473,4412,397,180.0,,,,,,,,,,,Ketamine 2 g
56,56,21-02-2020 13:26:50,Tbilisi,8219f5e7b8,"LSD - 250 ug, 2 pieces",True,7,нет,Тбилиси,2 гр,0.006999999999999999,4462,1716,154,70.0,,,,,,,,,,,"LSD - 250 ug, 2 pieces"
57,57,21-02-2020 13:26:50,Tbilisi,c72111ac1a,NZT-52 mind storm limited 2г мука,True,1,нет,Тбилиси,2 гр,0.0199,14023,5392,485,220.0,,,,,,,,,,,NZT-52 mind storm limited 2g muka
58,58,21-02-2020 13:26:50,Tbilisi,edfbad0151,Pineapple Express 2G pressed buds only (hydro),True,2,нет,Тбилиси,2 гр,0.0083,5418,2083,187,85.0,,,,,,,,,,,Pineapple Express 2G pressed buds only (hydro)
59,59,21-02-2020 13:26:50,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,3,нет,Тбилиси,2 гр,0.0347,22246,8554,769,349.0,,,,True,,,,,,,Kokain KOLUMBIA 2g
60,60,21-02-2020 13:26:50,Tbilisi,7ee4f68218,🍃 2гр ГАШИШ 🍃,True,4,нет,Тбилиси,2 гр,0.0105,7012,2696,243,110.0,,,,,,,,,,,🍃 2gr GAShISh 🍃
