,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Дигоми,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
20,20,18-03-2020 17:38:13,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,,2,нет,Тбилиси,2 гр,0.0135,6100,2236,187,79.0,True,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
21,21,18-03-2020 17:38:13,Tbilisi,64284550d9,2G ---> Plan,,40,нет,Тбилиси,2 гр,0.0051,2316,849,71,30.0,True,,,,,,,,,,2G ---> Plan
22,22,18-03-2020 17:38:13,Tbilisi,f4d1c31614,2g hybrid buds INDICA,True,3,нет,Тбилиси,2 гр,0.0147,6949,2547,213,90.0,,,,,,,,,,,2g hybrid buds INDICA
23,23,18-03-2020 17:38:13,Tbilisi,0dec0e1c48,2gr Marijuana Buds -INDICA-,True,2,нет,Тбилиси,2 гр,0.0106,4787,1755,147,62.0,,,,,,,,,,,2gr Marijuana Buds -INDICA-
24,24,18-03-2020 17:38:13,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,,1,нет,Тбилиси,2 гр,0.0621,27797,10188,852,360.0,True,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
25,25,18-03-2020 17:38:13,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2g BTC SALE 5% ПОДЪЕЗД!!! НА МАГНИТЕ!!!,,3,нет,Тбилиси,2 гр,0.06,27411,10047,840,355.0,,,True,,,,,,,,Columbia Cocaine VHQ 2g BTC SALE 5% POD'EZD!!! NA MAGNITE!!!
26,26,18-03-2020 17:38:13,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,,1,нет,Тбилиси,2 гр,0.0605,30113,11037,923,390.0,True,,,,,,,,,,VHQ BEST Cocaine 2g.
27,27,18-03-2020 17:38:13,Tbilisi,be97026d1d,ГАШИШ твердый!!! Hash!!!! !!BTC SALE 5%!! ПОДЪЕЗД!!!,,1,нет,Тбилиси,2 гр,0.022000000000000002,9960,3651,305,129.0,,,True,,,,,,,,GAShISh tverdyj!!! Hash!!!! !!BTC SALE 5%!! POD'EZD!!!
28,28,18-03-2020 17:38:13,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),,1,нет,Тбилиси,3 гр,0.0414,19524,7130,606,,True,,,230.0,,,,,,,3 gr mdma (skidka v bitkoin 5%)
29,29,18-03-2020 17:38:13,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,,4,нет,Тбилиси,3 гр,0.0181,8107,2972,249,105.0,True,,,,,,,,,,3x Extasy Duracell 223mg MDMA
