,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Didube,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
49,49,27-04-2020 23:03:18,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1391,81946,30085,2709,1100.0,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
50,50,27-04-2020 23:03:18,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3035,178790,65640,5911,2400.0,,,,,,,,,,100 gr marijuana buds
51,51,27-04-2020 23:03:18,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2529,148992,54700,4926,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
52,52,27-04-2020 23:03:18,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3162,186240,68375,6158,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
53,53,27-04-2020 23:03:18,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.7461,439526,161365,14532,5900.0,,,,,,,,,,180 gr marihuana persoalno
54,54,27-04-2020 23:03:18,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5817,342682,125810,11330,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
55,55,27-04-2020 23:03:18,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.9485,558720,205125,18473,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
56,56,27-04-2020 23:03:18,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.0749,633216,232475,20936,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
57,57,27-04-2020 23:03:18,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.023,14899,5470,493,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
58,58,27-04-2020 23:03:18,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0253,14899,5470,493,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
59,59,27-04-2020 23:03:18,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0316,18624,6838,616,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
60,60,27-04-2020 23:03:18,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0253,14899,5470,493,200.0,,,,,,,,,,Rabota na marki (kur'er)
61,61,27-04-2020 23:03:18,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.9142,1117440,410250,36945,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
62,62,27-04-2020 23:05:16,Batumi,54915c4374,Батуми н-бооом 4 штуки,,1,нет,Батуми,4 гр,0.0069,4442,1628,146,,,,,55.0,,,True,,,Batumi n-booom 4 shtuki
63,63,27-04-2020 23:05:16,Batumi,54915c4374,Батуми н-бооом 10 штук,,2,нет,Батуми,10 гр,0.0125,8076,2960,265,,,,,100.0,,,True,,,Batumi n-booom 10 shtuk
64,64,27-04-2020 23:05:16,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2782,163891,60170,5419,2200.0,,,,,,,True,,,[100g] SPAIN HASH
65,65,27-04-2020 23:05:16,Batumi,f8a875c191,METADON - 20 G.,,нет,1,Батуми,20 гр,0.6386,372480,136750,12315,5000.0,,,,,,,True,,,METADON - 20 G.
66,66,27-04-2020 23:05:16,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0115,7450,2735,246,100.0,,,,,,,True,,,kur'er v Batumi
67,67,27-04-2020 23:05:16,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0287,18624,6838,616,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
68,68,27-04-2020 23:05:16,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0287,18624,6838,616,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
69,69,27-04-2020 23:05:16,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.9142,1117440,410250,36945,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
70,70,27-04-2020 23:05:16,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0632,37248,13675,1232,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
71,71,27-04-2020 23:06:40,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0236,14080,5169,466,189.0,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
72,72,27-04-2020 23:06:40,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0611,36056,13237,1192,484.0,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
73,73,27-04-2020 23:06:40,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0421,24807,9108,820,333.0,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
74,74,27-04-2020 23:06:40,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0253,14899,5470,493,200.0,,,,,,,,,True,Rabota na marki (kur'er)
