,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Vake,Didube,Vazisubani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
10,10,20-05-2020 17:09:09,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,4,нет,Тбилиси,3 гр,0.0122,8608,3190,288,119.0,,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
11,11,20-05-2020 17:09:09,Tbilisi,366326d4d6,3LSD ---- LSD ALBERT HOFFMAN 200ug,True,1,нет,Тбилиси,3 гр,0.0122,8608,3190,288,119.0,,,,,,,,,,,,3LSD ---- LSD ALBERT HOFFMAN 200ug
12,12,20-05-2020 17:09:09,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,6,нет,Тбилиси,3 гр,0.0108,7596,2815,254,105.0,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
13,13,20-05-2020 17:09:09,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,2,нет,Тбилиси,3 гр,0.0122,8608,3190,288,119.0,,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
14,14,20-05-2020 17:09:09,Tbilisi,dd631c4acf,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,,1,нет,Тбилиси,3 гр,0.0118,8319,3083,278,115.0,True,,,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
15,15,20-05-2020 17:09:09,Tbilisi,eb7e03535b,Cocaine Pure VHQ 5g.,True,1,нет,Тбилиси,5 гр,0.1169,83189,30832,2778,1150.0,,,,,,,,,,,,Cocaine Pure VHQ 5g.
16,16,20-05-2020 17:09:09,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.1133,83189,30832,2778,1150.0,,,,,,,,,,,,VHQ BEST Cocaine 5g.
17,17,20-05-2020 17:09:09,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,4,нет,Тбилиси,10 гр,0.0202,14395,5335,481,199.0,,,,,True,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
18,18,20-05-2020 17:09:09,Tbilisi,9610a68a0a,GABAGAMA 10 SHTUK,True,1,нет,Тбилиси,10 гр,0.0014,1085,402,36,15.0,,,,,,,,,,,,GABAGAMA 10 SHTUK
19,19,20-05-2020 17:09:09,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,1,нет,Тбилиси,10 гр,0.0444,32552,12065,1087,450.0,,,,,,,,,,,,Gashish Evro 10gr
20,20,20-05-2020 17:09:09,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0758,56207,20831,1877,777.0,,,,,,,,,,,,Gashish Evro 20gr
21,21,20-05-2020 17:09:09,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1848,144676,53620,4832,2000.0,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
22,22,20-05-2020 17:09:09,Tbilisi,54915c4374,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,9,Тбилиси,0.2 гр,0.01,7126,2633,238,,,,,,,90.0,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
23,23,20-05-2020 17:09:09,Tbilisi,54915c4374,"MDMA ""цунами удовольствия) 0.5 грамм",True,нет,10,Тбилиси,0.5 гр,0.0081,5787,2145,193,80.0,,,,,,,,,,,,"MDMA ""tsunami udovol'stvija) 0.5 gramm"
24,24,20-05-2020 17:09:09,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.0163,11574,4290,387,160.0,,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
25,25,20-05-2020 17:09:09,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,1,Тбилиси,2 гр,0.0379,26693,9893,891,369.0,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
26,26,20-05-2020 17:09:09,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,8,Тбилиси,3 гр,0.0594,41884,15523,1399,579.0,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
27,27,20-05-2020 17:09:09,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0407,28935,10724,966,400.0,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
28,28,20-05-2020 17:09:09,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0142,10127,3753,338,140.0,True,,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
29,29,20-05-2020 17:09:09,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0559,39786,14746,1329,550.0,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
30,30,20-05-2020 17:09:09,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,9,Тбилиси,5 гр,0.0239,16999,6300,568,235.0,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
31,31,20-05-2020 17:09:09,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0244,17361,6434,580,240.0,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
32,32,20-05-2020 17:09:09,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,9,Тбилиси,5 гр,0.0234,16638,6166,556,230.0,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
33,33,20-05-2020 17:09:09,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0162,11502,4263,384,159.0,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
34,34,20-05-2020 17:09:52,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0162,11502,4263,384,159.0,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
35,35,20-05-2020 17:09:52,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0244,17361,6434,580,240.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
36,36,20-05-2020 17:09:52,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0244,17361,6434,580,240.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
37,37,20-05-2020 17:09:52,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0234,16638,6166,556,230.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
38,38,20-05-2020 17:09:52,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0203,15842,5871,529,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
39,39,20-05-2020 17:09:52,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0239,16999,6300,568,235.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
40,40,20-05-2020 17:09:52,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,1,Тбилиси,5 гр,0.0163,11574,4290,387,160.0,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
41,41,20-05-2020 17:09:52,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2432,190000,87429,6343,,,,,,,,,,,,,reagent 25i nbome. 5gr
42,42,20-05-2020 17:09:52,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2778,217014,80430,7248,3000.0,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
43,43,20-05-2020 17:09:52,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.0987,69372,25711,2317,959.0,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
44,44,20-05-2020 17:09:52,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0195,13744,5094,459,190.0,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
45,45,20-05-2020 17:09:52,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,4,Тбилиси,5 гр,0.0503,35373,13110,1181,489.0,,,,,,,,,,,,💘✨5g. MDMA ✨💘
46,46,20-05-2020 17:09:52,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0917,65104,24129,2174,900.0,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
47,47,20-05-2020 17:09:52,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0407,28935,10724,966,400.0,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
48,48,20-05-2020 17:09:52,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0713,50637,18767,1691,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
49,49,20-05-2020 17:09:52,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0428,30382,11260,1015,420.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
50,50,20-05-2020 17:09:52,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,38,Тбилиси,10 гр,0.0102,7234,2681,242,100.0,,,,,,,,,,,,10G Hybrid Marijuana Leafs
51,51,20-05-2020 17:09:52,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0815,57870,21448,1933,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
52,52,20-05-2020 17:09:52,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0295,20978,7775,701,290.0,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
53,53,20-05-2020 17:09:52,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2266,160952,59652,5375,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
54,54,20-05-2020 17:09:52,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1604,112775,41797,3766,1559.0,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
55,55,20-05-2020 17:09:52,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.038,26693,9893,891,369.0,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
56,56,20-05-2020 17:09:52,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0324,22787,8445,761,315.0,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
57,57,20-05-2020 17:09:52,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5144,361691,134050,12080,5000.0,,,,,,,,,,,,METADON - 20 G.
58,58,20-05-2020 17:09:52,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0616,43331,16059,1447,599.0,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
59,59,20-05-2020 17:09:52,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.11199999999999999,79572,29491,2657,1100.0,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
60,60,20-05-2020 17:09:52,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2445,173611,64344,5798,2400.0,,,,,,,,,,,,100 gr marijuana buds
61,61,20-05-2020 17:09:52,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2037,144676,53620,4832,2000.0,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
62,62,20-05-2020 17:09:52,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2546,180845,67025,6040,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
63,63,20-05-2020 17:09:52,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.601,426795,158179,14254,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
64,64,20-05-2020 17:09:52,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4686,332755,123326,11113,4600.0,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
65,65,20-05-2020 17:09:52,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7639,542536,201075,18119,7500.0,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
66,66,20-05-2020 17:09:52,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8658,614874,227885,20535,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
67,67,20-05-2020 17:09:52,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0185,14468,5362,483,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
68,68,20-05-2020 17:09:52,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 4500$ в месяц, залог от 400$",True,1,нет,Тбилиси,1 гр,0.0407,28935,10724,966,400.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 4500$ v mesjats, zalog ot 400$"
69,69,20-05-2020 17:10:21,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0255,18085,6703,604,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
70,70,20-05-2020 17:10:21,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5413,1085072,402150,36239,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
71,71,20-05-2020 17:11:44,Batumi,be97026d1d,ГАШИШ твердый!!! Hash!!!! 0.5 g !!! SALE!!! !!! БАТУМИ !!! BTC SALE 5%!!!,,11,нет,Батуми,0.5 гр,0.0061,4340,1609,145,60.0,,,,,,,,,True,,,GAShISh tverdyj!!! Hash!!!! 0.5 g !!! SALE!!! !!! BATUMI !!! BTC SALE 5%!!!
72,72,20-05-2020 17:11:44,Batumi,be97026d1d,ГАШИШ твердый!!! Hash!!!! 1 g !!! SALE!!! !!! БАТУМИ !!! BTC SALE 5%!!!,,4,нет,Батуми,1 гр,0.0106,7596,2815,254,105.0,,,,,,,,,True,,,GAShISh tverdyj!!! Hash!!!! 1 g !!! SALE!!! !!! BATUMI !!! BTC SALE 5%!!!
73,73,20-05-2020 17:11:44,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2239,159144,58982,5315,2200.0,,,,,,,,,True,,,[100g] SPAIN HASH
74,74,20-05-2020 17:11:44,Batumi,54915c4374,Батуми н-бооом 2 штуки,,нет,10,Батуми,2 гр,0.0037,2613,965,87,,,,,,,33.0,,,True,,,Batumi n-booom 2 shtuki
75,75,20-05-2020 17:11:44,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.159,112990,51992,3772,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
76,76,20-05-2020 17:11:44,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2517,178900,82321,5972,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
77,77,20-05-2020 17:11:44,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0093,7234,2681,242,100.0,,,,,,,,,True,,,kur'er v Batumi
78,78,20-05-2020 17:11:44,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0231,18085,6703,604,250.0,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
79,79,20-05-2020 17:11:44,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0231,18085,6703,604,250.0,,,,,,,,,True,,,Ischu kur'era v Gruzii!
80,80,20-05-2020 17:11:44,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5406,1085072,402150,36239,15000.0,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
81,81,20-05-2020 17:11:44,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0509,36169,13405,1208,500.0,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
82,82,20-05-2020 17:13:29,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0487,35084,13003,1172,485.0,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
83,83,20-05-2020 17:13:29,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,8,нет,Кутаиси,3 гр,0.0372,26765,9920,894,370.0,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
84,84,20-05-2020 17:13:29,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0203,14468,5362,483,200.0,,,,,,,,,,,True,Rabota na marki (kur'er)
