,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,€,Nadzaladevi,Old Tbilisi (Старый город),Дигоми,Авлобари,Батуми,Центр,Кутаиси,desc_en
40,16-04-2020 05:44:00,Tbilisi,U26MW,Skyhigh,1 штука Ecstasy grey duracell 240 mg NEW!,,нет,3,Тбилиси,1 гр,0.0058,3096,1155,103,42,True,,,,,,,,,,,1 shtuka Ecstasy grey duracell 240 mg NEW!
41,16-04-2020 05:44:00,Tbilisi,A3I9,Joookerrr,Бупренорфин!!! Аналог суботекса!!! 1 грамм (порошок),True,нет,1,Тбилиси,1 гр,0.0137,8067,2995,268,,,,,100,,,,,,,,Buprenorfin!!! Analog suboteksa!!! 1 gramm (poroshok)
42,16-04-2020 05:44:00,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,10,Тбилиси,2 гр,0.0512,27201,10148,904,369,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
43,16-04-2020 05:44:00,Tbilisi,F1CR,PvPalpha,Ск синий крис очень сильный 3гр,,нет,3,Тбилиси,3 гр,0.0412,24326,9075,809,330,True,,,,,,,,,,,Sk sinij kris ochen' sil'nyj 3gr
44,16-04-2020 05:44:00,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0819,43492,16225,1446,590,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
45,16-04-2020 05:44:00,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.055,29486,11000,980,400,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
46,16-04-2020 05:44:00,Tbilisi,JVZTQ,partyshop,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,3,Тбилиси,5 гр,0.022,11794,4400,392,160,,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
47,16-04-2020 05:44:00,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0756,40543,15125,1348,550,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
48,16-04-2020 05:44:00,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.0234,12531,4675,417,170,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
49,16-04-2020 05:44:00,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0274,14669,5473,488,199,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
50,16-04-2020 05:44:00,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0274,14669,5473,488,199,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
51,16-04-2020 05:44:00,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0274,16143,6023,537,219,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
52,16-04-2020 05:44:00,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0274,14669,5473,488,199,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
