,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Didube,Gldani,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Дигоми,Vazisubani,Nadzaladevi,Tbilisis Zgva,€,Батуми,Центр,Кутаиси,desc_en
39,23-04-2020 19:54:35,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.1041,60103,21800,1996,800,,,,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
40,23-04-2020 19:54:35,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2896,167162,60631,5551,2225,,,,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
41,23-04-2020 19:54:35,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.1905,108862,39485,3615,1449,,,,,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
42,23-04-2020 19:54:35,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0485,27723,10055,921,369,,,,,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
43,23-04-2020 19:54:35,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0393,22464,8148,746,299,,,,,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
44,23-04-2020 19:54:35,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0787,45002,16323,1494,599,,,,,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
45,23-04-2020 19:54:35,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1432,82642,29975,2744,1100,,,,,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
46,23-04-2020 19:54:35,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3124,180310,65400,5988,2400,,,,,,,,,,,,,,,,100 gr marijuana buds
47,23-04-2020 19:54:35,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2603,150258,54500,4990,2000,,,,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
48,23-04-2020 19:54:35,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3254,187823,68125,6237,2500,,,,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
49,23-04-2020 19:54:35,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.768,443261,160775,14720,5900,,,,,,,,,,,,,,,,180 gr marihuana persoalno
