,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Vake,€,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
42,29-03-2020 00:15:15,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Wholesale,True,1,нет,Тбилиси,10 гр,0.029,15469,5672,513,199,,,,,,,,,,,,10 gr georgian weed. Wholesale
43,29-03-2020 00:15:15,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,True,3,нет,Тбилиси,10 гр,0.0349,18578,6812,616,239,,,,,,,,,,,,10 gr marijuana buds. -indica-
44,29-03-2020 00:15:15,Tbilisi,ABOAB,ProGrow,10G ---> ONLY BUDS,,1,нет,Тбилиси,10 гр,0.0306,16324,5985,541,210,True,,,,,,,,,,,10G ---> ONLY BUDS
45,29-03-2020 00:15:15,Tbilisi,5ZOKU,AGROHUUB,"10g. Шишки Amnesia Haze, Сатива",True,2,нет,Тбилиси,10 гр,0.0582,31015,11372,1028,399,,,,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
46,29-03-2020 00:15:15,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0532,28372,10403,940,365,,,,,True,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
47,29-03-2020 00:15:15,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0389,20755,7610,688,267,True,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
48,29-03-2020 00:15:15,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,,1,нет,Тбилиси,10 гр,0.056,31093,11400,1030,400,True,,,,,,,,,,,gashish evro 10g
49,29-03-2020 00:15:15,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 25g SALE!!!,,1,нет,Тбилиси,25 гр,0.1822,97088,35597,3217,1249,,,,,,True,,,,,,MDMA from Europe!!! 25g SALE!!!
50,29-03-2020 00:15:15,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2652,155465,57000,5151,2000,True,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
51,29-03-2020 00:15:15,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,100 гр,0.053,31093,11400,1030,400,,,,,,,True,,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
