,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Saburtalo,Vake,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
37,37,14-02-2020 23:48:42,Tbilisi,7c395c455d,2 gr mdma Кристаллы очен силни импорт с европи,True,1,нет,Тбилиси,2 гр,0.0207,13960,5421,484,220.0,,,,,,,,,,2 gr mdma Kristally ochen silni import s evropi
38,38,14-02-2020 23:48:42,Tbilisi,21de5577be,2 gr. Blue Berry Kush 100% Natural/Indika/ Import,,1,нет,Тбилиси,2 гр,0.0075,5076,1971,176,80.0,,True,,,,,,,,2 gr. Blue Berry Kush 100% Natural/Indika/ Import
39,39,14-02-2020 23:48:42,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,9,нет,Тбилиси,2 гр,0.0075,5013,1947,174,79.0,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
40,40,14-02-2020 23:48:42,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,4,нет,Тбилиси,2 гр,0.0343,22843,8870,792,360.0,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
41,41,14-02-2020 23:48:42,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,1,нет,Тбилиси,2 гр,0.0328,22526,8747,781,355.0,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
42,42,14-02-2020 23:48:42,Tbilisi,ae784bef73,Gorilla Glue! 2G! NEW !,True,1,нет,Тбилиси,2 гр,0.0071,4759,1848,165,75.0,,,,,,,,,,Gorilla Glue! 2G! NEW !
43,43,14-02-2020 23:48:42,Tbilisi,3c4662c591,KALI MIST 2G,,5,нет,Тбилиси,2 гр,0.0094,6345,2464,220,100.0,,True,,,,,,,,KALI MIST 2G
44,44,14-02-2020 23:48:42,Tbilisi,8219f5e7b8,Ketamine 2 g,True,5,нет,Тбилиси,2 гр,0.0171,11422,4435,396,180.0,,,,,,,,,,Ketamine 2 g
45,45,14-02-2020 23:48:42,Tbilisi,8219f5e7b8,"LSD - 250 ug, 2 pieces",True,4,нет,Тбилиси,2 гр,0.0067,4442,1725,154,70.0,,,,,,,,,,"LSD - 250 ug, 2 pieces"
46,46,14-02-2020 23:48:42,Tbilisi,c72111ac1a,NZT-52 mind storm limited 2г мука,True,8,нет,Тбилиси,2 гр,0.0197,14594,5667,506,230.0,,,,,,,,,,NZT-52 mind storm limited 2g muka
47,47,14-02-2020 23:48:42,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,2,нет,Тбилиси,2 гр,0.0334,24747,9610,858,390.0,,,,,,,,,,VHQ BEST Cocaine 2g.
48,48,14-02-2020 23:48:42,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,5,нет,Тбилиси,2 гр,0.0329,22145,8599,768,349.0,,,True,,,,,,,Kokain KOLUMBIA 2g
49,49,14-02-2020 23:48:42,Tbilisi,366326d4d6,3 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!,True,4,нет,Тбилиси,3 гр,0.0104,6916,2686,240,109.0,,,,,,,,,,3 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!
50,50,14-02-2020 23:48:42,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,7,нет,Тбилиси,3 гр,0.01,6663,2587,231,105.0,,,,,,,,,,3x Extasy Duracell 223mg MDMA
51,51,14-02-2020 23:48:42,Tbilisi,c72111ac1a,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.0283,20940,8131,726,330.0,,,,,,,,,,NZT-52 mind storm limited 3g muka
52,52,14-02-2020 23:48:42,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,5,нет,Тбилиси,5 гр,0.0151,10089,3918,350,159.0,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
53,53,14-02-2020 23:48:42,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.0148,9835,3819,341,155.0,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
54,54,14-02-2020 23:48:42,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,11,нет,Тбилиси,5 гр,0.0167,11104,4312,385,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
55,55,14-02-2020 23:48:42,Tbilisi,0fa6c5b020,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,1,нет,Тбилиси,5 гр,0.0146,10787,4189,374,170.0,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
56,56,14-02-2020 23:48:42,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,4,нет,Тбилиси,5 гр,0.0151,10089,3918,350,159.0,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
57,57,14-02-2020 23:48:42,Tbilisi,366326d4d6,NEW !!! 5G White Widow !!! NEW,True,3,нет,Тбилиси,5 гр,0.0147,9772,3795,339,154.0,,,,,,,,,,NEW !!! 5G White Widow !!! NEW
58,58,14-02-2020 23:48:42,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,5 гр,0.0056,4124,1602,143,65.0,,,,,True,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
59,59,14-02-2020 23:48:42,Tbilisi,c225d2f67d,гашиш евро 5г,True,2,нет,Тбилиси,5 гр,0.019,13325,5174,462,210.0,,,,,,,,,,gashish evro 5g
60,60,14-02-2020 23:48:42,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0362,25381,9856,880,400.0,,,,,,,,,,gashish evro 10g
61,61,14-02-2020 23:48:42,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,19,нет,Тбилиси,10 гр,0.0086,6345,2464,220,100.0,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
62,62,14-02-2020 23:48:42,Tbilisi,84c8f0bee0,SALE 50% шишки 11гр. (наркуш феминиз),True,2,нет,Тбилиси,11 гр,0.013000000000000001,8757,3400,304,138.0,,,,,,,,,,SALE 50% shishki 11gr. (narkush feminiz)
63,63,14-02-2020 23:48:42,Tbilisi,436325081c,weed leaves 13gr +,True,2,нет,Тбилиси,13 гр,0.005,3680,1429,128,58.0,,,,,,,,,,weed leaves 13gr +
