,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Vake,Didube,Gldani,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
65,12-05-2020 13:22:29,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0409,9981,899,27259,369,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
66,12-05-2020 13:22:29,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5541,135250,12176,369363,5000,,,,,,,,,,,METADON - 20 G.
67,12-05-2020 13:22:29,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0664,16203,1459,44250,599,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
68,12-05-2020 13:22:29,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1207,29755,2679,81260,1100,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
69,12-05-2020 13:23:14,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2187,54100,4870,147745,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
70,12-05-2020 13:23:14,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2734,67625,6088,184681,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
71,12-05-2020 13:23:14,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6451,159595,14368,435848,5900,,,,,,,,,,,180 gr marihuana persoalno
72,12-05-2020 13:23:14,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.503,124430,11202,339814,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
73,12-05-2020 13:23:14,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8201,202875,18264,554044,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
74,12-05-2020 13:23:14,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9294,229925,20699,627916,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
75,12-05-2020 13:23:14,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0199,5410,487,14775,200,,,,,,,,,,,KURYER..500RUB.+BONUS
76,12-05-2020 13:23:14,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0219,5410,487,14775,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
77,12-05-2020 13:23:14,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0273,6763,609,18468,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
78,12-05-2020 13:23:14,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.655,405750,36528,1108088,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
79,12-05-2020 13:24:36,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2399,59510,5357,162520,2200,,,,,,,,True,,,[100g] SPAIN HASH
