,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Дигоми,Nadzaladevi,€,Varketili,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
36,36,11-02-2020 02:40:47,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,5,нет,Тбилиси,2 гр,0.0395,25445,9855,872,399.0,,True,,,,,,,,,,,Kokain KOLUMBIA 2g
37,37,11-02-2020 02:40:47,Tbilisi,013e75d78f,C O C A i N E 2 g +0.2 g падарка. SALE SALE SALE !!! BiG SALE BTC -10 %%%%,,1,нет,Тбилиси,2.2 гр,0.0396,25508,9880,874,400.0,,,,,,,True,,,,,,C O C A i N E 2 g +0.2 g padarka. SALE SALE SALE !!! BiG SALE BTC -10 %%%%
38,38,11-02-2020 02:40:47,Tbilisi,ad9cb826c6,"3 Grm Mdma , Purity A +++",True,3,нет,Тбилиси,3 гр,0.0198,14030,5434,481,220.0,,,,,,,,,,,,,"3 Grm Mdma , Purity A +++"
39,39,11-02-2020 02:40:47,Tbilisi,c72111ac1a,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.0297,21044,8151,721,330.0,,,,,,,,,,,,,NZT-52 mind storm limited 3g muka
40,40,11-02-2020 02:40:47,Tbilisi,9795761a65,*new* Cocaine peru HQ 5 gr BTC -10 %,True,2,нет,Тбилиси,5 гр,0.0874,62002,24020,2124,,,,,,888.0,,,,,,,,*new* Cocaine peru HQ 5 gr BTC -10 %
41,41,11-02-2020 02:40:47,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,2,нет,Тбилиси,5 гр,0.0058,4145,1606,142,65.0,,,,,,,,True,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
42,42,11-02-2020 02:40:47,Tbilisi,c225d2f67d,гашиш евро 5г,True,3,нет,Тбилиси,5 гр,0.0199,13392,5187,459,210.0,,,,,,,,,,,,,gashish evro 5g
43,43,11-02-2020 02:40:47,Tbilisi,edfbad0151,Morocco Hash Ice-Scream 5+1G High THc,True,1,нет,Тбилиси,6 гр,0.0351,23595,9139,808,370.0,,,,,,,,,,,,,Morocco Hash Ice-Scream 5+1G High THc
44,44,11-02-2020 02:40:47,Tbilisi,edfbad0151,"VHQ Cx Columbia Import 5G+1G High Quality ""Btc -10% Sale""",True,1,нет,Тбилиси,6 гр,0.0719,51017,19760,1748,800.0,,,,,,,,,,,,,"VHQ Cx Columbia Import 5G+1G High Quality ""Btc -10% Sale"""
45,45,11-02-2020 02:40:47,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.038,25508,9880,874,400.0,,,,,,,,,,,,,gashish evro 10g
46,46,11-02-2020 02:40:47,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,10,нет,Тбилиси,10 гр,0.009000000000000001,6377,2470,218,100.0,,,,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
47,47,11-02-2020 02:40:47,Tbilisi,9795761a65,* SALE * COCAINE Peru 11 gr BTC -50 %,True,2,нет,Тбилиси,11 гр,0.0911,116324,45065,3985,,,,,,1666.0,,,,,,,,* SALE * COCAINE Peru 11 gr BTC -50 %
48,48,11-02-2020 02:40:47,Tbilisi,436325081c,weed leaves 13gr +,True,3,нет,Тбилиси,13 гр,0.0059,4209,1630,144,66.0,,,,,,,,,,,,,weed leaves 13gr +
49,49,11-02-2020 02:40:47,Tbilisi,436325081c,georgian weed 15 gr salee !!!,True,1,нет,Тбилиси,15 гр,0.0123,8737,3384,299,137.0,,,,,,,,,,,,,georgian weed 15 gr salee !!!
50,50,11-02-2020 02:40:47,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0737,49550,19192,1698,777.0,,,,,,,,,,,,,Gashish Evro 20gr
51,51,11-02-2020 02:40:47,Tbilisi,9795761a65,* SALE *COCAINE Peru 20+2 gr BTC-50%,True,2,нет,Тбилиси,22 гр,0.1518,193897,75118,6643,,,,,,2777.0,,,,,,,,* SALE *COCAINE Peru 20+2 gr BTC-50%
52,52,11-02-2020 02:40:47,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,4,Тбилиси,0.27 гр,0.025,15943,6175,546,250.0,,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
53,53,11-02-2020 02:40:47,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,1,5,Тбилиси,0.35 гр,0.035,22320,8645,765,350.0,,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
54,54,11-02-2020 02:40:47,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0599,38262,14820,1311,600.0,,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
55,55,11-02-2020 02:40:47,Tbilisi,7c395c455d,2 gr mdma Кристаллы очен силни импорт с европи,True,нет,2,Тбилиси,2 гр,0.0218,14030,5434,481,220.0,,,,,,,,,,,,,2 gr mdma Kristally ochen silni import s evropi
56,56,11-02-2020 02:40:47,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.0396,25508,9880,874,400.0,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
57,57,11-02-2020 02:40:47,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,9,Тбилиси,5 гр,0.0237,15305,5928,524,240.0,,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
58,58,11-02-2020 02:40:47,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0247,15943,6175,546,250.0,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
59,59,11-02-2020 02:40:47,Tbilisi,ce030318fd,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.1348,95656,37050,3277,1500.0,,,,,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
60,60,11-02-2020 02:40:47,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0247,15943,6175,546,250.0,,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
