,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Varketili,Vazisubani,Zahesi,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
10,10,04-07-2020 23:13:01,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,2,нет,Тбилиси,1 гр,0.0063,4230,1641,145,,True,60.0,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
11,11,04-07-2020 23:13:01,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,3,нет,Тбилиси,1 гр,0.0062,4160,1614,143,,,59.0,,,,,True,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
12,12,04-07-2020 23:13:01,Tbilisi,64284550d9,1G ---> Pineapple (BTC - Sale),,3,нет,Тбилиси,1 гр,0.0052,3525,1368,121,,True,50.0,,,,,,,,,,1G ---> Pineapple (BTC - Sale)
13,13,04-07-2020 23:13:01,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,7,нет,Тбилиси,1 гр,0.0063,4230,1641,145,,,60.0,,,,,True,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
14,14,04-07-2020 23:13:01,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 1гр",True,1,нет,Тбилиси,1 гр,0.0052,3878,1504,133,,,55.0,,,,,,,,,,"Hindu Kush (photoperiod, regular) 1gr"
15,15,04-07-2020 23:13:01,Tbilisi,0cd3c52bb8,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,,1,нет,Тбилиси,1 гр,0.0052,3878,1504,133,,True,55.0,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
16,16,04-07-2020 23:13:01,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,2,нет,Тбилиси,2 гр,0.0126,8460,3282,291,,True,120.0,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
17,17,04-07-2020 23:13:01,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,1,нет,Тбилиси,3 гр,0.0091,6134,2379,211,,,87.0,,True,,,,,,,,3 gr georgian weed. Package on magnet
18,18,04-07-2020 23:13:01,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,4,нет,Тбилиси,3 гр,0.0058,3878,1504,133,,True,55.0,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
19,19,04-07-2020 23:13:01,Tbilisi,f374062dcd,Weed Сорт Purple 3гр,,1,нет,Тбилиси,3 гр,0.008,5922,2297,203,,True,84.0,,,,,,,,,,Weed Sort Purple 3gr
20,20,04-07-2020 23:13:01,Tbilisi,d04eeb6525,5г. GEO Марихуана бошки,,6,нет,Тбилиси,5 гр,0.0142,10504,4075,361,,True,149.0,,,,,,,,,,5g. GEO Marihuana boshki
21,21,04-07-2020 23:13:01,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,2,нет,Тбилиси,10 гр,0.025,16849,6537,579,,True,239.0,,,,,,,,,,10 gr georgian weed. Package on magnet
22,22,04-07-2020 23:13:01,Tbilisi,e56bb6ca93,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,1,нет,Тбилиси,10 гр,0.0136,9094,3528,312,,True,129.0,,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
23,23,04-07-2020 23:13:01,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,2,нет,Тбилиси,10 гр,0.0457,31725,12308,1090,,True,450.0,,,,,,,,,,Gashish Evro 10gr
24,24,04-07-2020 23:13:01,Tbilisi,7bd1a5deba,11+ GRAMM BEASTWEED NEW,,3,нет,Тбилиси,11 гр,0.0171,12690,4923,436,,True,180.0,,,,,,,,,,11+ GRAMM BEASTWEED NEW
25,25,04-07-2020 23:13:01,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0476,35250,13675,1211,,True,500.0,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
26,26,04-07-2020 23:13:01,Tbilisi,ae784bef73,Silver haze leaves листья 15гр sale,,8,нет,Тбилиси,15 гр,0.0068,4583,1778,157,,True,65.0,,,,,,,,,,Silver haze leaves list'ja 15gr sale
27,27,04-07-2020 23:13:01,Tbilisi,7bd1a5deba,25 GGAMM NEW BEASTWEED,,1,нет,Тбилиси,25 гр,0.0347,25732,9983,884,,True,365.0,,,,,,,,,,25 GGAMM NEW BEASTWEED
28,28,04-07-2020 23:13:01,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2112,141000,54700,4843,,True,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
29,29,04-07-2020 23:13:01,Tbilisi,54915c4374,Heroin (sirec) made from Azerbaijan 0.2 гр.,,нет,10,Тбилиси,0.2 гр,0.01,6768,2626,232,,True,96.0,,,,,,,,,,Heroin (sirec) made from Azerbaijan 0.2 gr.
30,30,04-07-2020 23:13:01,Tbilisi,54915c4374,Марки н-боооом!!! 1 шт.,,нет,7,Тбилиси,1 гр,0.0019,1269,492,44,,True,18.0,,,,,,,,,,Marki n-boooom!!! 1 sht.
31,31,04-07-2020 23:13:01,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (2гр)",,нет,4,Тбилиси,2 гр,0.0094,6345,2462,218,,True,90.0,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (2gr)"
32,32,04-07-2020 23:13:01,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 2г.,,нет,1,Тбилиси,2 гр,0.0105,7050,2735,242,,,100.0,True,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 2g.
33,33,04-07-2020 23:13:01,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,7,Тбилиси,2 гр,0.0527,35179,13648,1208,,True,499.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
34,34,04-07-2020 23:13:01,Tbilisi,54915c4374,Комбо!!! MDMA 0.2 + марки н боом 2 шт. (2.2 гр),,нет,8,Тбилиси,2.2 гр,0.0088,5942,2295,205,75.0,True,,,,,,,,,,,Kombo!!! MDMA 0.2 + marki n boom 2 sht. (2.2 gr)
35,35,04-07-2020 23:14:42,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (3 грамма)",,нет,2,Тбилиси,3 гр,0.0126,8460,3282,291,,True,120.0,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
36,36,04-07-2020 23:14:42,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,20,Тбилиси,3 гр,0.0793,52875,20513,1816,,True,750.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
37,37,04-07-2020 23:14:42,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,5,Тбилиси,4 гр,0.0419,28200,10940,969,,True,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
38,38,04-07-2020 23:14:42,Tbilisi,54915c4374,Combo!!! 2 Ecztazy and 2 N-BooM (4 штуки),,нет,8,Тбилиси,4 гр,0.0126,8460,3282,291,,True,120.0,,,,,,,,,,Combo!!! 2 Ecztazy and 2 N-BooM (4 shtuki)
39,39,04-07-2020 23:14:42,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0262,17625,6838,605,,True,250.0,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
40,40,04-07-2020 23:14:42,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0575,38775,15043,1332,,True,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
41,41,04-07-2020 23:14:42,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0282,19035,7385,654,,True,270.0,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
42,42,04-07-2020 23:14:42,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0293,19740,7658,678,,True,280.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
43,43,04-07-2020 23:14:42,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0288,19387,7521,666,,True,275.0,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
44,44,04-07-2020 23:14:42,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0251,16920,6564,581,,True,240.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
45,45,04-07-2020 23:14:42,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0293,19740,7658,678,,True,280.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
46,46,04-07-2020 23:14:42,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0282,19035,7385,654,,True,270.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
47,47,04-07-2020 23:14:42,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0208,15439,5990,530,,True,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
48,48,04-07-2020 23:14:42,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0282,19035,7385,654,,True,270.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
49,49,04-07-2020 23:14:42,Tbilisi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Тбилиси,5 гр,0.1569,105750,41025,3632,,True,1500.0,,,,,,,,,,Gerojn (sirets) 5 gr
50,50,04-07-2020 23:14:42,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,1,Тбилиси,5 гр,0.0262,17625,6838,605,,,250.0,True,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
51,51,04-07-2020 23:14:42,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2563,190000,87429,6528,,True,,,,,,,,,,,reagent 25i nbome. 5gr
52,52,04-07-2020 23:14:42,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2853,211500,82050,7264,,,3000.0,,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
53,53,04-07-2020 23:14:42,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,7,Тбилиси,5 гр,0.132,88054,34160,3024,,True,1249.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
54,54,04-07-2020 23:14:42,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,4,Тбилиси,5 гр,0.0211,14100,5470,484,,True,200.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
55,55,04-07-2020 23:14:42,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0942,63450,24615,2179,,True,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
56,56,04-07-2020 23:14:42,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0575,38775,15043,1332,,True,550.0,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
57,57,04-07-2020 23:14:42,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0732,49350,19145,1695,,True,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
58,58,04-07-2020 23:14:42,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0439,29610,11487,1017,,True,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
59,59,04-07-2020 23:14:42,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0837,56400,21880,1937,,True,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
60,60,04-07-2020 23:14:42,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,8,Тбилиси,10 гр,0.0366,24675,9573,847,,True,350.0,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
61,61,04-07-2020 23:14:42,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2328,156862,60854,5388,,True,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
62,62,04-07-2020 23:14:42,Tbilisi,54915c4374,Марки н-боом 10 шт.,,нет,7,Тбилиси,10 гр,0.0105,7050,2735,242,,True,100.0,,,,,,,,,,Marki n-boom 10 sht.
63,63,04-07-2020 23:14:42,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,7,Тбилиси,10 гр,0.2641,176179,68348,6051,,True,2499.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
64,64,04-07-2020 23:14:42,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,15,Тбилиси,10 гр,0.0423,28200,10940,969,,True,400.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
65,65,04-07-2020 23:14:42,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,1,Тбилиси,11 гр,0.0463,30896,11934,1065,390.0,True,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
66,66,04-07-2020 23:14:42,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,20,Тбилиси,20 гр,0.0845,56400,21880,1937,,True,800.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
67,67,04-07-2020 23:14:42,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2511,169200,65640,5811,,True,2400.0,,,,,,,,,,100 gr marijuana buds
68,68,04-07-2020 23:14:42,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2616,176250,68375,6054,,True,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
69,69,04-07-2020 23:14:43,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6173,415949,161365,14286,,True,5900.0,,,,,,,,,,180 gr marihuana persoalno
70,70,04-07-2020 23:16:44,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6185,415949,161365,14286,,True,5900.0,,,,,,,,,,180 gr marihuana persoalno
71,71,04-07-2020 23:16:44,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8909999999999999,599249,232475,20582,,True,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
72,72,04-07-2020 23:16:44,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0191,14100,5470,484,,True,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
73,73,04-07-2020 23:16:44,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0262,17625,6838,605,,True,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
74,74,04-07-2020 23:16:44,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.021,14100,5470,484,,True,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
75,75,04-07-2020 23:16:44,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0262,17625,6838,605,,True,250.0,,,,,,,,,,Rabota na marki (kur'er)
76,76,04-07-2020 23:16:44,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5866,1057499,410250,36321,,True,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
77,77,04-07-2020 23:19:36,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 1г,,4,нет,Батуми,1 гр,0.0063,4230,1641,145,,,60.0,,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 1g
78,78,04-07-2020 23:19:36,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,17,нет,Батуми,2 гр,0.0058,3878,1504,133,,,55.0,,,,,,,,True,,Melkie shishki (Indica) 2g
79,79,04-07-2020 23:19:36,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 2pc 🎭🔮🧞‍♀️",,7,нет,Батуми,2 гр,0.0119,7922,3060,273,100.0,,,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 2pc 🎭🔮🧞‍♀️"
80,80,04-07-2020 23:19:36,Batumi,f8a875c191,METADON - 0.25 - SALE,,нет,9,Батуми,0.25 гр,0.0265,17625,6838,605,,,250.0,,,,,,,,True,,METADON - 0.25 - SALE
81,81,04-07-2020 23:19:36,Batumi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Батуми,5 гр,0.1575,105750,41025,3632,,,1500.0,,,,,,,,True,,Gerojn (sirets) 5 gr
82,82,04-07-2020 23:19:36,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0465,30896,11934,1065,390.0,,,,,,,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
83,83,04-07-2020 23:19:36,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,5,Батуми,11 гр,0.05,33273,12852,1147,420.0,,,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
84,84,04-07-2020 23:19:36,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1684,112990,51992,3882,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
85,85,04-07-2020 23:19:36,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2666,178900,82321,6147,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
86,86,04-07-2020 23:19:36,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,7050,2735,242,,,100.0,,,,,,,,True,,kur'er v Batumi
87,87,04-07-2020 23:19:36,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0239,17625,6838,605,,,250.0,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
88,88,04-07-2020 23:19:36,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0239,17625,6838,605,,,250.0,,,,,,,,True,,Ischu kur'era v Gruzii!
89,89,04-07-2020 23:19:36,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.021,14100,5470,484,,,200.0,,,,,,,,True,,Kur'er Batumi na marihuanu
90,90,04-07-2020 23:19:36,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5891,1057499,410250,36321,,,15000.0,,,,,,,,True,,Vakansija optovogo kur'era na mef
91,91,04-07-2020 23:19:36,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0525,35250,13675,1211,,,500.0,,,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
