,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Gldani,Saburtalo,Vake,€,Дигоми,Tbilisis Zgva,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
10,10,14-03-2020 17:44:22,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,1,нет,Тбилиси,1 гр,0.0817,40254,14790,1287,550.0,,,,,,,,,,,,,Metadon VHQ 1 24/7
11,11,14-03-2020 17:44:22,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! BUDS ! 1G,True,1,нет,Тбилиси,1 гр,0.0074,3293,1210,105,45.0,,,,,,,,,,,,,NEW ! Super Critical ! NEW ! BUDS ! 1G
12,12,14-03-2020 17:44:22,Tbilisi,edfbad0151,THC Snow Buds Only 1G (THC 23+%),True,10,нет,Тбилиси,1 гр,0.0076,3440,1264,110,47.0,,,,,,,,,,,,,THC Snow Buds Only 1G (THC 23+%)
13,13,14-03-2020 17:44:22,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1337,65869,24201,2106,900.0,,,,,,,,,,,,,Metadon 1gr
14,14,14-03-2020 17:44:22,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,14,нет,Тбилиси,1 гр,0.003,1464,538,47,20.0,,True,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
15,15,14-03-2020 17:44:22,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,True,1,нет,Тбилиси,2 гр,0.0104,5123,1882,164,70.0,,,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
16,16,14-03-2020 17:44:22,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,11,нет,Тбилиси,2 гр,0.0134,6587,2420,211,90.0,,,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
17,17,14-03-2020 17:44:22,Tbilisi,64284550d9,2G ---> Plan,,7,нет,Тбилиси,2 гр,0.0042,1903,699,61,26.0,,,True,,,,,,,,,,2G ---> Plan
18,18,14-03-2020 17:44:22,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,3,нет,Тбилиси,2 гр,0.013000000000000001,5782,2124,185,79.0,,True,,,,,,,,,,,2g super Skunk top class buds. Indica
19,19,14-03-2020 17:44:22,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,1,нет,Тбилиси,2 гр,0.0594,27738,10191,887,379.0,,,,,,,,,,,,,Kokain HQ 2g.
20,20,14-03-2020 17:44:22,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 2г.,,1,нет,Тбилиси,2 гр,0.0147,6587,2420,211,90.0,,,,True,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 2g.
21,21,14-03-2020 17:44:22,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,3 гр,0.0439,20465,7488,654,,,,,,250.0,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
22,22,14-03-2020 17:44:22,Tbilisi,64284550d9,3G ---> Plan,,18,нет,Тбилиси,3 гр,0.0064,2854,1049,91,39.0,,,True,,,,,,,,,,3G ---> Plan
23,23,14-03-2020 17:44:22,Tbilisi,dd631c4acf,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,True,1,нет,Тбилиси,3 гр,0.019,8417,3092,269,115.0,,,,,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
24,24,14-03-2020 17:44:22,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки,True,8,нет,Тбилиси,4 гр,0.0089,4391,1613,140,60.0,,,,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki
25,25,14-03-2020 17:44:22,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,1,нет,Тбилиси,5 гр,0.0485,21956,8067,702,300.0,,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
26,26,14-03-2020 17:44:22,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0631,29470,10782,941,,,,,,360.0,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
27,27,14-03-2020 17:44:22,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.0289,12808,4706,410,175.0,,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
28,28,14-03-2020 17:44:22,Tbilisi,be97026d1d,Columbia Cocaine VHQ 5g BTC SALE 5%!!,,3,нет,Тбилиси,5 гр,0.1286,57599,21162,1842,787.0,,,,,,True,,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
29,29,14-03-2020 17:44:22,Tbilisi,3814ba5701,Hybrid Gagarin. 5g.,,2,нет,Тбилиси,5 гр,0.0345,16101,5916,515,220.0,,,,,,,True,,,,,,Hybrid Gagarin. 5g.
30,30,14-03-2020 17:44:22,Tbilisi,0fa6c5b020,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,4,нет,Тбилиси,5 гр,0.0253,12442,4571,398,170.0,,,,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
31,31,14-03-2020 17:44:22,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,5,нет,Тбилиси,5 гр,0.0097,4757,1748,152,65.0,,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
32,32,14-03-2020 17:44:22,Tbilisi,be97026d1d,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,,4,нет,Тбилиси,5.5 гр,0.0718,32496,11939,1039,444.0,,,,,,True,,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
33,33,14-03-2020 17:44:22,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0596,26714,9815,854,365.0,True,,,,,,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
34,34,14-03-2020 17:44:22,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,1,нет,Тбилиси,10 гр,0.0436,19541,7180,625,267.0,,,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
35,35,14-03-2020 17:44:22,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,10 гр,0.0147,7246,2662,232,99.0,,True,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
36,36,14-03-2020 17:45:21,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,1,нет,Тбилиси,10 гр,0.0437,19541,7180,625,267.0,,,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
37,37,14-03-2020 17:45:21,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,10 гр,0.0147,7246,2662,232,99.0,,True,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
38,38,14-03-2020 17:45:21,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0629,29275,10756,936,400.0,,,,,,,,,,,,,gashish evro 10g
39,39,14-03-2020 17:45:21,Tbilisi,be97026d1d,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,,2,нет,Тбилиси,11 гр,0.1389,62064,22803,1984,848.0,,,,,,True,,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
40,40,14-03-2020 17:45:21,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - TBILISI- 0.27 G,True,10,5,Тбилиси,0.27 гр,0.0447,19761,7260,632,270.0,,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - TBILISI- 0.27 G
41,41,14-03-2020 17:45:21,Tbilisi,2dbb5960b9,Methadone HQ in city 1.4g,True,нет,1,Тбилиси,1.4 гр,0.1147,51232,18823,1638,700.0,,,,,,,,,,,,,Methadone HQ in city 1.4g
42,42,14-03-2020 17:45:21,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0976,43181,15865,1381,590.0,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
43,43,14-03-2020 17:45:21,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0655,29275,10756,936,400.0,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
44,44,14-03-2020 17:45:21,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0901,40254,14790,1287,550.0,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
45,45,14-03-2020 17:45:21,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,7,Тбилиси,5 гр,0.0256,11417,4195,365,156.0,,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
46,46,14-03-2020 17:45:21,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0326,14564,5351,466,199.0,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
47,47,14-03-2020 17:45:21,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0262,11710,4302,374,160.0,,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
48,48,14-03-2020 17:45:21,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0326,14564,5351,466,199.0,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
49,49,14-03-2020 17:45:21,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,1,Тбилиси,5 гр,0.0326,14564,5351,466,199.0,,,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
50,50,14-03-2020 17:45:21,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0238,10612,3899,339,145.0,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
51,51,14-03-2020 17:45:21,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0326,16028,5889,513,219.0,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
52,52,14-03-2020 17:45:21,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0496,21956,8067,702,300.0,,,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
53,53,14-03-2020 17:45:21,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,8,Тбилиси,5 гр,0.0246,10978,4034,351,150.0,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
54,54,14-03-2020 17:45:21,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.0298,14638,5378,468,200.0,,,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
55,55,14-03-2020 17:45:21,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3867,190000,87429,6072,,,,,,,,,,,,,,reagent 25i nbome. 5gr
56,56,14-03-2020 17:45:21,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.4468,219565,80670,7021,3000.0,,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
57,57,14-03-2020 17:45:21,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.1421,62869,23099,2010,859.0,,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
58,58,14-03-2020 17:45:21,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0306,13540,4975,433,185.0,,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
59,59,14-03-2020 17:45:21,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0809,35789,13149,1144,489.0,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
60,60,14-03-2020 17:45:21,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0544,24079,8847,770,329.0,,,,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
61,61,14-03-2020 17:45:21,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1475,65869,24201,2106,900.0,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
62,62,14-03-2020 17:45:21,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.1147,51232,18823,1638,700.0,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
63,63,14-03-2020 17:45:21,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0654,29202,10729,934,399.0,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
64,64,14-03-2020 17:45:21,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0579,25616,9412,819,350.0,,,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
65,65,14-03-2020 17:45:21,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1311,58551,21512,1872,800.0,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
66,66,14-03-2020 17:45:21,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3645,162844,59830,5207,2225.0,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
67,67,14-03-2020 17:45:21,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2398,106050,38964,3391,1449.0,,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
68,68,14-03-2020 17:45:51,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0492,21883,8040,700,299.0,,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
69,69,14-03-2020 17:45:51,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0985,43840,16107,1402,599.0,,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
70,70,14-03-2020 17:45:51,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1776,87826,32268,2808,1200.0,,,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
71,71,14-03-2020 17:45:51,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.3257,146376,53780,4680,2000.0,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
72,72,14-03-2020 17:45:51,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.3289,146376,53780,4680,2000.0,,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
73,73,14-03-2020 17:45:51,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.4071,182971,67225,5851,2500.0,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
74,74,14-03-2020 17:45:51,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2467,109782,40335,3510,1500.0,,,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
75,75,14-03-2020 17:45:51,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.7491,336666,123694,10765,4600.0,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
76,76,14-03-2020 17:45:51,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.2213,548912,201675,17552,7500.0,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
77,77,14-03-2020 17:45:51,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.3842,622100,228565,19892,8500.0,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
78,78,14-03-2020 17:45:51,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0296,14638,5378,468,200.0,,,,,,,,,,,,,KURYER..500RUB.+BONUS
79,79,14-03-2020 17:45:51,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0222,10978,4034,351,150.0,,,,,,,,,,,,,Rabota na marki (kur'er)
80,80,14-03-2020 17:45:51,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0326,14638,5378,468,200.0,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
81,81,14-03-2020 17:45:51,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0407,18297,6723,585,250.0,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
82,82,14-03-2020 17:45:51,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.4649,1097823,403350,35103,15000.0,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
83,83,14-03-2020 17:47:19,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.2467,109782,40335,3510,1500.0,,,,,,,,,,True,,,Skunk! 50 gr.
84,84,14-03-2020 17:47:19,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,1,16,Батуми,5 гр,0.0299,14638,5378,468,200.0,,,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
85,85,14-03-2020 17:47:19,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.3322,146376,53780,4680,2000.0,,,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
86,86,14-03-2020 17:47:19,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2492,109782,40335,3510,1500.0,,,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
87,87,14-03-2020 17:47:19,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.015,7319,2689,234,100.0,,,,,,,,,,True,,,kur'er v Batumi
88,88,14-03-2020 17:47:19,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0374,18297,6723,585,250.0,,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
89,89,14-03-2020 17:47:19,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0224,10978,4034,351,150.0,,,,,,,,,,True,,,Rabota na marki (kur'er)
90,90,14-03-2020 17:47:19,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0374,18297,6723,585,250.0,,,,,,,,,,True,,,Ischu kur'era v Gruzii!
91,91,14-03-2020 17:47:19,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.4893,1097823,403350,35103,15000.0,,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
92,92,14-03-2020 17:47:19,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0822,36594,13445,1170,500.0,,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
93,93,14-03-2020 17:48:33,Kutaisi,54915c4374,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0224,10978,4034,351,150.0,,,,,,,,,,,,True,Rabota na marki (kur'er)
