,time_stamp,region,sell_code,sell_name,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Дигоми,Saburtalo,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
51,30-05-2020 08:32:21,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2519,169805,64920,5784,2400,True,,,,,,,,,,100 gr marijuana buds
52,30-05-2020 08:32:21,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2099,141504,54100,4820,2000,True,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
53,30-05-2020 08:32:21,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2624,176880,67625,6025,2500,True,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
54,30-05-2020 08:32:21,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6192,417437,159595,14219,5900,True,,,,,,,,,,180 gr marihuana persoalno
55,30-05-2020 08:32:21,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4827,325459,124430,11086,4600,True,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
56,30-05-2020 08:32:21,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7871,530640,202875,18075,7500,True,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
57,30-05-2020 08:32:21,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.892,601392,229925,20485,8500,True,,,,,,,,,,10000sht marki 25i-nbome. predoplata
58,30-05-2020 08:32:21,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0191,14150,5410,482,200,True,,,,,,,,,,KURYER..500RUB.+BONUS
59,30-05-2020 08:32:21,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.021,14150,5410,482,200,True,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
60,30-05-2020 08:32:21,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0262,17688,6763,603,250,True,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
61,30-05-2020 08:32:21,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5884,1061280,405750,36150,15000,True,,,,,,,,,,Vakansija optovogo kur'era na mef
62,30-05-2020 08:33:49,Batumi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,2,1,Батуми,0.5 гр,0.009,6014,2299,205,85,,,,,,,True,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
63,30-05-2020 08:33:49,Batumi,A3I9,Joookerrr,Марки н-БоооооооМ 4 шт,,2,нет,Батуми,4 гр,0.0059,3962,1515,135,56,,,,,,,True,,,,Marki n-BoooooooM 4 sht
64,30-05-2020 08:33:49,Batumi,A3I9,Joookerrr,Марки н-боооом!!! 10 шт.,,1,нет,Батуми,10 гр,0.0106,7075,2705,241,100,,,,,,,True,,,,Marki n-boooom!!! 10 sht.
65,30-05-2020 08:33:49,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2321,155654,59510,5302,2200,,,,,,,,True,,,[100g] SPAIN HASH
66,30-05-2020 08:33:49,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0434,29716,11361,1012,420,,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
67,30-05-2020 08:33:49,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1685,112990,51992,3853,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
68,30-05-2020 08:33:49,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2668,178900,82321,6100,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
69,30-05-2020 08:33:49,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7075,2705,241,100,,,,,,,,True,,,kur'er v Batumi
70,30-05-2020 08:33:49,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.024,17688,6763,603,250,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
71,30-05-2020 08:33:49,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.024,17688,6763,603,250,,,,,,,,True,,,Ischu kur'era v Gruzii!
72,30-05-2020 08:33:49,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0293,19637,7488,669,,,,,,,,,True,250,,Rabota na marki (kur'er)
73,30-05-2020 08:33:49,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5969,1061280,405750,36150,15000,,,,,,,,True,,,Vakansija optovogo kur'era na mef
74,30-05-2020 08:33:49,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0528,35376,13525,1205,500,,,,,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
75,30-05-2020 08:35:05,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0408,27947,10685,952,395,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
76,30-05-2020 08:35:05,Kutaisi,EIH4,San4oPan4o,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!,,3,нет,Кутаиси,3 гр,0.0202,13797,5275,470,195,,,,,,,,,,True,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!
77,30-05-2020 08:35:05,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0293,19637,7488,669,,,,,,,,,,250,True,Rabota na marki (kur'er)
