,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Didube,Saburtalo,Gldani,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
57,13-05-2020 07:44:41,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2526,87429,6307,190000,,,,,,,,,,,,reagent 25i nbome. 5gr
58,13-05-2020 07:44:41,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2929,81000,7318,220298,3000,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
59,13-05-2020 07:44:41,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.104,25893,2339,70422,959,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
60,13-05-2020 07:44:41,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0206,5130,463,13952,190,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
61,13-05-2020 07:44:41,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.053,13203,1193,35909,489,,,,,,,,,,,💘✨5g. MDMA ✨💘
62,13-05-2020 07:44:41,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.0205,5103,461,13879,189,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
63,13-05-2020 07:44:41,Tbilisi,A3I9,Joookerrr,"""MDN-BooooMA"" - Марки 5 шт. + МДМА 0.5",True,нет,7,Тбилиси,5.5 гр,0.0098,2700,244,7343,100,,,,,,,,,,,"""MDN-BooooMA"" - Marki 5 sht. + MDMA 0.5"
64,13-05-2020 07:44:41,Tbilisi,A3I9,Joookerrr,"""Джокер экспрес"" марки нбооом 8 шт",True,нет,6,Тбилиси,8 гр,0.0086,2160,195,5875,80,,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 8 sht"
65,13-05-2020 07:44:41,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0966,24300,2195,66089,900,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
66,13-05-2020 07:44:41,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.043,10800,976,29373,400,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
67,13-05-2020 07:44:41,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0752,18900,1707,51403,700,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
68,13-05-2020 07:44:41,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0451,11340,1024,30842,420,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
69,13-05-2020 07:44:41,Tbilisi,18FB,Mr.Green Tbilis,10G Hybrid Marijuana Leafs,True,нет,39,Тбилиси,10 гр,0.0107,2700,244,7343,100,,,,,,,,,,,10G Hybrid Marijuana Leafs
70,13-05-2020 07:45:34,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.0859,21600,1951,58746,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
71,13-05-2020 07:45:34,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0311,7830,707,21295,290,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
72,13-05-2020 07:45:34,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2389,60075,5427,163388,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
73,13-05-2020 07:45:34,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1691,42093,3803,114481,1559,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
74,13-05-2020 07:45:34,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.04,9963,900,27097,369,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
75,13-05-2020 07:45:34,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5423,135000,12196,367163,5000,,,,,,,,,,,METADON - 20 G.
76,13-05-2020 07:45:34,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.065,16173,1461,43986,599,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
77,13-05-2020 07:45:34,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1181,29700,2683,80776,1100,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
78,13-05-2020 07:45:34,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2577,64800,5854,176238,2400,,,,,,,,,,,100 gr marijuana buds
79,13-05-2020 07:45:34,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2148,54000,4878,146865,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
80,13-05-2020 07:45:34,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2685,67500,6098,183582,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
81,13-05-2020 07:45:34,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6336,159300,14391,433252,5900,,,,,,,,,,,180 gr marihuana persoalno
82,13-05-2020 07:45:34,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.494,124200,11220,337790,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
83,13-05-2020 07:45:34,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8054,202500,18294,550745,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
84,13-05-2020 07:45:34,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9128,229500,20733,624177,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
