,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Vazisubani,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Varketili,Батуми,Центр,desc_en
10,12-08-2020 03:29:30,Tbilisi,BB6E,WEEDSH0P,1 gr super lemon haze пробник,True,1,нет,Тбилиси,1 гр,0.0047,4023,1529,135,55,,,,,,,,,,,,1 gr super lemon haze probnik
11,12-08-2020 03:29:30,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,5,нет,Тбилиси,1 гр,0.0045,3877,1473,130,53,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
12,12-08-2020 03:29:30,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,6,нет,Тбилиси,1 гр,0.0047,4023,1529,135,55,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
13,12-08-2020 03:29:30,Tbilisi,3Y9,HIGHTHC,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,5,нет,Тбилиси,1 гр,0.0047,4023,1529,135,55,,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
14,12-08-2020 03:29:30,Tbilisi,QUZIV,Hollyweed,1 г.Super Skunk top class buds! (подезд),,3,нет,Тбилиси,1 гр,0.0047,4023,1529,135,55,True,,,,,,,,,,,1 g.Super Skunk top class buds! (podezd)
15,12-08-2020 03:29:30,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,3,нет,Тбилиси,1 гр,0.0047,4023,1529,135,55,,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
16,12-08-2020 03:29:30,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,True,25,нет,Тбилиси,1 гр,0.0042,3584,1362,120,49,,,,,,,,,,,,1gr HYBRID o.g
17,12-08-2020 03:29:30,Tbilisi,8B31,GEOWEEDSHOP,1gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,13,нет,Тбилиси,1 гр,0.0049,4170,1585,140,57,,,,,,,,,,,,1gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
18,12-08-2020 03:29:30,Tbilisi,H9FHF,OldStar,Auto Amnesia Haze 1 gr,True,13,нет,Тбилиси,1 гр,0.0034,3000,1380,100,,,,,,,,,,,,,Auto Amnesia Haze 1 gr
19,12-08-2020 03:29:30,Tbilisi,X4ZM,ZYX,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0046,3950,1501,132,54,,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
20,12-08-2020 03:29:30,Tbilisi,X4ZM,ZYX,NEW * Green Gelato * NEW * BUDS ! 1G VHQ,True,3,нет,Тбилиси,1 гр,0.005,4243,1612,142,58,,,,,,,,,,,,NEW * Green Gelato * NEW * BUDS ! 1G VHQ
21,12-08-2020 03:29:30,Tbilisi,X4ZM,ZYX,NEW * Royal Moby * NEW ! HQ BUDS 1G,True,5,нет,Тбилиси,1 гр,0.0047,4023,1529,135,55,,,,,,,,,,,,NEW * Royal Moby * NEW ! HQ BUDS 1G
22,12-08-2020 03:29:30,Tbilisi,5XD8,TYsonWeed,TYson Budds 1G Скидка 5%,True,10,нет,Тбилиси,1 гр,0.0036,3219,1223,108,44,,,,,,,,,,,,TYson Budds 1G Skidka 5%
23,12-08-2020 03:29:30,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 1G,True,1,нет,Тбилиси,1 гр,0.0043,3658,1390,122,50,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
24,12-08-2020 03:29:30,Tbilisi,I7IU,MrPickless,АКЦИЯ-1g hindu kish best buds BTC 11% sale,True,2,нет,Тбилиси,1 гр,0.003,2560,973,86,35,,,,,,,,,,,,AKTsIJa-1g hindu kish best buds BTC 11% sale
25,12-08-2020 03:29:30,Tbilisi,42AF,Leningrad6,🎇SUPER SKITKA🎇Amsterdam weed sativa 1гр,True,2,нет,Тбилиси,1 гр,0.0031,2633,1001,88,36,,,,,,,,,,,,🎇SUPER SKITKA🎇Amsterdam weed sativa 1gr
