,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Тбилиси,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
28,28,29-02-2020 18:24:18,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",,нет,2,Тбилиси,5 гр,0.0221,13331,4915,446,199.0,,True,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
29,29,29-02-2020 18:24:18,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,4,Тбилиси,5 гр,0.0277,16748,6175,560,250.0,,True,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
30,30,29-02-2020 18:24:18,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0221,14671,5409,490,219.0,,True,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
31,31,29-02-2020 18:24:18,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),,нет,5,Тбилиси,5 гр,0.0336,20097,7410,672,300.0,,True,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
32,32,29-02-2020 18:24:18,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,,нет,10,Тбилиси,5 гр,0.0277,16748,6175,560,250.0,,True,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
33,33,29-02-2020 18:24:18,Tbilisi,3814ba5701,Weed from Gali 5g.,,нет,1,Тбилиси,5 гр,0.0255,16078,5928,537,240.0,,True,,,,,,,,Weed from Gali 5g.
34,34,29-02-2020 18:24:18,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,17,Тбилиси,5 гр,0.0202,13398,4940,448,200.0,,True,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
35,35,29-02-2020 18:25:11,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3036,200973,74100,6717,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
36,36,29-02-2020 18:25:11,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,4,Тбилиси,5 гр,0.0966,57545,21217,1923,859.0,,True,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
37,37,29-02-2020 18:25:11,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0208,12393,4570,414,185.0,,True,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
38,38,29-02-2020 18:25:11,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.055,32759,12078,1095,489.0,,True,,,,,,,,💘✨5g. MDMA ✨💘
39,39,29-02-2020 18:25:11,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,,нет,5,Тбилиси,5 гр,0.037000000000000005,22040,8126,737,329.0,,True,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
40,40,29-02-2020 18:25:11,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,3,Тбилиси,5 гр,0.0202,12058,4446,403,180.0,,True,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
41,41,29-02-2020 18:25:11,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1002,60292,22230,2015,900.0,,True,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
42,42,29-02-2020 18:25:11,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.0779,46894,17290,1567,700.0,,True,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
43,43,29-02-2020 18:25:11,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,8,Тбилиси,10 гр,0.0444,26729,9855,893,399.0,,True,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
44,44,29-02-2020 18:25:11,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,,нет,5,Тбилиси,10 гр,0.0394,23447,8645,784,350.0,,True,,,,,,,,10x Extasy Duracell 223mg MDMA.
45,45,29-02-2020 18:25:11,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.0891,53593,19760,1791,800.0,,True,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
46,46,29-02-2020 18:25:11,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2477,149055,54958,4982,2225.0,,True,,,,,,,,Amfetamin [White] [Import] 10G
47,47,29-02-2020 18:25:11,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,10,Тбилиси,10 гр,0.1629,97070,35790,3244,1449.0,,True,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
48,48,29-02-2020 18:25:11,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0415,24720,9114,826,369.0,,True,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
49,49,29-02-2020 18:25:11,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,4,Тбилиси,10 гр,0.0336,20030,7385,670,299.0,,True,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
50,50,29-02-2020 18:25:11,Tbilisi,c9a56b2b4a,20x Extasy Duracell 223mg MDMA.,,нет,5,Тбилиси,20 гр,0.0787,46894,17290,1567,700.0,,True,,,,,,,,20x Extasy Duracell 223mg MDMA.
51,51,29-02-2020 18:25:11,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0673,40128,14795,1341,599.0,,True,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
52,52,29-02-2020 18:25:11,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,,нет,2,Тбилиси,25 гр,0.0748,46894,17290,1567,700.0,,True,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
53,53,29-02-2020 18:25:11,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,,нет,1,Тбилиси,50 гр,0.1214,80389,29640,2687,1200.0,,True,,,,,,,,50 gr 23% THC Amnesia Haze top quality
54,54,29-02-2020 18:25:11,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,,нет,1,Тбилиси,50 гр,0.1067,66924,24675,2237,999.0,,True,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
55,55,29-02-2020 18:25:11,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2226,133982,49400,4478,2000.0,,True,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
56,56,29-02-2020 18:25:11,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Тбилиси,100 гр,0.2249,133982,49400,4478,2000.0,,True,,,,,,,,SUBOXIN - HQ - 100 G.
57,57,29-02-2020 18:25:11,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2783,167477,61750,5598,2500.0,,True,,,,,,,,Marihuana [Shishki] [Gali] 100G
58,58,29-02-2020 18:25:11,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.1686,100486,37050,3359,1500.0,,True,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
59,59,29-02-2020 18:25:11,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.5121,308158,113620,10300,4600.0,,True,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
60,60,29-02-2020 18:25:11,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.8349,502432,185250,16793,7500.0,,True,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
61,61,29-02-2020 18:25:11,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.9462,569423,209950,19032,8500.0,,True,,,,,,,,10000sht marki 25i-nbome. predoplata
62,62,29-02-2020 18:25:11,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,1,нет,Тбилиси,1 гр,0.0202,13398,4940,448,200.0,,True,,,,,,,,KURYER..500RUB.+BONUS
63,63,29-02-2020 18:25:11,Tbilisi,8528108b62,Требуется Курьер,,1,нет,Тбилиси,1 гр,0.0202,13398,4940,448,200.0,,True,,,,,,,,Trebuetsja Kur'er
64,64,29-02-2020 18:25:11,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0223,13398,4940,448,200.0,,True,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
65,65,29-02-2020 18:25:11,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0278,16748,6175,560,250.0,,True,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
66,66,29-02-2020 18:25:11,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.6849,1004864,370500,33587,15000.0,,True,,,,,,,,Vakansija optovogo kur'era na mef
67,67,29-02-2020 18:26:42,Batumi,30f48d507d,Hybrid Skunk! 5 gr,,1,нет,Батуми,5 гр,0.0278,16748,6175,560,250.0,,,,,,,True,,,Hybrid Skunk! 5 gr
68,68,29-02-2020 18:26:42,Batumi,30f48d507d,Hybrid Skunk! 10 gr,,1,нет,Батуми,10 гр,0.0501,30146,11115,1008,450.0,,,,,,,True,,,Hybrid Skunk! 10 gr
69,69,29-02-2020 18:26:42,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,нет,15,Батуми,0.27 гр,0.0304,18088,6669,605,270.0,,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
70,70,29-02-2020 18:26:42,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,18,Батуми,5 гр,0.0202,13398,4940,448,200.0,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
71,71,29-02-2020 18:26:42,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2249,133982,49400,4478,2000.0,,,,,,,True,,,SUBOXIN - HQ - 100 G.
72,72,29-02-2020 18:26:42,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1686,100486,37050,3359,1500.0,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
73,73,29-02-2020 18:26:42,Batumi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Батуми,1 гр,0.0112,6699,2470,224,100.0,,,,,,,True,,,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
74,74,29-02-2020 18:26:42,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0051,3350,1235,112,50.0,,,,,,,True,,,kur'er v Batumi
75,75,29-02-2020 18:26:42,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,3 гр,0.0051,3350,1235,112,50.0,,,,,,,True,,,Vakansija Kur'era v Batumi
76,76,29-02-2020 18:26:42,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,5 гр,0.0076,5000,2301,167,,,,,,,,True,,,Vakansija Kur'era v Batumi
77,77,29-02-2020 18:26:42,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0253,16748,6175,560,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
78,78,29-02-2020 18:26:42,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0253,16748,6175,560,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
79,79,29-02-2020 18:26:42,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6849,1004864,370500,33587,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
80,80,29-02-2020 18:26:42,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0557,33495,12350,1120,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
81,81,29-02-2020 18:28:29,Kutaisi,d4df7908c3,Шишки / weeds Afghan Kush - 2г,,1,нет,Кутаиси,2 гр,0.0083,4957,1828,166,74.0,,,,,,,,,True,Shishki / weeds Afghan Kush - 2g
82,82,29-02-2020 18:28:29,Kutaisi,d4df7908c3,"Шишки / Weed Afghan Kush, 3g",,2,3,Кутаиси,3 гр,0.0122,7235,2668,242,108.0,,,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
83,83,29-02-2020 18:28:29,Kutaisi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Кутаиси,1 гр,0.0113,6699,2470,224,100.0,,,,,,,,,True,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
