,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Vake,$,Тбилиси,Saburtalo,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
10,10,11-06-2020 12:36:02,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,5,нет,Тбилиси,5 гр,0.0129,8852,3451,306,,,129.0,,,True,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
11,11,11-06-2020 12:36:02,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,3,нет,Тбилиси,5 гр,0.0177,12008,4681,415,,,175.0,True,,,,,,,5x Extasy Duracell 223mg MDMA.
12,12,11-06-2020 12:36:02,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,5,нет,Тбилиси,5 гр,0.005,3774,1471,130,,,55.0,,True,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
13,13,11-06-2020 12:36:02,Tbilisi,83f3d55917,Химка !! 5 г %%5%% скидка новинка !!!!,,1,нет,Тбилиси,5 гр,0.0072,5146,2006,178,,,75.0,,True,,,,,,Himka !! 5 g %%5%% skidka novinka !!!!
14,14,11-06-2020 12:36:02,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,7,нет,Тбилиси,10 гр,0.026000000000000002,17772,6928,614,,,259.0,True,,,,,,,10 gr georgian weed. Package on magnet
15,15,11-06-2020 12:36:02,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,10 гр,0.024,16400,6393,567,,,239.0,,,True,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
16,16,11-06-2020 12:36:02,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0456,34309,13375,1186,,,500.0,True,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
17,17,11-06-2020 12:36:02,Tbilisi,9610a68a0a,GABAGAMA 20 SHTUK,,1,нет,Тбилиси,20 гр,0.0026,1990,776,69,,,29.0,True,,,,,,,GABAGAMA 20 SHTUK
18,18,11-06-2020 12:36:02,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2023,137237,53500,4744,,,2000.0,True,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
19,19,11-06-2020 12:36:02,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,10,Тбилиси,2 гр,0.0374,25320,9871,875,,,369.0,True,,,,,,,❄❄2g HQ COCAINE❄❄
20,20,11-06-2020 12:36:02,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,6,Тбилиси,3 гр,0.0586,39730,15488,1373,,,579.0,True,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
21,21,11-06-2020 12:36:02,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0401,27447,10700,949,,,400.0,True,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
22,22,11-06-2020 12:36:02,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,1,Тбилиси,4 гр,0.013999999999999999,9607,3745,332,,,140.0,,True,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
23,23,11-06-2020 12:36:02,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0551,37740,14713,1305,,,550.0,True,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
24,24,11-06-2020 12:36:02,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,7,Тбилиси,5 гр,0.0236,16125,6286,557,,,235.0,True,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
25,25,11-06-2020 12:36:02,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0241,16468,6420,569,,,240.0,True,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
26,26,11-06-2020 12:36:02,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,7,Тбилиси,5 гр,0.0231,15782,6153,546,,,230.0,True,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
27,27,11-06-2020 12:36:02,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0241,16468,6420,569,,,240.0,True,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
28,28,11-06-2020 12:36:02,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,8,Тбилиси,5 гр,0.0241,16468,6420,569,,,240.0,True,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
29,29,11-06-2020 12:36:02,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0231,15782,6153,546,,,230.0,True,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
30,30,11-06-2020 12:36:02,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.02,15027,5858,519,,,219.0,True,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
31,31,11-06-2020 12:36:02,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,,нет,2,Тбилиси,5 гр,0.0253,17155,6688,593,,,250.0,True,,,,,,,MARIXYANA - INDICA - 5 G.
32,32,11-06-2020 12:36:02,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0236,16125,6286,557,,,235.0,True,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
33,33,11-06-2020 12:36:02,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2523,190000,87429,6561,,,,True,,,,,,,reagent 25i nbome. 5gr
34,34,11-06-2020 12:36:44,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.252,190000,87429,6561,,,,True,,,,,,,reagent 25i nbome. 5gr
35,35,11-06-2020 12:36:44,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.273,205855,80250,7116,,,3000.0,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
36,36,11-06-2020 12:36:44,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.09699999999999999,65805,25653,2275,,,959.0,True,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
37,37,11-06-2020 12:36:44,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,10,Тбилиси,5 гр,0.0192,13037,5083,451,,,190.0,True,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
38,38,11-06-2020 12:36:44,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,10,Тбилиси,5 гр,0.0494,33554,13081,1160,,,489.0,True,,,,,,,💘✨5g. MDMA ✨💘
39,39,11-06-2020 12:36:44,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0901,61756,24075,2135,,,900.0,True,,,,,,,10 gr mdma Kristally ochen silni import s evropi
40,40,11-06-2020 12:36:44,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.04,27447,10700,949,,,400.0,True,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
41,41,11-06-2020 12:36:44,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0701,48033,18725,1660,,,700.0,True,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
42,42,11-06-2020 12:36:44,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.042,28820,11235,996,,,420.0,True,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
43,43,11-06-2020 12:36:44,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0801,54895,21400,1898,,,800.0,True,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
44,44,11-06-2020 12:36:44,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,нет,1,Тбилиси,10 гр,0.0267,18321,7142,633,,,267.0,True,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
45,45,11-06-2020 12:36:44,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2227,152676,59519,5278,,,2225.0,True,,,,,,,Amfetamin [White] [Import] 10G
46,46,11-06-2020 12:36:44,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,10,Тбилиси,10 гр,0.1576,106976,41703,3698,,,1559.0,True,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
47,47,11-06-2020 12:36:44,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0798,54140,21106,1872,,,789.0,True,,,,,,,💘✨10gram MDMA ✨💘
48,48,11-06-2020 12:36:44,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,9,Тбилиси,10 гр,0.0373,25320,9871,875,,,369.0,True,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
49,49,11-06-2020 12:36:44,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Тбилиси,11 гр,0.0353,24016,9363,830,,,350.0,True,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
50,50,11-06-2020 12:36:44,Tbilisi,ef3dc4de6c,Extasy GUCCI 20шт. вес таблетки 450mg,,нет,1,Тбилиси,20 гр,0.0511,34995,13643,1210,,,510.0,True,,,,,,,Extasy GUCCI 20sht. ves tabletki 450mg
51,51,11-06-2020 12:36:44,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1365,102927,40125,3558,,,1500.0,True,,,,,,,✨💘20g MDMA💘✨
52,52,11-06-2020 12:36:44,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0606,41102,16023,1421,,,599.0,True,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
53,53,11-06-2020 12:36:44,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.13,89135,34748,3081,,,1299.0,True,,,,,,,50 gr georgian weed. Package on magnet
54,54,11-06-2020 12:36:44,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.2502,171477,66848,5928,,,2499.0,True,,,,,,,100 gr georgian weed. Package on magnet
55,55,11-06-2020 12:36:44,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2403,164684,64200,5693,,,2400.0,True,,,,,,,100 gr marijuana buds
56,56,11-06-2020 12:36:44,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2002,137237,53500,4744,,,2000.0,True,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
57,57,11-06-2020 12:36:44,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2503,171546,66875,5930,,,2500.0,True,,,,,,,Marihuana [Shishki] [Gali] 100G
58,58,11-06-2020 12:36:44,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.5906,404848,157825,13995,,,5900.0,True,,,,,,,180 gr marihuana persoalno
59,59,11-06-2020 12:36:44,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,4,Тбилиси,200 гр,0.4293,291628,113688,10081,,,4250.0,True,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
60,60,11-06-2020 12:36:44,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4605,315644,123050,10912,,,4600.0,True,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
61,61,11-06-2020 12:36:44,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7508,514637,200625,17791,,,7500.0,True,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
62,62,11-06-2020 12:36:44,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8509,583256,227375,20163,,,8500.0,True,,,,,,,10000sht marki 25i-nbome. predoplata
63,63,11-06-2020 12:36:44,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0182,13724,5350,474,,,200.0,True,,,,,,,KURYER..500RUB.+BONUS
64,64,11-06-2020 12:36:44,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.02,13724,5350,474,,,200.0,True,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
65,65,11-06-2020 12:36:44,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5153,1029275,401250,35582,,,15000.0,True,,,,,,,Vakansija optovogo kur'era na mef
66,66,11-06-2020 12:38:11,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1651,112990,51992,3902,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
67,67,11-06-2020 12:38:11,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2613,178900,82321,6178,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
68,68,11-06-2020 12:38:11,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0091,6862,2675,237,,,100.0,,,,,,True,,kur'er v Batumi
69,69,11-06-2020 12:38:11,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0228,17155,6688,593,,,250.0,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
70,70,11-06-2020 12:38:11,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0228,17155,6688,593,,,250.0,,,,,,True,,Ischu kur'era v Gruzii!
71,71,11-06-2020 12:38:11,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.02,13724,5350,474,,,200.0,,,,,,True,,Kur'er Batumi na marihuanu
72,72,11-06-2020 12:38:11,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5172,1029275,401250,35582,,,15000.0,,,,,,True,,Vakansija optovogo kur'era na mef
73,73,11-06-2020 12:38:11,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0501,34309,13375,1186,,,500.0,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
