,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
72,72,03-04-2020 13:46:35,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0515,28683,10184,955,369.0,True,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
73,73,03-04-2020 13:46:35,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,2,Тбилиси,10 гр,0.0417,23242,8252,774,299.0,True,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
74,74,03-04-2020 13:46:35,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,нет,8,Тбилиси,20 гр,0.069,38789,13772,1292,499.0,True,,,,,,,20 gr Indica marijuana buds (hight quality)
75,75,03-04-2020 13:46:35,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0836,46562,16532,1551,599.0,True,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
76,76,03-04-2020 13:46:35,Tbilisi,e56bb6ca93,50gr Georgian Indica dominant buds. The Best PRICE,True,нет,13,Тбилиси,50 гр,0.1381,77655,27572,2587,999.0,True,,,,,,,50gr Georgian Indica dominant buds. The Best PRICE
77,77,03-04-2020 13:46:35,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.152,85506,30360,2848,1100.0,True,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
78,78,03-04-2020 13:46:35,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.3317,186558,66240,6214,2400.0,True,,,,,,,100 gr marijuana buds
79,79,03-04-2020 13:46:35,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2764,155465,55200,5179,2000.0,True,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
80,80,03-04-2020 13:46:35,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.2792,155465,55200,5179,2000.0,True,,,,,,,SUBOXIN - HQ - 100 G.
81,81,03-04-2020 13:46:35,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3455,194331,69000,6473,2500.0,True,,,,,,,Marihuana [Shishki] [Gali] 100G
82,82,03-04-2020 13:46:35,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.2094,116599,41400,3884,1500.0,True,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
83,83,03-04-2020 13:46:35,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6357,357570,126960,11911,4600.0,True,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
84,84,03-04-2020 13:46:35,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.0365,582994,207000,19420,7500.0,True,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
85,85,03-04-2020 13:46:35,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.1747,660726,234600,22009,8500.0,True,,,,,,,10000sht marki 25i-nbome. predoplata
86,86,03-04-2020 13:46:35,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0251,15547,5520,518,200.0,True,,,,,,,KURYER..500RUB.+BONUS
87,87,03-04-2020 13:46:35,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",,1,нет,Тбилиси,1 гр,0.0207,11660,4140,388,150.0,True,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
88,88,03-04-2020 13:46:35,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0276,15547,5520,518,200.0,True,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
89,89,03-04-2020 13:46:35,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0346,19433,6900,647,250.0,True,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
90,90,03-04-2020 13:46:35,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.0919,1165988,414000,38840,15000.0,True,,,,,,,Vakansija optovogo kur'era na mef
91,91,03-04-2020 13:48:12,Batumi,99accec7c7,MEPHEDRONE 0.5 gr,,2,нет,Батуми,0.5 гр,0.0076,4275,1518,142,55.0,,,,,True,,,MEPHEDRONE 0.5 gr
92,92,03-04-2020 13:48:12,Batumi,99accec7c7,mephedrone 1gr СКИДКА КАРАНТИННАЯ!!!!,,2,нет,Батуми,1 гр,0.013999999999999999,7851,2788,262,101.0,,,,,True,,,mephedrone 1gr SKIDKA KARANTINNAJa!!!!
93,93,03-04-2020 13:48:12,Batumi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,1,нет,Батуми,2 гр,0.0048,2954,1049,98,38.0,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
94,94,03-04-2020 13:48:12,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3043,171012,60720,5696,2200.0,,,,,,True,,[100g] SPAIN HASH
95,95,03-04-2020 13:48:12,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,2,13,Батуми,5 гр,0.0252,15547,5520,518,200.0,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
96,96,03-04-2020 13:48:12,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2794,155465,55200,5179,2000.0,,,,,,True,,SUBOXIN - HQ - 100 G.
97,97,03-04-2020 13:48:12,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2096,116599,41400,3884,1500.0,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
98,98,03-04-2020 13:48:12,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0126,7773,2760,259,100.0,,,,,,True,,kur'er v Batumi
99,99,03-04-2020 13:48:12,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0314,19433,6900,647,250.0,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
100,100,03-04-2020 13:48:12,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0314,19433,6900,647,250.0,,,,,,True,,Ischu kur'era v Gruzii!
101,101,03-04-2020 13:48:12,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,50 гр,0.0377,23320,8280,777,300.0,,,,,,True,,Rabota na marki (kur'er)
102,102,03-04-2020 13:48:12,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0939,1165988,414000,38840,15000.0,,,,,,True,,Vakansija optovogo kur'era na mef
103,103,03-04-2020 13:48:12,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0692,38866,13800,1295,500.0,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
104,104,03-04-2020 13:49:38,Kutaisi,be97026d1d,Columbia Cocaine VHQ 1g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,4,нет,Кутаиси,1 гр,0.0262,14847,5272,495,191.0,,,,,,,True,Columbia Cocaine VHQ 1g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
105,105,03-04-2020 13:49:38,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,1.5 гр,0.0199,11271,4002,375,145.0,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
