,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,€,Varketili,Saburtalo,Didube,Old Tbilisi (Старый город),Дигоми,Авлобари,Центр,Батуми,Кутаиси,desc_en
33,18-04-2020 04:23:33,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.1015,57455,21290,1900,777,,,,,,,,,,,,Gashish Evro 20gr
34,18-04-2020 04:23:33,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2474,147888,54800,4890,2000,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
35,18-04-2020 04:24:23,Tbilisi,U26MW,Skyhigh,NEW MDMA 0.25 G MELKIE KRISTALI,,нет,2,Тбилиси,0.25 гр,0.0048,2588,959,86,35,,,,True,,,,,,,,NEW MDMA 0.25 G MELKIE KRISTALI
36,18-04-2020 04:24:23,Tbilisi,U26MW,Skyhigh,1 штука Ecstasy grey duracell 240 mg NEW!,,нет,2,Тбилиси,1 гр,0.0057,3106,1151,103,42,,,,True,,,,,,,,1 shtuka Ecstasy grey duracell 240 mg NEW!
37,18-04-2020 04:24:23,Tbilisi,U26MW,Skyhigh,25i-nbome 1 piece 2.5mg SALE SALE,,нет,6,Тбилиси,1 гр,0.0019,1035,384,34,14,,,,True,,,,,,,,25i-nbome 1 piece 2.5mg SALE SALE
38,18-04-2020 04:24:23,Tbilisi,U26MW,Skyhigh,ECSTASY BLUE GUCCI 1 PiECE 240 MG NEW SALE SALE,,нет,3,Тбилиси,1 гр,0.0053,2884,1069,95,39,,,,True,,,,,,,,ECSTASY BLUE GUCCI 1 PiECE 240 MG NEW SALE SALE
39,18-04-2020 04:24:23,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,10,Тбилиси,2 гр,0.0507,27285,10111,902,369,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
40,18-04-2020 04:24:23,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0811,43627,16166,1443,590,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
41,18-04-2020 04:24:23,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0544,29578,10960,978,400,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
42,18-04-2020 04:24:23,Tbilisi,A3I9,Joookerrr,Спецпредложение джокера марки н бооооом!!!!!! 4 штуки!,True,нет,33,Тбилиси,4 гр,0.0088,4807,1786,159,,,60,,,,,,,,,,Spetspredlozhenie dzhokera marki n booooom!!!!!! 4 shtuki!
43,18-04-2020 04:24:23,Tbilisi,JVZTQ,partyshop,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,3,Тбилиси,5 гр,0.0218,11831,4384,391,160,,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
44,18-04-2020 04:24:23,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0748,40669,15070,1345,550,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
