,Unnamed: 0,time_stamp,region,sell_code,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Vake,Gldani,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
49,49,27-05-2020 13:53:04,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,10,Тбилиси,5 гр,0.0208,13446,5137,454,189.0,True,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
50,50,27-05-2020 13:53:04,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0979,64027,24462,2162,900.0,True,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
51,51,27-05-2020 13:53:04,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0435,28456,10872,961,400.0,True,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
52,52,27-05-2020 13:53:04,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0762,49799,19026,1681,700.0,True,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
53,53,27-05-2020 13:53:04,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0457,29879,11416,1009,420.0,True,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
54,54,27-05-2020 13:53:04,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,,1,38,Тбилиси,10 гр,0.0147,9604,3669,324,135.0,True,,,,,,,,,,,10G Hybrid Marijuana Leafs
55,55,27-05-2020 13:53:04,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0871,56913,21744,1922,800.0,True,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
56,56,27-05-2020 13:53:04,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2421,158288,60476,5344,2225.0,True,,,,,,,,,,,Amfetamin [White] [Import] 10G
57,57,27-05-2020 13:53:04,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,5,Тбилиси,10 гр,0.1713,110909,42374,3745,1559.0,True,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
58,58,27-05-2020 13:53:04,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0406,26251,10029,886,369.0,True,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
59,59,27-05-2020 13:53:04,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,3,Тбилиси,10 гр,0.0346,22409,8562,757,315.0,True,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
60,60,27-05-2020 13:53:04,Tbilisi,0dec0e1c48,20 gr georgian weed. Package on magnet,,нет,11,Тбилиси,20 гр,0.0434,28385,10845,958,399.0,True,,,,,,,,,,,20 gr georgian weed. Package on magnet
61,61,27-05-2020 13:53:04,Tbilisi,f8a875c191,METADON - 20 G.,,нет,1,Тбилиси,20 гр,0.5495,355704,135900,12010,5000.0,True,,,,,,,,,,,METADON - 20 G.
62,62,27-05-2020 13:53:04,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0658,42613,16281,1439,599.0,True,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
63,63,27-05-2020 13:53:04,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,6,Тбилиси,50 гр,0.1414,92412,35307,3120,1299.0,True,,,,,,,,,,,50 gr georgian weed. Package on magnet
