,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Дигоми,€,Nadzaladevi,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
69,69,10-02-2020 02:48:38,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0767,50778,19760,1741,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
70,70,10-02-2020 02:48:38,Tbilisi,851e5b91a0,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0348,25325,9855,868,399.0,,,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
71,71,10-02-2020 02:48:38,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2134,141225,54958,4842,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
72,72,10-02-2020 02:48:38,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,True,нет,10,Тбилиси,10 гр,0.0783,51285,19958,1758,808.0,,,,,,,,,,,,💘✨10gram MDMA ✨💘
73,73,10-02-2020 02:48:38,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,2,Тбилиси,10 гр,0.028999999999999998,18978,7385,651,299.0,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
74,74,10-02-2020 02:48:38,Tbilisi,84c8f0bee0,SALE 50%. Шишки 11гр (лсд феминиз),True,нет,1,Тбилиси,11 гр,0.0144,9521,3705,326,150.0,,,,,,,,,,,,SALE 50%. Shishki 11gr (lsd feminiz)
75,75,10-02-2020 02:48:38,Tbilisi,c9a56b2b4a,15x Extasy Duracell 223mg MDMA.,True,нет,10,Тбилиси,15 гр,0.0436,28562,11115,979,450.0,,,,,,,,,,,,15x Extasy Duracell 223mg MDMA.
76,76,10-02-2020 02:48:38,Tbilisi,ce030318fd,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,8,Тбилиси,20 гр,0.2878,209458,81510,7181,3300.0,,,,,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
77,77,10-02-2020 02:48:38,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0552,38083,14820,1306,600.0,,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
78,78,10-02-2020 02:48:38,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1046,76166,29640,2611,1200.0,,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
79,79,10-02-2020 02:48:38,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,50 гр,0.0828,57125,22230,1959,900.0,,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
80,80,10-02-2020 02:48:38,Tbilisi,30f48d507d,Hybrid Skunk! 50 gr,True,нет,2,Тбилиси,50 гр,0.0911,60298,23465,2067,950.0,,,,,,,,,,,,Hybrid Skunk! 50 gr
81,81,10-02-2020 02:48:38,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.1919,126944,49400,4352,2000.0,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
82,82,10-02-2020 02:48:38,Tbilisi,30f48d507d,Hybrid Skunk! 100 gr,True,нет,1,Тбилиси,100 гр,0.1727,114250,44460,3917,1800.0,,,,,,,,,,,,Hybrid Skunk! 100 gr
83,83,10-02-2020 02:48:38,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2398,158680,61750,5441,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
84,84,10-02-2020 02:48:38,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (100шт)",True,нет,2,Тбилиси,100 гр,0.0375,27293,10621,936,430.0,,,,,,,,,,,,"marki 25i-nbome 2,5mg (100sht)"
85,85,10-02-2020 02:48:38,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4413,291971,113620,10011,4600.0,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
86,86,10-02-2020 02:48:38,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7195,476040,185250,16322,7500.0,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
87,87,10-02-2020 02:48:38,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8154,539512,209950,18498,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
88,88,10-02-2020 02:48:38,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0174,12694,4940,435,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
89,89,10-02-2020 02:48:38,Tbilisi,8528108b62,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0174,12694,4940,435,200.0,,,,,,,,,,,,Trebuetsja Kur'er
90,90,10-02-2020 02:48:38,Tbilisi,16dfc5477e,Требуется сотрудник,True,1,нет,Тбилиси,1 гр,0.0192,12694,4940,435,200.0,,,,,,,,,,,,Trebuetsja sotrudnik
