,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Varketili,Дигоми,Saburtalo,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Батуми,€,Центр,desc_en
34,34,15-08-2020 09:50:11,Tbilisi,0dec0e1c48,2g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿,True,4,нет,Тбилиси,2 гр,0.0073,6297,2374,211,86.0,,,,,,,,,,,,2g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿
35,35,15-08-2020 09:50:11,Tbilisi,509c9eb778,Метадон VHQ 0.5гр,True,1,нет,Тбилиси,0.5 гр,0.0359,32508,12254,1091,444.0,,,,,,,,,,,,Metadon VHQ 0.5gr
36,36,15-08-2020 09:51:22,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,2,нет,Тбилиси,2 гр,0.0074,6443,2429,216,88.0,,,,,,,,,,,,2gr HYBRID buds
37,37,15-08-2020 09:51:22,Tbilisi,bb1791277e,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,True,3,нет,Тбилиси,2 гр,0.0093,8054,3036,270,110.0,,,,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
38,38,15-08-2020 09:51:22,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 2 гр",True,2,нет,Тбилиси,2 гр,0.0084,8054,3036,270,110.0,,,True,,,,,,,,,"Gorilla Breath - photoperiod, feminised 2 gr"
39,39,15-08-2020 09:51:22,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",True,3,нет,Тбилиси,2 гр,0.0084,8054,3036,270,110.0,,,True,,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
40,40,15-08-2020 09:51:22,Tbilisi,e771f4c371,MORNING GLORY 3G.( *VHQ*BUDS-26%THC) FROM EUROPE,,2,нет,Тбилиси,3 гр,0.0126,10982,4140,368,150.0,,,,True,,,,,,,,MORNING GLORY 3G.( *VHQ*BUDS-26%THC) FROM EUROPE
41,41,15-08-2020 09:51:22,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm,True,2,нет,Тбилиси,3 гр,0.0069,6589,2484,221,90.0,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
42,42,15-08-2020 09:51:22,Tbilisi,7c395c455d,5 gr Amnesia Haze шишки импорт с европы тгк 28%,True,3,нет,Тбилиси,5 гр,0.0202,17572,6624,590,240.0,,,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
43,43,15-08-2020 09:51:22,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,3,нет,Тбилиси,5 гр,0.0211,18304,6900,614,250.0,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
44,44,15-08-2020 09:51:22,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",True,1,нет,Тбилиси,5 гр,0.0184,17572,6624,590,240.0,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
45,45,15-08-2020 09:51:22,Tbilisi,52fe6d0af9,Subotex From France B8 VHQ 1pc,True,нет,5,Тбилиси,1 гр,0.0194,16840,6348,565,230.0,,,,,,,,,,,,Subotex From France B8 VHQ 1pc
46,46,15-08-2020 09:51:22,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0211,18304,6900,614,250.0,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
47,47,15-08-2020 09:51:22,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0228,19768,7452,663,270.0,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
48,48,15-08-2020 09:51:22,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0232,20134,7590,676,275.0,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
49,49,15-08-2020 09:51:22,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,1,Тбилиси,5 гр,0.0202,17572,6624,590,240.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
50,50,15-08-2020 09:51:22,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0236,20500,7728,688,280.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
