,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,$,Didube,Gldani,Дигоми,Vake,Saburtalo,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,desc_en
34,34,07-07-2020 02:28:57,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0265,17835,6800,608,,250.0,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
35,35,07-07-2020 02:28:57,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0582,39238,14960,1338,,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
36,36,07-07-2020 02:28:57,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0286,19262,7344,657,,270.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
37,37,07-07-2020 02:28:57,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,5,Тбилиси,5 гр,0.0296,19975,7616,681,,280.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
38,38,07-07-2020 02:28:57,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0291,19619,7480,669,,275.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
39,39,07-07-2020 02:28:57,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0254,17122,6528,584,,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
40,40,07-07-2020 02:28:57,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,7,Тбилиси,5 гр,0.0296,19975,7616,681,,280.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
41,41,07-07-2020 02:28:57,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0286,19262,7344,657,,270.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
42,42,07-07-2020 02:28:57,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0211,15624,5957,533,,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
43,43,07-07-2020 02:28:57,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0286,19262,7344,657,,270.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
44,44,07-07-2020 02:28:57,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2562,190000,87429,6463,,,,,,,,,,,,,reagent 25i nbome. 5gr
45,45,07-07-2020 02:28:57,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2886,214023,81600,7300,,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
46,46,07-07-2020 02:28:57,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0952,64207,24480,2190,,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
47,47,07-07-2020 02:28:57,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0582,39238,14960,1338,,550.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
48,48,07-07-2020 02:28:57,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0741,49939,19040,1703,,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
49,49,07-07-2020 02:28:57,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0444,29963,11424,1022,,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
50,50,07-07-2020 02:28:57,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0846,57073,21760,1947,,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
51,51,07-07-2020 02:28:57,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2354,158734,60520,5414,,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
52,52,07-07-2020 02:28:57,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,1,Тбилиси,11 гр,0.047,31418,12012,1072,390.0,,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
53,53,07-07-2020 02:28:57,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2539,171218,65280,5840,,2400.0,,,,,,,,,,,100 gr marijuana buds
54,54,07-07-2020 02:28:57,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2645,178352,68000,6083,,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
